family,control_mode,control_research_like,count
F0_low_turnover_price_basis,row_shuffle,False,42
F0_low_turnover_price_basis,sign_flip,False,42
F0_low_turnover_price_basis,time_shuffle,False,42
F0_low_turnover_price_basis,wrong_lag_stale_24h,False,42
F1_funding_residual_controls,row_shuffle,False,12
F1_funding_residual_controls,sign_flip,False,11
F1_funding_residual_controls,sign_flip,True,1
F1_funding_residual_controls,time_shuffle,False,12
F1_funding_residual_controls,wrong_lag_stale_24h,False,8
F1_funding_residual_controls,wrong_lag_stale_24h,True,4
F2_metrics_crowding_oi_interaction,row_shuffle,False,74
F2_metrics_crowding_oi_interaction,sign_flip,False,74
F2_metrics_crowding_oi_interaction,time_shuffle,False,74
F2_metrics_crowding_oi_interaction,wrong_lag_stale_24h,False,55
F2_metrics_crowding_oi_interaction,wrong_lag_stale_24h,True,19
F3_cross_symbol_relative_strength,row_shuffle,False,12
F3_cross_symbol_relative_strength,sign_flip,False,12
F3_cross_symbol_relative_strength,time_shuffle,False,12
F3_cross_symbol_relative_strength,wrong_lag_stale_24h,False,7
F3_cross_symbol_relative_strength,wrong_lag_stale_24h,True,5
F4_volatility_liquidity_capped,row_shuffle,False,16
F4_volatility_liquidity_capped,sign_flip,False,9
F4_volatility_liquidity_capped,sign_flip,True,7
F4_volatility_liquidity_capped,time_shuffle,False,16
F4_volatility_liquidity_capped,wrong_lag_stale_24h,False,14
F4_volatility_liquidity_capped,wrong_lag_stale_24h,True,2
