candidate_id,family,expression,horizon,source_fields,feature_available_lag_bars,replay_scope
a7ad1_F0_low_turnover_price_basis_12_1288a65aeb2e,F0_low_turnover_price_basis,Rank(ret_12),12,ret_12,1,core48_common_window_only
a7ad1_F0_low_turnover_price_basis_12_c5cfdd82e724,F0_low_turnover_price_basis,Neg(Rank(ret_12)),12,ret_12,1,core48_common_window_only
a7ad1_F0_low_turnover_price_basis_12_fa07e78012ef,F0_low_turnover_price_basis,Rank(ret_24),12,ret_24,1,core48_common_window_only
a7ad1_F0_low_turnover_price_basis_12_11e5ccc194d6,F0_low_turnover_price_basis,Neg(Rank(ret_24)),12,ret_24,1,core48_common_window_only
a7ad1_F0_low_turnover_price_basis_12_b72c51499f9c,F0_low_turnover_price_basis,Rank(mark_index_ratio),12,mark_index_ratio,1,core48_common_window_only
a7ad1_F0_low_turnover_price_basis_12_ba5a41f37c00,F0_low_turnover_price_basis,Neg(Rank(mark_index_ratio)),12,mark_index_ratio,1,core48_common_window_only
a7ad1_F0_low_turnover_price_basis_12_0448b6e3a86d,F0_low_turnover_price_basis,Rank(premium_index),12,premium_index,1,core48_common_window_only
a7ad1_F0_low_turnover_price_basis_12_4efcb1ae23a7,F0_low_turnover_price_basis,Neg(Rank(premium_index)),12,premium_index,1,core48_common_window_only
a7ad1_F0_low_turnover_price_basis_12_85c297a2ba4a,F0_low_turnover_price_basis,Rank(realized_vol_24),12,realized_vol_24,1,core48_common_window_only
a7ad1_F0_low_turnover_price_basis_12_79056322f096,F0_low_turnover_price_basis,Neg(Rank(realized_vol_24)),12,realized_vol_24,1,core48_common_window_only
a7ad1_F0_low_turnover_price_basis_12_27d6652ef160,F0_low_turnover_price_basis,"Mul(Rank(ret_24),ZScore(mark_index_ratio))",12,mark_index_ratio;ret_24,1,core48_common_window_only
a7ad1_F0_low_turnover_price_basis_12_2c0af9a958df,F0_low_turnover_price_basis,"Mul(Rank(ret_24),ZScore(premium_index))",12,premium_index;ret_24,1,core48_common_window_only
a7ad1_F0_low_turnover_price_basis_12_7d2dc5ca46f5,F0_low_turnover_price_basis,"Mul(Rank(realized_vol_24),ZScore(mark_index_ratio))",12,mark_index_ratio;realized_vol_24,1,core48_common_window_only
a7ad1_F0_low_turnover_price_basis_12_359a3692e866,F0_low_turnover_price_basis,"Mul(Rank(realized_vol_24),ZScore(premium_index))",12,premium_index;realized_vol_24,1,core48_common_window_only
a7ad1_F0_low_turnover_price_basis_24_1288a65aeb2e,F0_low_turnover_price_basis,Rank(ret_12),24,ret_12,1,core48_common_window_only
a7ad1_F0_low_turnover_price_basis_24_c5cfdd82e724,F0_low_turnover_price_basis,Neg(Rank(ret_12)),24,ret_12,1,core48_common_window_only
a7ad1_F0_low_turnover_price_basis_24_fa07e78012ef,F0_low_turnover_price_basis,Rank(ret_24),24,ret_24,1,core48_common_window_only
a7ad1_F0_low_turnover_price_basis_24_11e5ccc194d6,F0_low_turnover_price_basis,Neg(Rank(ret_24)),24,ret_24,1,core48_common_window_only
a7ad1_F0_low_turnover_price_basis_24_b72c51499f9c,F0_low_turnover_price_basis,Rank(mark_index_ratio),24,mark_index_ratio,1,core48_common_window_only
a7ad1_F0_low_turnover_price_basis_24_ba5a41f37c00,F0_low_turnover_price_basis,Neg(Rank(mark_index_ratio)),24,mark_index_ratio,1,core48_common_window_only
a7ad1_F0_low_turnover_price_basis_24_0448b6e3a86d,F0_low_turnover_price_basis,Rank(premium_index),24,premium_index,1,core48_common_window_only
a7ad1_F0_low_turnover_price_basis_24_4efcb1ae23a7,F0_low_turnover_price_basis,Neg(Rank(premium_index)),24,premium_index,1,core48_common_window_only
a7ad1_F0_low_turnover_price_basis_24_85c297a2ba4a,F0_low_turnover_price_basis,Rank(realized_vol_24),24,realized_vol_24,1,core48_common_window_only
a7ad1_F0_low_turnover_price_basis_24_79056322f096,F0_low_turnover_price_basis,Neg(Rank(realized_vol_24)),24,realized_vol_24,1,core48_common_window_only
a7ad1_F0_low_turnover_price_basis_24_27d6652ef160,F0_low_turnover_price_basis,"Mul(Rank(ret_24),ZScore(mark_index_ratio))",24,mark_index_ratio;ret_24,1,core48_common_window_only
a7ad1_F0_low_turnover_price_basis_24_2c0af9a958df,F0_low_turnover_price_basis,"Mul(Rank(ret_24),ZScore(premium_index))",24,premium_index;ret_24,1,core48_common_window_only
a7ad1_F0_low_turnover_price_basis_24_7d2dc5ca46f5,F0_low_turnover_price_basis,"Mul(Rank(realized_vol_24),ZScore(mark_index_ratio))",24,mark_index_ratio;realized_vol_24,1,core48_common_window_only
a7ad1_F0_low_turnover_price_basis_24_359a3692e866,F0_low_turnover_price_basis,"Mul(Rank(realized_vol_24),ZScore(premium_index))",24,premium_index;realized_vol_24,1,core48_common_window_only
a7ad1_F0_low_turnover_price_basis_48_1288a65aeb2e,F0_low_turnover_price_basis,Rank(ret_12),48,ret_12,1,core48_common_window_only
a7ad1_F0_low_turnover_price_basis_48_c5cfdd82e724,F0_low_turnover_price_basis,Neg(Rank(ret_12)),48,ret_12,1,core48_common_window_only
a7ad1_F0_low_turnover_price_basis_48_fa07e78012ef,F0_low_turnover_price_basis,Rank(ret_24),48,ret_24,1,core48_common_window_only
a7ad1_F0_low_turnover_price_basis_48_11e5ccc194d6,F0_low_turnover_price_basis,Neg(Rank(ret_24)),48,ret_24,1,core48_common_window_only
a7ad1_F0_low_turnover_price_basis_48_b72c51499f9c,F0_low_turnover_price_basis,Rank(mark_index_ratio),48,mark_index_ratio,1,core48_common_window_only
a7ad1_F0_low_turnover_price_basis_48_ba5a41f37c00,F0_low_turnover_price_basis,Neg(Rank(mark_index_ratio)),48,mark_index_ratio,1,core48_common_window_only
a7ad1_F0_low_turnover_price_basis_48_0448b6e3a86d,F0_low_turnover_price_basis,Rank(premium_index),48,premium_index,1,core48_common_window_only
a7ad1_F0_low_turnover_price_basis_48_4efcb1ae23a7,F0_low_turnover_price_basis,Neg(Rank(premium_index)),48,premium_index,1,core48_common_window_only
a7ad1_F0_low_turnover_price_basis_48_85c297a2ba4a,F0_low_turnover_price_basis,Rank(realized_vol_24),48,realized_vol_24,1,core48_common_window_only
a7ad1_F0_low_turnover_price_basis_48_79056322f096,F0_low_turnover_price_basis,Neg(Rank(realized_vol_24)),48,realized_vol_24,1,core48_common_window_only
a7ad1_F0_low_turnover_price_basis_48_27d6652ef160,F0_low_turnover_price_basis,"Mul(Rank(ret_24),ZScore(mark_index_ratio))",48,mark_index_ratio;ret_24,1,core48_common_window_only
a7ad1_F0_low_turnover_price_basis_48_2c0af9a958df,F0_low_turnover_price_basis,"Mul(Rank(ret_24),ZScore(premium_index))",48,premium_index;ret_24,1,core48_common_window_only
a7ad1_F0_low_turnover_price_basis_48_7d2dc5ca46f5,F0_low_turnover_price_basis,"Mul(Rank(realized_vol_24),ZScore(mark_index_ratio))",48,mark_index_ratio;realized_vol_24,1,core48_common_window_only
a7ad1_F0_low_turnover_price_basis_48_359a3692e866,F0_low_turnover_price_basis,"Mul(Rank(realized_vol_24),ZScore(premium_index))",48,premium_index;realized_vol_24,1,core48_common_window_only
a7ad1_F1_funding_residual_controls_12_74ffff8ea074,F1_funding_residual_controls,Rank(latest_known_funding_rate),12,latest_known_funding_rate,1,core48_common_window_only
a7ad1_F1_funding_residual_controls_12_aa310d8392f3,F1_funding_residual_controls,Neg(Rank(latest_known_funding_rate)),12,latest_known_funding_rate,1,core48_common_window_only
