candidate_id,engine,arm,seed,ordinal,family,object_type,signal_mode,expression,expr_hash,horizon,source_fields,source_field_families,operator_signature,formula_depth,may_used_for_generation,may_used_for_static_score,static_score,selected_for_strict_replay,execution_lag_1bar_raw_10bp__fresh_forward_2026May__n,execution_lag_1bar_raw_10bp__recent_oos_2025H2_2026Apr__n,execution_lag_1bar_raw_10bp__validation_2025H1__n,raw_10bp__fresh_forward_2026May__n,raw_10bp__recent_oos_2025H2_2026Apr__n,raw_10bp__validation_2025H1__n,raw_20bp__fresh_forward_2026May__n,raw_20bp__recent_oos_2025H2_2026Apr__n,raw_20bp__validation_2025H1__n,residual_vs_core4_10bp__fresh_forward_2026May__n,residual_vs_core4_10bp__recent_oos_2025H2_2026Apr__n,residual_vs_core4_10bp__validation_2025H1__n,residual_vs_funding_10bp__fresh_forward_2026May__n,residual_vs_funding_10bp__recent_oos_2025H2_2026Apr__n,residual_vs_funding_10bp__validation_2025H1__n,execution_lag_1bar_raw_10bp__fresh_forward_2026May__annualized_mean,execution_lag_1bar_raw_10bp__recent_oos_2025H2_2026Apr__annualized_mean,execution_lag_1bar_raw_10bp__validation_2025H1__annualized_mean,raw_10bp__fresh_forward_2026May__annualized_mean,raw_10bp__recent_oos_2025H2_2026Apr__annualized_mean,raw_10bp__validation_2025H1__annualized_mean,raw_20bp__fresh_forward_2026May__annualized_mean,raw_20bp__recent_oos_2025H2_2026Apr__annualized_mean,raw_20bp__validation_2025H1__annualized_mean,residual_vs_core4_10bp__fresh_forward_2026May__annualized_mean,residual_vs_core4_10bp__recent_oos_2025H2_2026Apr__annualized_mean,residual_vs_core4_10bp__validation_2025H1__annualized_mean,residual_vs_funding_10bp__fresh_forward_2026May__annualized_mean,residual_vs_funding_10bp__recent_oos_2025H2_2026Apr__annualized_mean,residual_vs_funding_10bp__validation_2025H1__annualized_mean,execution_lag_1bar_raw_10bp__fresh_forward_2026May__compounded_max_dd,execution_lag_1bar_raw_10bp__recent_oos_2025H2_2026Apr__compounded_max_dd,execution_lag_1bar_raw_10bp__validation_2025H1__compounded_max_dd,raw_10bp__fresh_forward_2026May__compounded_max_dd,raw_10bp__recent_oos_2025H2_2026Apr__compounded_max_dd,raw_10bp__validation_2025H1__compounded_max_dd,raw_20bp__fresh_forward_2026May__compounded_max_dd,raw_20bp__recent_oos_2025H2_2026Apr__compounded_max_dd,raw_20bp__validation_2025H1__compounded_max_dd,residual_vs_core4_10bp__fresh_forward_2026May__compounded_max_dd,residual_vs_core4_10bp__recent_oos_2025H2_2026Apr__compounded_max_dd,residual_vs_core4_10bp__validation_2025H1__compounded_max_dd,residual_vs_funding_10bp__fresh_forward_2026May__compounded_max_dd,residual_vs_funding_10bp__recent_oos_2025H2_2026Apr__compounded_max_dd,residual_vs_funding_10bp__validation_2025H1__compounded_max_dd,execution_lag_1bar_raw_10bp__fresh_forward_2026May__mean_turnover,execution_lag_1bar_raw_10bp__recent_oos_2025H2_2026Apr__mean_turnover,execution_lag_1bar_raw_10bp__validation_2025H1__mean_turnover,raw_10bp__fresh_forward_2026May__mean_turnover,raw_10bp__recent_oos_2025H2_2026Apr__mean_turnover,raw_10bp__validation_2025H1__mean_turnover,raw_20bp__fresh_forward_2026May__mean_turnover,raw_20bp__recent_oos_2025H2_2026Apr__mean_turnover,raw_20bp__validation_2025H1__mean_turnover,residual_vs_core4_10bp__fresh_forward_2026May__mean_turnover,residual_vs_core4_10bp__recent_oos_2025H2_2026Apr__mean_turnover,residual_vs_core4_10bp__validation_2025H1__mean_turnover,residual_vs_funding_10bp__fresh_forward_2026May__mean_turnover,residual_vs_funding_10bp__recent_oos_2025H2_2026Apr__mean_turnover,residual_vs_funding_10bp__validation_2025H1__mean_turnover,execution_lag_1bar_raw_10bp__fresh_forward_2026May__mean_gross_exposure,execution_lag_1bar_raw_10bp__recent_oos_2025H2_2026Apr__mean_gross_exposure,execution_lag_1bar_raw_10bp__validation_2025H1__mean_gross_exposure,raw_10bp__fresh_forward_2026May__mean_gross_exposure,raw_10bp__recent_oos_2025H2_2026Apr__mean_gross_exposure,raw_10bp__validation_2025H1__mean_gross_exposure,raw_20bp__fresh_forward_2026May__mean_gross_exposure,raw_20bp__recent_oos_2025H2_2026Apr__mean_gross_exposure,raw_20bp__validation_2025H1__mean_gross_exposure,residual_vs_core4_10bp__fresh_forward_2026May__mean_gross_exposure,residual_vs_core4_10bp__recent_oos_2025H2_2026Apr__mean_gross_exposure,residual_vs_core4_10bp__validation_2025H1__mean_gross_exposure,residual_vs_funding_10bp__fresh_forward_2026May__mean_gross_exposure,residual_vs_funding_10bp__recent_oos_2025H2_2026Apr__mean_gross_exposure,residual_vs_funding_10bp__validation_2025H1__mean_gross_exposure,funding_beta_recent,funding_corr_recent,core4_beta_recent,core4_corr_recent,component_raw_validation,component_raw_recent,component_residual_funding_validation,component_residual_funding_recent,component_residual_core4_recent,component_cost20_validation,component_cost20_recent,component_lag1_validation,component_lag1_recent,component_drawdown_penalty,component_turnover_penalty,component_funding_beta_penalty,component_core4_beta_penalty,a7m_rank_score,candidate_decision,reject_reasons,selected_for_deep_audit,return_corr_cluster,cluster_size,max_corr_to_prior
e0_current_a7l_manual_generator_s3_02215,E0_current_A7L_manual_generator,E0_current_A7L_manual_generator,3,2215,manual_a7l_control,generated_candidate,original,"Mul(Rank(quote_volume_mean_24),Rank(realized_vol_24))",9de0a97808d43acb,24,quote_volume_mean_24;realized_vol_24,liquidity;volatility,Mul;Rank,2,False,False,1.1581858,True,416,7248,4296,416,7248,4296,416,7248,4296,416,7248,4296,416,7248,4296,-11.549691392884506,2.401733344047897,3.1198309442242027,-11.328645311360756,2.339978625827173,3.0524370009409507,-11.554533683139688,2.072456301693812,2.842041034219965,-8.383213969557724,4.66122266321357,5.282060486344458,-8.309796792023139,4.733633648256947,5.227198683186984,-0.5462179426921385,-0.77951267992288,-0.6783601399586379,-0.5447637680871691,-0.7806395428716824,-0.6746591374612639,-0.5457949417119792,-0.7833612921434998,-0.6788171316831577,-0.5400301703983568,-0.7296842315536395,-0.6207932541581785,-0.5404169684890702,-0.7180967284797778,-0.625428309418141,0.0257712000524676,0.0306068827669393,0.0240420774712505,0.0257863438103806,0.0305390780974157,0.0240178044202039,0.0257863438103806,0.0305390780974157,0.0240178044202039,0.0257863438103806,0.0305390780974157,0.0240178044202039,0.0257863438103806,0.0305390780974157,0.0240178044202039,0.4929968146677978,0.4689631321003435,0.4147662911713506,0.4932326716720844,0.4679581604164445,0.4142481548034215,0.4932326716720844,0.4679581604164445,0.4142481548034215,0.4932326716720844,0.4679581604164445,0.4142481548034215,0.4932326716720844,0.4679581604164445,0.4142481548034215,0.3675344177614674,0.2106323283012665,0.388289086875578,0.1903792752958014,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-0.7806395428716824,-0.0305390780974157,-0.3675344177614674,-0.388289086875578,15.709206327695185,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative,True,rc_000,245.0,0.948262
e0_current_a7l_manual_generator_s4_00554,E0_current_A7L_manual_generator,E0_current_A7L_manual_generator,4,554,manual_a7l_control,generated_candidate,original,"Mul(Rank(realized_vol_24),Rank(quote_volume_mean_24))",d6cb725829040751,24,quote_volume_mean_24;realized_vol_24,liquidity;volatility,Mul;Rank,2,False,False,1.1581858,True,416,7248,4296,416,7248,4296,416,7248,4296,416,7248,4296,416,7248,4296,-11.549691392884506,2.401733344047897,3.1198309442242027,-11.328645311360756,2.339978625827173,3.0524370009409507,-11.554533683139688,2.072456301693812,2.842041034219965,-8.383213969557724,4.66122266321357,5.282060486344458,-8.309796792023139,4.733633648256947,5.227198683186984,-0.5462179426921385,-0.77951267992288,-0.6783601399586379,-0.5447637680871691,-0.7806395428716824,-0.6746591374612639,-0.5457949417119792,-0.7833612921434998,-0.6788171316831577,-0.5400301703983568,-0.7296842315536395,-0.6207932541581785,-0.5404169684890702,-0.7180967284797778,-0.625428309418141,0.0257712000524676,0.0306068827669393,0.0240420774712505,0.0257863438103806,0.0305390780974157,0.0240178044202039,0.0257863438103806,0.0305390780974157,0.0240178044202039,0.0257863438103806,0.0305390780974157,0.0240178044202039,0.0257863438103806,0.0305390780974157,0.0240178044202039,0.4929968146677978,0.4689631321003435,0.4147662911713506,0.4932326716720844,0.4679581604164445,0.4142481548034215,0.4932326716720844,0.4679581604164445,0.4142481548034215,0.4932326716720844,0.4679581604164445,0.4142481548034215,0.4932326716720844,0.4679581604164445,0.4142481548034215,0.3675344177614674,0.2106323283012665,0.388289086875578,0.1903792752958014,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-0.7806395428716824,-0.0305390780974157,-0.3675344177614674,-0.388289086875578,15.709206327695185,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative,True,rc_000,245.0,1.0
e1_formulagenv2_crypto_adapter_s2_01496,E1_FormulaGenV2_crypto_adapter,E1_FormulaGenV2_crypto_adapter,2,1496,formula_gen_v2_crypto,generated_candidate,original,"Mul(Rank(quote_volume_mean_24),Rank(realized_vol_24))",9de0a97808d43acb,24,quote_volume_mean_24;realized_vol_24,liquidity;volatility,Mul;Rank,2,False,False,1.1581858,True,416,7248,4296,416,7248,4296,416,7248,4296,416,7248,4296,416,7248,4296,-11.549691392884506,2.401733344047897,3.1198309442242027,-11.328645311360756,2.339978625827173,3.0524370009409507,-11.554533683139688,2.072456301693812,2.842041034219965,-8.383213969557724,4.66122266321357,5.282060486344458,-8.309796792023139,4.733633648256947,5.227198683186984,-0.5462179426921385,-0.77951267992288,-0.6783601399586379,-0.5447637680871691,-0.7806395428716824,-0.6746591374612639,-0.5457949417119792,-0.7833612921434998,-0.6788171316831577,-0.5400301703983568,-0.7296842315536395,-0.6207932541581785,-0.5404169684890702,-0.7180967284797778,-0.625428309418141,0.0257712000524676,0.0306068827669393,0.0240420774712505,0.0257863438103806,0.0305390780974157,0.0240178044202039,0.0257863438103806,0.0305390780974157,0.0240178044202039,0.0257863438103806,0.0305390780974157,0.0240178044202039,0.0257863438103806,0.0305390780974157,0.0240178044202039,0.4929968146677978,0.4689631321003435,0.4147662911713506,0.4932326716720844,0.4679581604164445,0.4142481548034215,0.4932326716720844,0.4679581604164445,0.4142481548034215,0.4932326716720844,0.4679581604164445,0.4142481548034215,0.4932326716720844,0.4679581604164445,0.4142481548034215,0.3675344177614674,0.2106323283012665,0.388289086875578,0.1903792752958014,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-0.7806395428716824,-0.0305390780974157,-0.3675344177614674,-0.388289086875578,15.709206327695185,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative,True,rc_000,245.0,1.0
e1_formulagenv2_crypto_adapter_s4_01870,E1_FormulaGenV2_crypto_adapter,E1_FormulaGenV2_crypto_adapter,4,1870,formula_gen_v2_crypto,generated_candidate,original,"Mul(Rank(quote_volume_mean_24),Rank(realized_vol_24))",9de0a97808d43acb,24,quote_volume_mean_24;realized_vol_24,liquidity;volatility,Mul;Rank,2,False,False,1.1581858,True,416,7248,4296,416,7248,4296,416,7248,4296,416,7248,4296,416,7248,4296,-11.549691392884506,2.401733344047897,3.1198309442242027,-11.328645311360756,2.339978625827173,3.0524370009409507,-11.554533683139688,2.072456301693812,2.842041034219965,-8.383213969557724,4.66122266321357,5.282060486344458,-8.309796792023139,4.733633648256947,5.227198683186984,-0.5462179426921385,-0.77951267992288,-0.6783601399586379,-0.5447637680871691,-0.7806395428716824,-0.6746591374612639,-0.5457949417119792,-0.7833612921434998,-0.6788171316831577,-0.5400301703983568,-0.7296842315536395,-0.6207932541581785,-0.5404169684890702,-0.7180967284797778,-0.625428309418141,0.0257712000524676,0.0306068827669393,0.0240420774712505,0.0257863438103806,0.0305390780974157,0.0240178044202039,0.0257863438103806,0.0305390780974157,0.0240178044202039,0.0257863438103806,0.0305390780974157,0.0240178044202039,0.0257863438103806,0.0305390780974157,0.0240178044202039,0.4929968146677978,0.4689631321003435,0.4147662911713506,0.4932326716720844,0.4679581604164445,0.4142481548034215,0.4932326716720844,0.4679581604164445,0.4142481548034215,0.4932326716720844,0.4679581604164445,0.4142481548034215,0.4932326716720844,0.4679581604164445,0.4142481548034215,0.3675344177614674,0.2106323283012665,0.388289086875578,0.1903792752958014,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-0.7806395428716824,-0.0305390780974157,-0.3675344177614674,-0.388289086875578,15.709206327695185,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative,True,rc_000,245.0,1.0
e1_formulagenv2_crypto_adapter_s4_02210,E1_FormulaGenV2_crypto_adapter,E1_FormulaGenV2_crypto_adapter,4,2210,formula_gen_v2_crypto,generated_candidate,original,"Mul(Rank(realized_vol_24),Rank(quote_volume_mean_24))",d6cb725829040751,24,quote_volume_mean_24;realized_vol_24,liquidity;volatility,Mul;Rank,2,False,False,1.1581858,True,416,7248,4296,416,7248,4296,416,7248,4296,416,7248,4296,416,7248,4296,-11.549691392884506,2.401733344047897,3.1198309442242027,-11.328645311360756,2.339978625827173,3.0524370009409507,-11.554533683139688,2.072456301693812,2.842041034219965,-8.383213969557724,4.66122266321357,5.282060486344458,-8.309796792023139,4.733633648256947,5.227198683186984,-0.5462179426921385,-0.77951267992288,-0.6783601399586379,-0.5447637680871691,-0.7806395428716824,-0.6746591374612639,-0.5457949417119792,-0.7833612921434998,-0.6788171316831577,-0.5400301703983568,-0.7296842315536395,-0.6207932541581785,-0.5404169684890702,-0.7180967284797778,-0.625428309418141,0.0257712000524676,0.0306068827669393,0.0240420774712505,0.0257863438103806,0.0305390780974157,0.0240178044202039,0.0257863438103806,0.0305390780974157,0.0240178044202039,0.0257863438103806,0.0305390780974157,0.0240178044202039,0.0257863438103806,0.0305390780974157,0.0240178044202039,0.4929968146677978,0.4689631321003435,0.4147662911713506,0.4932326716720844,0.4679581604164445,0.4142481548034215,0.4932326716720844,0.4679581604164445,0.4142481548034215,0.4932326716720844,0.4679581604164445,0.4142481548034215,0.4932326716720844,0.4679581604164445,0.4142481548034215,0.3675344177614674,0.2106323283012665,0.388289086875578,0.1903792752958014,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-0.7806395428716824,-0.0305390780974157,-0.3675344177614674,-0.388289086875578,15.709206327695185,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative,True,rc_000,245.0,1.0
e2_typed_ast_sampler_crypto_adapter_s3_00927,E2_typed_AST_sampler_crypto_adapter,E2_typed_AST_sampler_crypto_adapter,3,927,typed_ast_crypto,generated_candidate,original,"Mul(Rank(quote_volume_mean_24),Rank(realized_vol_24))",9de0a97808d43acb,24,quote_volume_mean_24;realized_vol_24,liquidity;volatility,Mul;Rank,2,False,False,1.1581858,True,416,7248,4296,416,7248,4296,416,7248,4296,416,7248,4296,416,7248,4296,-11.549691392884506,2.401733344047897,3.1198309442242027,-11.328645311360756,2.339978625827173,3.0524370009409507,-11.554533683139688,2.072456301693812,2.842041034219965,-8.383213969557724,4.66122266321357,5.282060486344458,-8.309796792023139,4.733633648256947,5.227198683186984,-0.5462179426921385,-0.77951267992288,-0.6783601399586379,-0.5447637680871691,-0.7806395428716824,-0.6746591374612639,-0.5457949417119792,-0.7833612921434998,-0.6788171316831577,-0.5400301703983568,-0.7296842315536395,-0.6207932541581785,-0.5404169684890702,-0.7180967284797778,-0.625428309418141,0.0257712000524676,0.0306068827669393,0.0240420774712505,0.0257863438103806,0.0305390780974157,0.0240178044202039,0.0257863438103806,0.0305390780974157,0.0240178044202039,0.0257863438103806,0.0305390780974157,0.0240178044202039,0.0257863438103806,0.0305390780974157,0.0240178044202039,0.4929968146677978,0.4689631321003435,0.4147662911713506,0.4932326716720844,0.4679581604164445,0.4142481548034215,0.4932326716720844,0.4679581604164445,0.4142481548034215,0.4932326716720844,0.4679581604164445,0.4142481548034215,0.4932326716720844,0.4679581604164445,0.4142481548034215,0.3675344177614674,0.2106323283012665,0.388289086875578,0.1903792752958014,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-0.7806395428716824,-0.0305390780974157,-0.3675344177614674,-0.388289086875578,15.709206327695185,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative,True,rc_000,245.0,1.0
e2_typed_ast_sampler_crypto_adapter_s4_00146,E2_typed_AST_sampler_crypto_adapter,E2_typed_AST_sampler_crypto_adapter,4,146,typed_ast_crypto,generated_candidate,original,"Mul(Rank(realized_vol_24),Rank(quote_volume_mean_24))",d6cb725829040751,24,quote_volume_mean_24;realized_vol_24,liquidity;volatility,Mul;Rank,2,False,False,1.1581858,True,416,7248,4296,416,7248,4296,416,7248,4296,416,7248,4296,416,7248,4296,-11.549691392884506,2.401733344047897,3.1198309442242027,-11.328645311360756,2.339978625827173,3.0524370009409507,-11.554533683139688,2.072456301693812,2.842041034219965,-8.383213969557724,4.66122266321357,5.282060486344458,-8.309796792023139,4.733633648256947,5.227198683186984,-0.5462179426921385,-0.77951267992288,-0.6783601399586379,-0.5447637680871691,-0.7806395428716824,-0.6746591374612639,-0.5457949417119792,-0.7833612921434998,-0.6788171316831577,-0.5400301703983568,-0.7296842315536395,-0.6207932541581785,-0.5404169684890702,-0.7180967284797778,-0.625428309418141,0.0257712000524676,0.0306068827669393,0.0240420774712505,0.0257863438103806,0.0305390780974157,0.0240178044202039,0.0257863438103806,0.0305390780974157,0.0240178044202039,0.0257863438103806,0.0305390780974157,0.0240178044202039,0.0257863438103806,0.0305390780974157,0.0240178044202039,0.4929968146677978,0.4689631321003435,0.4147662911713506,0.4932326716720844,0.4679581604164445,0.4142481548034215,0.4932326716720844,0.4679581604164445,0.4142481548034215,0.4932326716720844,0.4679581604164445,0.4142481548034215,0.4932326716720844,0.4679581604164445,0.4142481548034215,0.3675344177614674,0.2106323283012665,0.388289086875578,0.1903792752958014,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-0.7806395428716824,-0.0305390780974157,-0.3675344177614674,-0.388289086875578,15.709206327695185,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative,True,rc_000,245.0,1.0
e3_ast_failure_aware_repair_s1_00213,E3_AST_failure_aware_repair,E3_AST_failure_aware_repair,1,213,ast_failure_aware_repair,generated_candidate,original,"Mul(Rank(realized_vol_24),Rank(quote_volume_mean_24))",d6cb725829040751,24,quote_volume_mean_24;realized_vol_24,liquidity;volatility,Mul;Rank,2,False,False,1.1581858,True,416,7248,4296,416,7248,4296,416,7248,4296,416,7248,4296,416,7248,4296,-11.549691392884506,2.401733344047897,3.1198309442242027,-11.328645311360756,2.339978625827173,3.0524370009409507,-11.554533683139688,2.072456301693812,2.842041034219965,-8.383213969557724,4.66122266321357,5.282060486344458,-8.309796792023139,4.733633648256947,5.227198683186984,-0.5462179426921385,-0.77951267992288,-0.6783601399586379,-0.5447637680871691,-0.7806395428716824,-0.6746591374612639,-0.5457949417119792,-0.7833612921434998,-0.6788171316831577,-0.5400301703983568,-0.7296842315536395,-0.6207932541581785,-0.5404169684890702,-0.7180967284797778,-0.625428309418141,0.0257712000524676,0.0306068827669393,0.0240420774712505,0.0257863438103806,0.0305390780974157,0.0240178044202039,0.0257863438103806,0.0305390780974157,0.0240178044202039,0.0257863438103806,0.0305390780974157,0.0240178044202039,0.0257863438103806,0.0305390780974157,0.0240178044202039,0.4929968146677978,0.4689631321003435,0.4147662911713506,0.4932326716720844,0.4679581604164445,0.4142481548034215,0.4932326716720844,0.4679581604164445,0.4142481548034215,0.4932326716720844,0.4679581604164445,0.4142481548034215,0.4932326716720844,0.4679581604164445,0.4142481548034215,0.3675344177614674,0.2106323283012665,0.388289086875578,0.1903792752958014,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-0.7806395428716824,-0.0305390780974157,-0.3675344177614674,-0.388289086875578,15.709206327695185,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative,True,rc_000,245.0,1.0
e3_ast_failure_aware_repair_s1_00417,E3_AST_failure_aware_repair,E3_AST_failure_aware_repair,1,417,ast_failure_aware_repair,generated_candidate,original,"Mul(Rank(quote_volume_mean_24),Rank(realized_vol_24))",9de0a97808d43acb,24,quote_volume_mean_24;realized_vol_24,liquidity;volatility,Mul;Rank,2,False,False,1.1581858,True,416,7248,4296,416,7248,4296,416,7248,4296,416,7248,4296,416,7248,4296,-11.549691392884506,2.401733344047897,3.1198309442242027,-11.328645311360756,2.339978625827173,3.0524370009409507,-11.554533683139688,2.072456301693812,2.842041034219965,-8.383213969557724,4.66122266321357,5.282060486344458,-8.309796792023139,4.733633648256947,5.227198683186984,-0.5462179426921385,-0.77951267992288,-0.6783601399586379,-0.5447637680871691,-0.7806395428716824,-0.6746591374612639,-0.5457949417119792,-0.7833612921434998,-0.6788171316831577,-0.5400301703983568,-0.7296842315536395,-0.6207932541581785,-0.5404169684890702,-0.7180967284797778,-0.625428309418141,0.0257712000524676,0.0306068827669393,0.0240420774712505,0.0257863438103806,0.0305390780974157,0.0240178044202039,0.0257863438103806,0.0305390780974157,0.0240178044202039,0.0257863438103806,0.0305390780974157,0.0240178044202039,0.0257863438103806,0.0305390780974157,0.0240178044202039,0.4929968146677978,0.4689631321003435,0.4147662911713506,0.4932326716720844,0.4679581604164445,0.4142481548034215,0.4932326716720844,0.4679581604164445,0.4142481548034215,0.4932326716720844,0.4679581604164445,0.4142481548034215,0.4932326716720844,0.4679581604164445,0.4142481548034215,0.3675344177614674,0.2106323283012665,0.388289086875578,0.1903792752958014,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-0.7806395428716824,-0.0305390780974157,-0.3675344177614674,-0.388289086875578,15.709206327695185,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative,True,rc_000,245.0,1.0
e3_ast_failure_aware_repair_s2_00164,E3_AST_failure_aware_repair,E3_AST_failure_aware_repair,2,164,ast_failure_aware_repair,generated_candidate,original,"Mul(Rank(quote_volume_mean_24),Rank(realized_vol_24))",9de0a97808d43acb,24,quote_volume_mean_24;realized_vol_24,liquidity;volatility,Mul;Rank,2,False,False,1.1581858,True,416,7248,4296,416,7248,4296,416,7248,4296,416,7248,4296,416,7248,4296,-11.549691392884506,2.401733344047897,3.1198309442242027,-11.328645311360756,2.339978625827173,3.0524370009409507,-11.554533683139688,2.072456301693812,2.842041034219965,-8.383213969557724,4.66122266321357,5.282060486344458,-8.309796792023139,4.733633648256947,5.227198683186984,-0.5462179426921385,-0.77951267992288,-0.6783601399586379,-0.5447637680871691,-0.7806395428716824,-0.6746591374612639,-0.5457949417119792,-0.7833612921434998,-0.6788171316831577,-0.5400301703983568,-0.7296842315536395,-0.6207932541581785,-0.5404169684890702,-0.7180967284797778,-0.625428309418141,0.0257712000524676,0.0306068827669393,0.0240420774712505,0.0257863438103806,0.0305390780974157,0.0240178044202039,0.0257863438103806,0.0305390780974157,0.0240178044202039,0.0257863438103806,0.0305390780974157,0.0240178044202039,0.0257863438103806,0.0305390780974157,0.0240178044202039,0.4929968146677978,0.4689631321003435,0.4147662911713506,0.4932326716720844,0.4679581604164445,0.4142481548034215,0.4932326716720844,0.4679581604164445,0.4142481548034215,0.4932326716720844,0.4679581604164445,0.4142481548034215,0.4932326716720844,0.4679581604164445,0.4142481548034215,0.3675344177614674,0.2106323283012665,0.388289086875578,0.1903792752958014,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-0.7806395428716824,-0.0305390780974157,-0.3675344177614674,-0.388289086875578,15.709206327695185,A7M_NEAR_MISS_MAY_STRESS_FAIL,may_stress_severe_fail;may_residual_funding_negative,True,rc_000,245.0,1.0
