group,gate,pass,value,threshold
semantic,raw_unique_expr_ratio,False,0.871429443359375,0.9
semantic,effective_unique_ratio_after_horizon_bucketing,False,0.30740928649902344,0.85
semantic,simplified_effective_unique_ratio_after_bucket,False,0.30740928649902344,0.75
horizon,max_window,False,1000.0,144
horizon,p95_window,False,937.0,96
horizon,p50_window,True,454.0,
horizon,horizon_bucket_count,True,7.0,6
horizon,continuous_window_inflation_flag,False,652.0,144
economic,economic_cell_unique_ratio,True,1.0,0.8
economic,top_economic_motif_share,True,0.0009765625,0.1
economic,top_feature_family_operator_horizon_triple_share,True,0.00390625,0.08
economic,feature_family_set_count,True,16.0,16.0
economic,operator_motif_count,True,24.0,24.0
economic,horizon_class_count,True,10.0,10.0
fold_feasibility,F0_validation_2025H1_p05_effective_sample_rate,True,0.7818901303538175,0.6
fold_feasibility,F0_recent_2025H2_2026Apr_p05_effective_sample_rate,True,0.8707229580573952,0.6
fold_feasibility,F1_high_realized_vol_p05_effective_sample_rate,True,0.7294253537395322,0.6
fold_feasibility,F2_low_liquidity_p05_effective_sample_rate,True,0.7294253537395322,0.6
fold_feasibility,F3_high_liquidity_high_vol_p05_effective_sample_rate,True,0.7195450463932954,0.6
fold_feasibility,F4_basis_dislocation_p05_effective_sample_rate,True,0.7294253537395322,0.6
fold_feasibility,F5_funding_neutral_p05_effective_sample_rate,True,0.8377489177489178,0.6
fold_feasibility,F6_cross_symbol_dispersion_p05_effective_sample_rate,True,0.7294253537395322,0.6
fold_feasibility,F7_trend_reversal_p05_effective_sample_rate,True,0.7757300143609382,0.6
fold_feasibility,F8_low_vol_high_liquidity_p05_effective_sample_rate,False,0.0,0.6
fold_feasibility,F9_liquidity_shock_p05_effective_sample_rate,True,0.6753291753291754,0.6
fold_feasibility,F10_volatility_compression_p05_effective_sample_rate,True,0.7681267013115566,0.6
fold_feasibility,F11_cross_symbol_crowding_p05_effective_sample_rate,True,0.7294253537395322,0.6
