candidate_id,return_corr_cluster,max_corr_to_prior,cluster_size
a7o_l1_C0256_0387,rc_000,0.0,1
a7o_l1_C0256_0564,rc_001,0.0,1
a7o_l1_C0256_2036,rc_002,0.0,1
a7o_l1_C0257_0290,rc_003,0.0,1
a7o_l1_C0257_0387,rc_004,0.0,1
a7o_l1_C0257_2036,rc_005,0.0,1
a7o_l1_C0258_0949,rc_006,0.0,2
a7o_l1_C0258_0484,rc_007,0.0,1
a7o_l1_C0258_0756,rc_008,0.0,1
a7o_l1_C0259_0564,rc_009,0.0,1
a7o_l1_C0259_0372,rc_010,0.0,1
a7o_l1_C0259_2036,rc_011,0.0,1
a7o_l1_C0260_0484,rc_012,0.0,1
a7o_l1_C0260_0872,rc_013,0.0,1
a7o_l1_C0260_0181,rc_014,0.0,1
a7o_l1_C0261_0969,rc_015,0.0,1
a7o_l1_C0261_0484,rc_016,0.0,1
a7o_l1_C0261_1454,rc_017,0.0,1
a7o_l1_C0262_1329,rc_018,0.0,1
a7o_l1_C0262_2033,rc_019,0.0,1
a7o_l1_C0262_1137,rc_020,0.0,2
a7o_l1_C0263_2032,rc_021,0.0,1
a7o_l1_C0263_0560,rc_022,0.0,1
a7o_l1_C0263_0181,rc_023,0.0,1
a7o_l1_C0264_0753,rc_024,0.0,1
a7o_l1_C0264_0177,rc_025,0.0,1
a7o_l1_C0264_0096,rc_026,0.0,1
a7o_l1_C0265_0581,rc_027,0.0,1
a7o_l1_C0265_0386,rc_028,0.0,1
a7o_l1_C0265_0757,rc_029,0.0,1
a7o_l1_C0266_1454,rc_030,0.0,1
a7o_l1_C0266_0564,rc_031,0.0,1
a7o_l1_C0266_0180,rc_032,0.0,1
a7o_l1_C0267_1835,rc_033,0.0,3
a7o_l1_C0267_0085,rc_033,0.8522179103224953,3
a7o_l1_C0267_0380,rc_033,0.9486072122990596,3
a7o_l1_C0268_1357,rc_034,0.0,1
a7o_l1_C0268_0484,rc_035,0.0,1
a7o_l1_C0268_0289,rc_036,0.0,1
a7o_l1_C0269_2036,rc_037,0.0,1
a7o_l1_C0269_0564,rc_038,0.0,1
a7o_l1_C0269_0180,rc_039,0.0,1
a7o_l1_C0270_0949,rc_040,0.0,1
a7o_l1_C0270_2036,rc_041,0.0,1
a7o_l1_C0270_0373,rc_042,0.0,1
a7o_l1_C0271_0564,rc_043,0.0,1
a7o_l1_C0271_0290,rc_044,0.0,1
a7o_l1_C0271_0775,rc_045,0.0,1
a7o_l1_C0272_0376,rc_046,0.0,6
a7o_l1_C0272_1549,rc_046,0.8345165726200117,6
a7o_l1_C0272_0960,rc_046,0.8999211285543349,6
a7o_l1_C0273_0372,rc_047,0.0,1
a7o_l1_C0273_1551,rc_048,0.0,1
a7o_l1_C0273_0757,rc_049,0.0,1
a7o_l1_C0274_0387,rc_050,0.0,1
a7o_l1_C0274_1163,rc_051,0.0,1
a7o_l1_C0274_0775,rc_052,0.0,1
a7o_l1_C0275_0373,rc_053,0.0,1
a7o_l1_C0275_0386,rc_054,0.0,2
a7o_l1_C0275_0565,rc_055,0.0,1
a7o_l1_C0276_0278,rc_056,0.0,1
a7o_l1_C0276_1446,rc_057,0.0,1
a7o_l1_C0276_0094,rc_058,0.0,1
a7o_l1_C0277_0674,rc_059,0.0,1
a7o_l1_C0277_0376,rc_060,0.0,1
a7o_l1_C0277_2028,rc_046,0.8199724637892789,6
a7o_l1_C0278_2036,rc_061,0.0,1
a7o_l1_C0278_1163,rc_062,0.0,1
a7o_l1_C0278_0564,rc_063,0.0,1
a7o_l1_C0279_1551,rc_064,0.0,1
a7o_l1_C0279_0096,rc_065,0.0,1
a7o_l1_C0279_0969,rc_066,0.0,1
a7o_l1_C0280_0678,rc_067,0.0,1
a7o_l1_C0280_1357,rc_068,0.0,1
a7o_l1_C0280_0757,rc_069,0.0,1
a7o_l1_C0281_0290,rc_070,0.0,1
a7o_l1_C0281_0949,rc_071,0.0,1
a7o_l1_C0281_0372,rc_072,0.0,1
a7o_l1_C0282_0193,rc_046,0.8319868804518995,6
a7o_l1_C0282_0484,rc_073,0.0,1
a7o_l1_C0282_0581,rc_054,0.8811907565653121,2
a7o_l1_C0283_0948,rc_074,0.0,1
a7o_l1_C0283_0372,rc_075,0.0,1
a7o_l1_C0283_1454,rc_076,0.0,1
a7o_l1_C0284_0949,rc_077,0.0,1
a7o_l1_C0284_2036,rc_078,0.0,1
a7o_l1_C0284_0564,rc_079,0.0,1
a7o_l1_C0285_0372,rc_080,0.0,1
a7o_l1_C0285_0949,rc_081,0.0,1
a7o_l1_C0285_0193,rc_082,0.0,1
a7o_l1_C0286_1841,rc_083,0.0,1
a7o_l1_C0286_0561,rc_084,0.0,1
