checkpoint_id,cell_id,strict_count,normal_count,control_count,hypothesis_family,feature_family_set,operator_motif,temporal_horizon_class,normalization_scope,residualization_target,turnover_class,regime_fold_target,source_field_families,pre_may_pass_normal_count,pre_may_pass_normal_rate,post_may_candidate_v3_count_stress_only,post_may_candidate_v3_rate_stress_only,negative_control_research_like_count,raw_validation_fail_rate,raw_recent_fail_rate,cost20_recent_fail_rate,lag1_recent_fail_rate,residual_funding_recent_fail_rate,may_stress_veto_rate_stress_only,liquidity_volatility_share,policy_uses_may,recommended_action,priority,w2_registry_candidate,primary_reason,registry_score_non_may,registry_tier,registry_rank,liquidity_volatility_cell,may_used_for_registry_score,may_used_for_registry_selection,quarantine_status
2,C0064,24,24,0,H05_volatility_structure_ex_liquidity_mul,P11_volatility_basis,NegRank,H48,same_symbol_rank,FundingCore_and_Core4,medium_turnover,F8_low_vol_high_liquidity,basis;volatility,18,0.75,0,0.0,0,0.1666666666666666,0.0833333333333333,0.125,0.0833333333333333,0.125,0.9583333333333334,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,0.6208333333333335,primary_control_clean_non_may_robust,1,False,False,False,allowed_control_clean
3,C0132,24,24,0,H02_cross_symbol_dispersion_reversal,P1_range_volatility,ResidualizeVsCore4,H72,cross_symbol_rank,FundingCore,lag_stable,F4_basis_dislocation,volatility,16,0.6666666666666666,0,0.0,0,0.25,0.0833333333333333,0.125,0.0833333333333333,0.125,0.9583333333333334,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,0.5291666666666667,primary_control_clean_non_may_robust,2,False,False,False,allowed_control_clean
1,C0031,24,24,0,H08_trade_size_microstructure_lite,P3_trade_size,SubRank,H48,same_symbol_zscore,FundingCore,low_turnover,F2_low_liquidity,liquidity,17,0.7083333333333334,2,0.0833333333333333,0,0.125,0.1666666666666666,0.2083333333333333,0.1666666666666666,0.2083333333333333,0.875,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,0.4958333333333334,primary_control_clean_non_may_robust,3,False,False,False,allowed_control_clean
3,C0160,24,24,0,H10_range_breakout_failure,P1_range_volatility,NegRank,H24,same_symbol_zscore,Core4,lag_stable,F6_cross_symbol_dispersion,volatility,17,0.7083333333333334,2,0.0833333333333333,0,0.25,0.25,0.25,0.25,0.2083333333333333,0.7083333333333334,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,0.43124999999999997,primary_control_clean_non_may_robust,4,False,False,False,allowed_control_clean
4,C0222,24,24,0,H02_cross_symbol_dispersion_reversal,P1_range_volatility,AddZScore,H24,cross_symbol_zscore,Core4,medium_turnover,F0_calendar_blocks,volatility,14,0.5833333333333334,0,0.0,0,0.375,0.125,0.1666666666666666,0.125,0.125,0.9583333333333334,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,0.4,primary_control_clean_non_may_robust,5,False,False,False,allowed_control_clean
4,C0213,24,24,0,H12_horizon_ensemble_stability,P11_volatility_basis,NegRank,H12,cross_symbol_zscore,FundingCore,lag_stable,F10_volatility_compression,basis;volatility,14,0.5833333333333334,1,0.0416666666666666,0,0.0833333333333333,0.0833333333333333,0.2083333333333333,0.125,0.2916666666666667,0.9583333333333334,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,0.37708333333333344,primary_control_clean_non_may_robust,6,False,False,False,allowed_control_clean
3,C0169,24,24,0,H14_open_ast_cem_diversity,P3_trade_size,WinsorZScore,H48,same_symbol_rank,FundingCore,lag_stable,F8_low_vol_high_liquidity,liquidity,14,0.5833333333333334,6,0.25,0,0.2083333333333333,0.2083333333333333,0.2083333333333333,0.2083333333333333,0.375,0.5416666666666666,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,0.3020833333333335,primary_control_clean_non_may_robust,7,False,False,False,allowed_control_clean
1,C0063,24,24,0,H12_horizon_ensemble_stability,P10_price_liquidity,TSRankMul,H72,cross_symbol_rank,FundingCore,medium_turnover,F6_cross_symbol_dispersion,liquidity;price,10,0.4166666666666667,0,0.0,0,0.2916666666666667,0.0416666666666666,0.1666666666666666,0.0416666666666666,0.1666666666666666,1.0,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,0.26875000000000016,primary_control_clean_non_may_robust,8,False,False,False,allowed_control_clean
5,C0280,24,24,0,H05_volatility_structure_ex_liquidity_mul,P5_basis_premium,Rank,H72,same_symbol_zscore,FundingCore_and_Core4,low_turnover,F8_low_vol_high_liquidity,basis,12,0.5,0,0.0,0,0.2916666666666667,0.125,0.1666666666666666,0.125,0.375,0.9166666666666666,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,0.2625,primary_control_clean_non_may_robust,9,False,False,False,allowed_control_clean
1,C0025,24,24,0,H02_cross_symbol_dispersion_reversal,P0_price_return,TSStdZScore,mixed_6_24,cross_symbol_rank,Core4,lag_stable,F3_high_liquidity_high_vol,price,13,0.5416666666666666,1,0.0416666666666666,0,0.25,0.25,0.3333333333333333,0.2083333333333333,0.1666666666666666,0.75,0.0,False,retain_control_clean_non_may_robust_cell,high,True,non_may_robust,0.2604166666666667,primary_control_clean_non_may_robust,10,False,False,False,allowed_control_clean
