operator_motif,deep_count,post_may_eligible_count,may_vetoed_count,pre_may_near_miss_count,rejected_count,avg_rank_score,avg_raw_may,avg_residual_funding_may,avg_raw_recent,avg_cost20_recent,avg_lag1_recent,avg_min_fold,avg_positive_fold_rate,post_may_eligible_rate,summary_name
SafeDivZScore,21,4,14,1,2,0.23807649431060204,-5.233015061401839,-3.5994676282304763,2.072939176759628,1.8015166250006291,2.0345596896746345,-0.6953939910437826,0.9406593406593406,0.19047619047619047,operator
TSStdZScore,21,2,19,0,0,1.4973744516633969,-2.8311730071240526,0.024296887340812964,2.436212996989031,2.296686819013325,2.406438057508591,0.5649357951516757,0.9362637362637363,0.09523809523809523,operator
WinsorZScore,6,2,4,0,0,1.6786088917723847,-5.905501759344279,-3.0035590860732992,3.930074541272305,3.7958842799636323,3.9660208002150696,0.7102638712158811,0.9717948717948719,0.3333333333333333,operator
ZScore,6,2,3,1,0,0.827193047867033,1.6320927842020954,2.902643108811192,2.3786398905856334,2.27929042527554,2.4064214673371853,-0.06223569937298534,0.8923076923076922,0.3333333333333333,operator
RollingMaxRank,15,1,14,0,0,1.7156139434719124,-6.104240487689993,-2.9738987964432884,3.719370460529789,3.589179242685802,3.6985604411736506,0.7347796506684098,0.9846153846153847,0.06666666666666667,operator
DecayZScore,9,1,7,1,0,0.7095950115363496,-3.609464764360416,-3.1059915176569883,2.118435879763818,1.9354190618000429,2.1035118145364087,-0.22390145414525453,0.9384615384615385,0.1111111111111111,operator
ClipRank,6,1,4,1,0,0.8236356170701219,-1.9513209234131608,-0.7563192231829842,1.046295572740495,0.9470385363166541,1.0249403861979967,-0.0376322269307967,0.8641025641025641,0.16666666666666666,operator
NegRank,15,0,15,0,0,1.9498580182180176,-10.53517565744011,-7.397887928649382,2.7830308349579855,2.558944644990942,2.7471980481006777,0.9559870454775907,1.0,0.0,operator
AddZScore,12,0,12,0,0,1.5329654298255428,-8.086347378462362,-5.539751473151363,3.0696716858134283,2.8245740531916184,3.0542420881048162,0.5602600363892994,0.9794871794871796,0.0,operator
RollingMinRank,12,0,10,0,2,1.6701727784701152,-8.402719301028542,-4.776539940797565,3.888489877871686,3.797543163166265,3.8847361007979333,0.7483350317139673,0.9243589743589743,0.0,operator
MulRankRank,9,0,8,0,1,1.9542867130681074,-9.19568054193587,-5.717289998036702,3.317332512135254,3.174363428372649,3.3198912658079656,1.0250669350073087,0.9333333333333333,0.0,operator
ResidualizeVsCore4,9,0,8,1,0,1.306353677336447,-17.528697589381597,-16.19840406656584,5.043846670072721,4.922661133795163,5.0257104177089635,0.37094489691589305,0.9384615384615385,0.0,operator
TSRankMul,9,0,9,0,0,1.6290632662522195,-5.424868131211948,-4.945976516312686,2.1805448578860585,1.9855609215438141,2.1916592070201326,0.6996141768351207,0.935042735042735,0.0,operator
CrossSymbolRank,6,0,6,0,0,1.9679046930870552,-9.987355291896725,-6.386544693854794,4.229455666665153,4.042945974649267,4.259932779359363,0.9726660556552643,1.0,0.0,operator
HorizonSpread,6,0,6,0,0,1.67022336120903,-7.797828524785834,-5.863780946080052,3.232255202000068,3.0957457440273486,3.216558669570066,0.6944310381979023,0.9794871794871796,0.0,operator
Rank,6,0,6,0,0,2.473645070615805,-14.868714850376307,-12.754381171524665,4.354988151255419,4.169041296405744,4.33570752879377,1.4787639902880036,1.0,0.0,operator
SmoothInteraction,6,0,6,0,0,0.6977287531060209,-1.7747813502803111,0.18062953363838874,1.7287187155770065,1.626998175945648,1.71544728587255,-0.26353336729070737,0.9641025641025642,0.0,operator
SubRank,6,0,5,1,0,-0.06316080891089493,-6.274881527533843,-6.058366460169381,3.247755383570914,3.154985316720125,3.2796484552208613,-0.9374069844414513,0.8769230769230769,0.0,operator
DeltaRank,3,0,3,0,0,0.9036633395466313,0.0,0.0,0.44375121534824985,0.2926908620211504,0.39225066592389884,-0.013390494513107467,0.923076923076923,0.0,operator
RegimeMaskNonMay,3,0,2,0,1,-0.23938506083246522,0.0,0.0,0.11240783293474055,0.018558452238715883,0.10881365510847678,-0.9292457052846749,0.6923076923076922,0.0,operator
ResidualizeVsFundingCore,3,0,2,1,0,-0.2551024479898888,-3.881100807507798,-2.5732045942509103,0.8075351734298453,0.6266764115814664,0.8302006182693525,-1.0859851239125993,0.8358974358974359,0.0,operator
TSMeanRank,3,0,3,0,0,2.110890476912584,-22.75368391938363,-18.346951871244066,4.759404312619383,4.611326417467004,4.70233766056059,1.1145553659016083,1.0,0.0,operator
