split,rows,active_hours,mean_ic,net_sum_10bps,net_mean_10bps,turnover_mean,gross_exposure_mean,candidate_id,base_candidate_id,object_type,control_mode,production_family,expression,horizon,orientation,base_train_ic_for_orientation,variant_train_ic,net_sum_20bps
train_2024,8784,8781,0.04549595718027609,-0.82145289939762,-9.351695120646858e-05,0.08572404371584699,0.9996584699453552,a7v3_rolling_self_reproduction_12_00b278cfd69c,a7v3_rolling_self_reproduction_12_00b278cfd69c,candidate,original,rolling_self_reproduction,"Decay(agg_trade_count,4)",12,1.0,0.04549595718027609,0.04549595718027609,-1.5744528993976212
validation_2025H1,4344,4344,0.0314226519337023,-0.14404048288748994,-3.3158490535794184e-05,0.04523480662983426,1.0,a7v3_rolling_self_reproduction_12_00b278cfd69c,a7v3_rolling_self_reproduction_12_00b278cfd69c,candidate,original,rolling_self_reproduction,"Decay(agg_trade_count,4)",12,1.0,0.04549595718027609,0.04549595718027609,-0.3405404828874894
recent_oos_2025H2_2026Apr,7296,7296,0.05030153508771994,1.7878792184874763,0.0002450492349900598,0.029125548245614034,1.0,a7v3_rolling_self_reproduction_12_00b278cfd69c,a7v3_rolling_self_reproduction_12_00b278cfd69c,candidate,original,rolling_self_reproduction,"Decay(agg_trade_count,4)",12,1.0,0.04549595718027609,0.04549595718027609,1.5753792184874764
fresh_may_2026,505,480,0.11145833333333388,-0.18903741542169222,-0.00037433151568651925,0.034653465346534656,0.9504950495049505,a7v3_rolling_self_reproduction_12_00b278cfd69c,a7v3_rolling_self_reproduction_12_00b278cfd69c,candidate,original,rolling_self_reproduction,"Decay(agg_trade_count,4)",12,1.0,0.04549595718027609,0.04549595718027609,-0.20653741542169224
train_2024,8784,8781,0.0781801617127895,-0.26325110629504506,-2.9969388239417696e-05,0.002447632058287796,0.9996584699453552,a7v3_rolling_self_reproduction_12_214b62a005b2,a7v3_rolling_self_reproduction_12_214b62a005b2,candidate,original,rolling_self_reproduction,"Decay(agg_notional_100k_1m,4)",12,1.0,0.0781801617127895,0.0781801617127895,-0.28475110629504513
validation_2025H1,4344,4344,0.06860036832412586,1.4115516274858848,0.00032494282400687954,0.015193370165745856,1.0,a7v3_rolling_self_reproduction_12_214b62a005b2,a7v3_rolling_self_reproduction_12_214b62a005b2,candidate,original,rolling_self_reproduction,"Decay(agg_notional_100k_1m,4)",12,1.0,0.0781801617127895,0.0781801617127895,1.3455516274858847
recent_oos_2025H2_2026Apr,7296,7296,0.05825109649122873,1.7905286885339136,0.0002454123750731789,0.05084978070175439,1.0,a7v3_rolling_self_reproduction_12_214b62a005b2,a7v3_rolling_self_reproduction_12_214b62a005b2,candidate,original,rolling_self_reproduction,"Decay(agg_notional_100k_1m,4)",12,1.0,0.0781801617127895,0.0781801617127895,1.4195286885339131
fresh_may_2026,505,480,0.10000000000000053,-0.201036899747709,-0.00039809287078754256,0.030693069306930693,0.9504950495049505,a7v3_rolling_self_reproduction_12_214b62a005b2,a7v3_rolling_self_reproduction_12_214b62a005b2,candidate,original,rolling_self_reproduction,"Decay(agg_notional_100k_1m,4)",12,1.0,0.0781801617127895,0.0781801617127895,-0.2165368997477088
train_2024,8784,8781,0.07334016626807935,-0.33948444906703523,-3.864804748030911e-05,0.021971766848816028,0.9996584699453552,a7v3_rolling_self_reproduction_12_3eb1e9032578,a7v3_rolling_self_reproduction_12_3eb1e9032578,candidate,original,rolling_self_reproduction,"Decay(agg_notional_10k_100k,4)",12,1.0,0.07334016626807935,0.07334016626807935,-0.5324844490670355
validation_2025H1,4344,4344,0.05237108655617006,1.1672956480150287,0.0002687144677750987,0.05490331491712707,1.0,a7v3_rolling_self_reproduction_12_3eb1e9032578,a7v3_rolling_self_reproduction_12_3eb1e9032578,candidate,original,rolling_self_reproduction,"Decay(agg_notional_10k_100k,4)",12,1.0,0.07334016626807935,0.07334016626807935,0.9287956480150283
recent_oos_2025H2_2026Apr,7296,7296,0.040501644736842736,1.4151117234983972,0.00019395719894440752,0.06085526315789474,1.0,a7v3_rolling_self_reproduction_12_3eb1e9032578,a7v3_rolling_self_reproduction_12_3eb1e9032578,candidate,original,rolling_self_reproduction,"Decay(agg_notional_10k_100k,4)",12,1.0,0.07334016626807935,0.07334016626807935,0.971111723498397
fresh_may_2026,505,480,0.08437500000000057,-0.24914410032738876,-0.0004933546541136411,0.06831683168316832,0.9504950495049505,a7v3_rolling_self_reproduction_12_3eb1e9032578,a7v3_rolling_self_reproduction_12_3eb1e9032578,candidate,original,rolling_self_reproduction,"Decay(agg_notional_10k_100k,4)",12,1.0,0.07334016626807935,0.07334016626807935,-0.2836441003273888
train_2024,8784,8781,0.07732604486960536,-0.6143577667616209,-6.994054721785302e-05,0.022142531876138433,0.9996584699453552,a7v3_rolling_self_reproduction_12_4ad10b772ccf,a7v3_rolling_self_reproduction_12_4ad10b772ccf,candidate,original,rolling_self_reproduction,"Decay(agg_trade_count_gt_1m,4)",12,1.0,0.07732604486960536,0.07732604486960536,-0.8088577667616219
validation_2025H1,4344,4344,0.06595303867403378,1.1477212153898333,0.0002642083829166283,0.023250460405156537,1.0,a7v3_rolling_self_reproduction_12_4ad10b772ccf,a7v3_rolling_self_reproduction_12_4ad10b772ccf,candidate,original,rolling_self_reproduction,"Decay(agg_trade_count_gt_1m,4)",12,1.0,0.07732604486960536,0.07732604486960536,1.0467212153898333
