symbol,track,tier,common_window_rows,timestamp_min,timestamp_max,market_price_available_rate,funding_available_rate,metrics_available_rate,agg_available_rate
ADAUSDT,baseline_core12_existing,core12_existing,18612,2024-03-16 12:00:00+00:00,2026-04-30 23:00:00+00:00,1.0,1.0,0.9998925424457339,0.0
AVAXUSDT,baseline_core12_existing,core12_existing,18612,2024-03-16 12:00:00+00:00,2026-04-30 23:00:00+00:00,1.0,1.0,0.9998925424457339,0.0
BCHUSDT,baseline_core12_existing,core12_existing,18612,2024-03-16 12:00:00+00:00,2026-04-30 23:00:00+00:00,1.0,1.0,0.9998925424457339,0.0
BNBUSDT,baseline_core12_existing,core12_existing,18612,2024-03-16 12:00:00+00:00,2026-04-30 23:00:00+00:00,1.0,1.0,0.9998925424457339,0.0
BTCUSDT,baseline_core12_existing,core12_existing,18612,2024-03-16 12:00:00+00:00,2026-04-30 23:00:00+00:00,1.0,1.0,0.9998925424457339,1.0
DOGEUSDT,baseline_core12_existing,core12_existing,18612,2024-03-16 12:00:00+00:00,2026-04-30 23:00:00+00:00,1.0,1.0,0.9998925424457339,0.0
ETHUSDT,baseline_core12_existing,core12_existing,18612,2024-03-16 12:00:00+00:00,2026-04-30 23:00:00+00:00,1.0,1.0,0.9998925424457339,1.0
LINKUSDT,baseline_core12_existing,core12_existing,18612,2024-03-16 12:00:00+00:00,2026-04-30 23:00:00+00:00,1.0,1.0,0.9998925424457339,0.0
LTCUSDT,baseline_core12_existing,core12_existing,18612,2024-03-16 12:00:00+00:00,2026-04-30 23:00:00+00:00,1.0,1.0,0.9998925424457339,0.0
SOLUSDT,baseline_core12_existing,core12_existing,18612,2024-03-16 12:00:00+00:00,2026-04-30 23:00:00+00:00,1.0,1.0,0.9998925424457339,1.0
SUIUSDT,baseline_core12_existing,core12_existing,18612,2024-03-16 12:00:00+00:00,2026-04-30 23:00:00+00:00,1.0,1.0,0.9998925424457339,0.0
XRPUSDT,baseline_core12_existing,core12_existing,18612,2024-03-16 12:00:00+00:00,2026-04-30 23:00:00+00:00,1.0,1.0,0.9998925424457339,0.0
1000BONKUSDT,primary_core48_top36_addition,midcap_candidate,18612,2024-03-16 12:00:00+00:00,2026-04-30 23:00:00+00:00,1.0,1.0,1.0,0.0
1000FLOKIUSDT,primary_core48_top36_addition,midcap_candidate,18612,2024-03-16 12:00:00+00:00,2026-04-30 23:00:00+00:00,1.0,1.0,1.0,0.0
1INCHUSDT,primary_core48_top36_addition,midcap_candidate,18612,2024-03-16 12:00:00+00:00,2026-04-30 23:00:00+00:00,1.0,1.0,1.0,0.0
AAVEUSDT,primary_core48_top36_addition,midcap_candidate,18612,2024-03-16 12:00:00+00:00,2026-04-30 23:00:00+00:00,1.0,1.0,1.0,0.0
ACEUSDT,primary_core48_top36_addition,midcap_candidate,18612,2024-03-16 12:00:00+00:00,2026-04-30 23:00:00+00:00,1.0,1.0,1.0,0.0
ACHUSDT,primary_core48_top36_addition,core48_candidate,18612,2024-03-16 12:00:00+00:00,2026-04-30 23:00:00+00:00,1.0,1.0,1.0,0.0
ALGOUSDT,primary_core48_top36_addition,core48_candidate,18612,2024-03-16 12:00:00+00:00,2026-04-30 23:00:00+00:00,1.0,1.0,1.0,0.0
APEUSDT,primary_core48_top36_addition,core48_candidate,18612,2024-03-16 12:00:00+00:00,2026-04-30 23:00:00+00:00,1.0,1.0,1.0,0.0
API3USDT,primary_core48_top36_addition,midcap_candidate,18612,2024-03-16 12:00:00+00:00,2026-04-30 23:00:00+00:00,1.0,1.0,1.0,0.0
APTUSDT,primary_core48_top36_addition,midcap_candidate,18612,2024-03-16 12:00:00+00:00,2026-04-30 23:00:00+00:00,1.0,1.0,1.0,0.0
ARBUSDT,primary_core48_top36_addition,midcap_candidate,18612,2024-03-16 12:00:00+00:00,2026-04-30 23:00:00+00:00,1.0,1.0,1.0,0.0
ARUSDT,primary_core48_top36_addition,core48_candidate,18612,2024-03-16 12:00:00+00:00,2026-04-30 23:00:00+00:00,1.0,1.0,1.0,0.0
ATOMUSDT,primary_core48_top36_addition,core48_candidate,18612,2024-03-16 12:00:00+00:00,2026-04-30 23:00:00+00:00,1.0,1.0,1.0,0.0
AXSUSDT,primary_core48_top36_addition,midcap_candidate,18612,2024-03-16 12:00:00+00:00,2026-04-30 23:00:00+00:00,1.0,1.0,1.0,0.0
