field_name,field_family,source_family,feature_class,feature_role,reason,total_tests,candidate_count,raw_relative_candidate_count,beta_neutral_candidate_count,downside_candidate_count,rank_candidate_count,premay_stable_count,control_like_count,lag_fragile_count,premay_unstable_count,best_label_families,best_horizons,best_transforms
mark_index_basis_bps,basis_premium,mark_index_premium,raw_source,raw_relative_signal_candidate,has_raw_or_cross_sectional_relative_response,63,7,2,5,0,0,33,15,11,30,L0_raw_forward_return|L1_cross_sectional_relative_return|L2_BTC_ETH_beta_residual_return|L3_liquidity_tier_relative_return|L5_vol_adjusted_return,1,cs_rank|delta_24h|level
trade_return_1h,price_return,derived_replay_base,derived_rolling,beta_or_neutralized_signal_candidate,has_beta_liquidity_or_vol_adjusted_response,63,12,0,4,4,4,50,30,8,13,L2_BTC_ETH_beta_residual_return|L3_liquidity_tier_relative_return|L6_downside_avoidance|L7_ranked_future_return,1|4,cs_rank|level
liquidity_rank_active_universe,liquidity,trade_ohlcv,derived_cross_section,beta_or_neutralized_signal_candidate,has_beta_liquidity_or_vol_adjusted_response,63,2,0,2,0,0,17,15,0,46,L2_BTC_ETH_beta_residual_return,4,cs_rank|level
premium_close_bps,basis_premium,derived_replay_base,derived_rolling,beta_or_neutralized_signal_candidate,has_beta_liquidity_or_vol_adjusted_response,63,2,0,1,0,1,32,28,2,31,L5_vol_adjusted_return|L7_ranked_future_return,1,delta_24h
oi_x_price_move_24h,open_interest_interaction,"metrics_positioning,trade_ohlcv",derived_interaction,downside_avoidance_signal_candidate,has_downside_avoidance_response_only,63,4,0,0,4,0,18,14,0,45,L6_downside_avoidance,1|4,cs_rank|level
open_interest_last,open_interest,metrics_positioning,raw_source,downside_avoidance_signal_candidate,has_downside_avoidance_response_only,63,4,0,0,4,0,32,28,0,31,L6_downside_avoidance,1|4,cs_rank|level
trade_count,liquidity,trade_ohlcv,raw_source,downside_avoidance_signal_candidate,has_downside_avoidance_response_only,63,4,0,0,4,0,21,17,0,42,L6_downside_avoidance,1|4,cs_rank|level
realized_vol_24h,volatility,trade_ohlcv,derived_rolling,downside_avoidance_signal_candidate,has_downside_avoidance_response_only,63,4,0,0,2,2,47,43,0,16,L6_downside_avoidance|L7_ranked_future_return,1|24,cs_rank|level
global_long_short_account_ratio_last,positioning,metrics_positioning,raw_source,downside_avoidance_signal_candidate,has_downside_avoidance_response_only,63,2,0,0,2,0,29,27,0,34,L6_downside_avoidance,1|4,delta_24h
kline_taker_buy_quote_share,taker_flow,trade_ohlcv,raw_source,downside_avoidance_signal_candidate,has_downside_avoidance_response_only,63,2,0,0,2,0,23,19,2,40,L6_downside_avoidance,1,cs_rank|level
top_long_short_account_ratio_last,positioning,metrics_positioning,raw_source,downside_avoidance_signal_candidate,has_downside_avoidance_response_only,63,2,0,0,2,0,16,14,0,47,L6_downside_avoidance,1|4,delta_24h
realized_vol_168h,volatility,trade_ohlcv,derived_rolling,downside_avoidance_signal_candidate,has_downside_avoidance_response_only,63,3,0,0,1,2,31,28,0,32,L6_downside_avoidance|L7_ranked_future_return,1|4,cs_rank|delta_24h|level
premium_abs_168h,basis_premium,mark_index_premium,derived_rolling,downside_avoidance_signal_candidate,has_downside_avoidance_response_only,63,1,0,0,1,0,13,12,0,50,L6_downside_avoidance,1,delta_24h
top_long_short_position_ratio_last,positioning,metrics_positioning,raw_source,downside_avoidance_signal_candidate,has_downside_avoidance_response_only,63,1,0,0,1,0,20,19,0,43,L6_downside_avoidance,1,delta_24h
