candidate_id,fields,candidate_role,field_roles,role_violation,selected_alpha_like,control_dominated_premay,may_stress_failed,decision
a7al2q_d6f7ebc0dbbdda7a,index_close|open_interest_value_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,False,True,DIAGNOSTIC_ONLY
a7al2q_6671d1fac5e57efe,index_close|open_interest_value_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,False,True,DIAGNOSTIC_ONLY
a7al2q_58ec268c498480a1,open_interest_last|trade_close,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_d7a6680d151b7968,open_interest_value_mean|trade_close,weak_or_unclassified,unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_e2dbfa4d8f056d82,index_close|open_interest_mean,weak_or_unclassified,unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_437471479795b3f2,open_interest_value_mean|trade_close,weak_or_unclassified,unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_69233c377095f5a4,open_interest_value_mean|trade_close,weak_or_unclassified,unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_c799371403a9770f,open_interest_mean|trade_close,weak_or_unclassified,unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_5b4e7d3dc1984b26,open_interest_value_last|trade_close,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_1209abed3d7842b8,open_interest_mean|trade_close,weak_or_unclassified,unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_bac72457ad9e4104,index_close|open_interest_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_ed94f01824983e1c,open_interest_value_last|trade_close,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_f962751a6f713294,mark_close|open_interest_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_1378ff7d2322adee,open_interest_value_last|trade_close,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,False,True,DIAGNOSTIC_ONLY
a7al2q_8e279dd3d23e1613,open_interest_last|trade_close,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_ceda68bb417b5cad,index_close|open_interest_value_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_08807cb6349d04fc,mark_close|open_interest_value_mean,weak_or_unclassified,unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_5cfd196760470bf3,open_interest_value_last|trade_close,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_f00f22bbcc48dc2c,index_close|open_interest_value_mean,weak_or_unclassified,unclassified_generator_ingredient,False,False,False,True,DIAGNOSTIC_ONLY
a7al2q_b463b7c4454b038d,open_interest_last|trade_close,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_fe342a17a3bf56da,mark_close|open_interest_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_0a44f7b06019cff8,open_interest_value_mean|trade_close,weak_or_unclassified,unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_153d45b2cb3aebdd,mark_close|open_interest_mean,weak_or_unclassified,unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_0de0d41346741bd1,open_interest_value_last|trade_close,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,False,True,DIAGNOSTIC_ONLY
a7al2q_dd3504c5a4d821e4,index_close|open_interest_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
a7al2q_1a85ce2f6824961f,index_close|open_interest_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_d933f0049acb4699,open_interest_value_last|trade_close,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_d1103bc53dda5f19,open_interest_last|trade_close,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_7b47c379b145850f,mark_close|open_interest_value_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_ae4f22820243f5d8,mark_close|open_interest_value_mean,weak_or_unclassified,unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_e7f3ac7f42ea12ab,mark_close|open_interest_last,risk_defense_only,risk_exposure_or_control_like|unclassified_generator_ingredient,False,False,True,False,DIAGNOSTIC_ONLY
a7al2q_f6fb969e5fe4e0ea,index_close|open_interest_value_mean,weak_or_unclassified,unclassified_generator_ingredient,False,False,False,False,DIAGNOSTIC_ONLY
