split,age_bucket,rows,symbols,row_share,may_allowed_for_ranking,fixed_quota_minimum,quota_available
train_2024,age_lt30d,191459,276,0.10181016288328568,True,0.1,True
train_2024,age_30_90d,344876,252,0.18339112674011684,True,,True
train_2024,age_90_180d,470250,232,0.25005995589585805,True,,True
train_2024,age_180_365d,869916,211,0.4625861915855423,True,,True
train_2024,age_ge365d,4048,176,0.002152562895197094,True,,True
validation_2025H1,age_lt30d,73793,122,0.052306933310839694,True,0.1,True
validation_2025H1,age_30_90d,147475,129,0.10453518612898355,True,,True
validation_2025H1,age_90_180d,176568,114,0.12515727238123323,True,,True
validation_2025H1,age_180_365d,163273,100,0.11573333408942216,True,,True
validation_2025H1,age_ge365d,849660,211,0.6022672740895214,True,,True
recent_2025H2_2026Apr,age_lt30d,93703,137,0.02789626612840803,True,0.1,True
recent_2025H2_2026Apr,age_30_90d,224769,173,0.06691584945429863,True,,True
recent_2025H2_2026Apr,age_90_180d,397115,222,0.11822487779028157,True,,True
recent_2025H2_2026Apr,age_180_365d,732574,254,0.21809418335327987,True,,True
recent_2025H2_2026Apr,age_ge365d,1910819,340,0.5688688232737319,True,,True
may_2026_unavailable,age_lt30d,0,0,0.0,False,0.1,False
may_2026_unavailable,age_30_90d,0,0,0.0,False,,True
may_2026_unavailable,age_90_180d,0,0,0.0,False,,True
may_2026_unavailable,age_180_365d,0,0,0.0,False,,True
may_2026_unavailable,age_ge365d,0,0,0.0,False,,True
