symbol,base_asset,contract_format,is_core12,is_major,liquidity_rank,liquidity_tier,history_tier,search_eligibility,median_hourly_quote_volume,rows,timestamp_min,timestamp_max,quote_asset,raw_contract_base_asset,underlying_asset,contract_unit_multiplier,multiplier_prefix,is_multiplier_contract,instrument_family,instrument_type,is_derivative_contract,is_spot,margin_asset,settlement_asset,is_meme_token,meme_confidence,meme_subtype,meme_taxonomy_source,meme_review_note,meme_contract_group,search_stratification_group,taxonomy_version
BTCUSDT,BTC,plain_contract,True,True,1,top20,full_2024_2026apr,strict_full_history,462167007.9013,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,USDT,BTC,BTC,1,,False,binance_usdm_futures,linear_usdt_margined_perpetual_contract,True,False,USDT,USDT,False,none,not_meme_or_unknown,not_in_meme_seed_v1,,non_meme_plain_contract,non_meme_plain_contract|top20|strict_full_history,contract_meme_taxonomy_v1_20260527
ETHUSDT,ETH,plain_contract,True,True,2,top20,full_2024_2026apr,strict_full_history,327473852.24046004,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,USDT,ETH,ETH,1,,False,binance_usdm_futures,linear_usdt_margined_perpetual_contract,True,False,USDT,USDT,False,none,not_meme_or_unknown,not_in_meme_seed_v1,,non_meme_plain_contract,non_meme_plain_contract|top20|strict_full_history,contract_meme_taxonomy_v1_20260527
SOLUSDT,SOL,plain_contract,True,True,3,top20,full_2024_2026apr,strict_full_history,102498740.9185,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,USDT,SOL,SOL,1,,False,binance_usdm_futures,linear_usdt_margined_perpetual_contract,True,False,USDT,USDT,False,none,not_meme_or_unknown,not_in_meme_seed_v1,,non_meme_plain_contract,non_meme_plain_contract|top20|strict_full_history,contract_meme_taxonomy_v1_20260527
XRPUSDT,XRP,plain_contract,True,True,4,top20,full_2024_2026apr,strict_full_history,35522012.627215,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,USDT,XRP,XRP,1,,False,binance_usdm_futures,linear_usdt_margined_perpetual_contract,True,False,USDT,USDT,False,none,not_meme_or_unknown,not_in_meme_seed_v1,,non_meme_plain_contract,non_meme_plain_contract|top20|strict_full_history,contract_meme_taxonomy_v1_20260527
DOGEUSDT,DOGE,plain_contract,True,False,5,top20,full_2024_2026apr,strict_full_history,30965032.687955,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,USDT,DOGE,DOGE,1,,False,binance_usdm_futures,linear_usdt_margined_perpetual_contract,True,False,USDT,USDT,True,high,dog,conservative_manual_seed_v1,,meme_plain_contract,meme_plain_contract|top20|strict_full_history,contract_meme_taxonomy_v1_20260527
1000PEPEUSDT,1000PEPE,multiplier_contract,False,False,6,top20,full_2024_2026apr,strict_full_history,26037550.50918,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,USDT,1000PEPE,PEPE,1000,1000,True,binance_usdm_futures,linear_usdt_margined_perpetual_contract,True,False,USDT,USDT,True,high,frog,conservative_manual_seed_v1,,meme_multiplier_contract,meme_multiplier_contract|top20|strict_full_history,contract_meme_taxonomy_v1_20260527
SUIUSDT,SUI,plain_contract,True,False,7,top20,full_2024_2026apr,strict_full_history,16604798.86859,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,USDT,SUI,SUI,1,,False,binance_usdm_futures,linear_usdt_margined_perpetual_contract,True,False,USDT,USDT,False,none,not_meme_or_unknown,not_in_meme_seed_v1,,non_meme_plain_contract,non_meme_plain_contract|top20|strict_full_history,contract_meme_taxonomy_v1_20260527
BNBUSDT,BNB,plain_contract,True,True,8,top20,full_2024_2026apr,strict_full_history,15758919.18225,20424,2024-01-01 00:00:00+00:00,2026-04-30 23:00:00+00:00,USDT,BNB,BNB,1,,False,binance_usdm_futures,linear_usdt_margined_perpetual_contract,True,False,USDT,USDT,False,none,not_meme_or_unknown,not_in_meme_seed_v1,,non_meme_plain_contract,non_meme_plain_contract|top20|strict_full_history,contract_meme_taxonomy_v1_20260527
HYPEUSDT,HYPE,plain_contract,False,False,9,top20,recent_only,listing_aware,12502070.63059,8054,2025-05-30 10:00:00+00:00,2026-04-30 23:00:00+00:00,USDT,HYPE,HYPE,1,,False,binance_usdm_futures,linear_usdt_margined_perpetual_contract,True,False,USDT,USDT,False,none,not_meme_or_unknown,not_in_meme_seed_v1,,non_meme_plain_contract,non_meme_plain_contract|top20|listing_aware,contract_meme_taxonomy_v1_20260527
WIFUSDT,WIF,plain_contract,False,False,10,top20,full_2024_2026apr,strict_full_history,12086847.617509998,20002,2024-01-18 14:00:00+00:00,2026-04-30 23:00:00+00:00,USDT,WIF,WIF,1,,False,binance_usdm_futures,linear_usdt_margined_perpetual_contract,True,False,USDT,USDT,True,high,dog,conservative_manual_seed_v1,,meme_plain_contract,meme_plain_contract|top20|strict_full_history,contract_meme_taxonomy_v1_20260527
