split,split_label,train_start,train_end,validation_start,validation_end,test_start,test_end,recent_oos_start,recent_oos_end,symbol,search_eligibility,liquidity_tier,history_tier,is_core12,is_major,rows,active,split_expected_hours,symbol_active_expected_hours,window_coverage_ratio,active_span_coverage_ratio
train,train_2024,2024-01-01T00:00:00,2024-12-31T23:00:00,,,,,,,BTCUSDT,strict_full_history,top20,full_2024_2026apr,True,True,8784,True,8784,8784,1.0,1.0
train,train_2024,2024-01-01T00:00:00,2024-12-31T23:00:00,,,,,,,ETHUSDT,strict_full_history,top20,full_2024_2026apr,True,True,8784,True,8784,8784,1.0,1.0
train,train_2024,2024-01-01T00:00:00,2024-12-31T23:00:00,,,,,,,SOLUSDT,strict_full_history,top20,full_2024_2026apr,True,True,8784,True,8784,8784,1.0,1.0
train,train_2024,2024-01-01T00:00:00,2024-12-31T23:00:00,,,,,,,XRPUSDT,strict_full_history,top20,full_2024_2026apr,True,True,8784,True,8784,8784,1.0,1.0
train,train_2024,2024-01-01T00:00:00,2024-12-31T23:00:00,,,,,,,DOGEUSDT,strict_full_history,top20,full_2024_2026apr,True,False,8784,True,8784,8784,1.0,1.0
train,train_2024,2024-01-01T00:00:00,2024-12-31T23:00:00,,,,,,,1000PEPEUSDT,strict_full_history,top20,full_2024_2026apr,False,False,8784,True,8784,8784,1.0,1.0
train,train_2024,2024-01-01T00:00:00,2024-12-31T23:00:00,,,,,,,SUIUSDT,strict_full_history,top20,full_2024_2026apr,True,False,8784,True,8784,8784,1.0,1.0
train,train_2024,2024-01-01T00:00:00,2024-12-31T23:00:00,,,,,,,BNBUSDT,strict_full_history,top20,full_2024_2026apr,True,True,8784,True,8784,8784,1.0,1.0
train,train_2024,2024-01-01T00:00:00,2024-12-31T23:00:00,,,,,,,HYPEUSDT,listing_aware,top20,recent_only,False,False,0,False,8784,0,0.0,0.0
train,train_2024,2024-01-01T00:00:00,2024-12-31T23:00:00,,,,,,,WIFUSDT,strict_full_history,top20,full_2024_2026apr,False,False,8362,True,8784,8362,0.951958,1.0
train,train_2024,2024-01-01T00:00:00,2024-12-31T23:00:00,,,,,,,ADAUSDT,strict_full_history,top20,full_2024_2026apr,True,False,8784,True,8784,8784,1.0,1.0
train,train_2024,2024-01-01T00:00:00,2024-12-31T23:00:00,,,,,,,FARTCOINUSDT,listing_aware,top20,listed_by_2025H1,False,False,270,True,8784,270,0.030738,1.0
train,train_2024,2024-01-01T00:00:00,2024-12-31T23:00:00,,,,,,,AVAXUSDT,strict_full_history,top20,full_2024_2026apr,True,False,8784,True,8784,8784,1.0,1.0
train,train_2024,2024-01-01T00:00:00,2024-12-31T23:00:00,,,,,,,ENAUSDT,listing_aware,top20,listed_by_2025H1,False,False,6564,True,8784,6564,0.747268,1.0
train,train_2024,2024-01-01T00:00:00,2024-12-31T23:00:00,,,,,,,LINKUSDT,strict_full_history,top20,full_2024_2026apr,True,False,8784,True,8784,8784,1.0,1.0
train,train_2024,2024-01-01T00:00:00,2024-12-31T23:00:00,,,,,,,WLDUSDT,strict_full_history,top20,full_2024_2026apr,False,False,8784,True,8784,8784,1.0,1.0
train,train_2024,2024-01-01T00:00:00,2024-12-31T23:00:00,,,,,,,TRUMPUSDT,listing_aware,top20,recent_only,False,False,0,False,8784,0,0.0,0.0
train,train_2024,2024-01-01T00:00:00,2024-12-31T23:00:00,,,,,,,PUMPUSDT,hold_quality_or_short_history,top20,recent_only,False,False,0,False,8784,0,0.0,0.0
train,train_2024,2024-01-01T00:00:00,2024-12-31T23:00:00,,,,,,,ASTERUSDT,listing_aware,top20,short_history,False,False,0,False,8784,0,0.0,0.0
train,train_2024,2024-01-01T00:00:00,2024-12-31T23:00:00,,,,,,,LTCUSDT,strict_full_history,top20,full_2024_2026apr,True,False,8784,True,8784,8784,1.0,1.0
train,train_2024,2024-01-01T00:00:00,2024-12-31T23:00:00,,,,,,,RIVERUSDT,listing_aware,top50,short_history,False,False,0,False,8784,0,0.0,0.0
train,train_2024,2024-01-01T00:00:00,2024-12-31T23:00:00,,,,,,,BCHUSDT,strict_full_history,top50,full_2024_2026apr,True,False,8784,True,8784,8784,1.0,1.0
train,train_2024,2024-01-01T00:00:00,2024-12-31T23:00:00,,,,,,,NEARUSDT,strict_full_history,top50,full_2024_2026apr,False,False,8784,True,8784,8784,1.0,1.0
train,train_2024,2024-01-01T00:00:00,2024-12-31T23:00:00,,,,,,,FILUSDT,strict_full_history,top50,full_2024_2026apr,False,False,8784,True,8784,8784,1.0,1.0
train,train_2024,2024-01-01T00:00:00,2024-12-31T23:00:00,,,,,,,DOTUSDT,strict_full_history,top50,full_2024_2026apr,False,False,8784,True,8784,8784,1.0,1.0
