raw_latent_state_id,raw_latent_state_label,rows,symbols,policy
lv_1c45188236,age_ge365d|liq_low|vol_low|funding_abs_state_missing|basis_high|cov_high|nonmajor,232590,102,unseen_in_train_hold_until_lv3_mapping
lv_55243c3046,age_ge365d|liq_low|vol_mid|funding_abs_state_missing|basis_high|cov_high|nonmajor,153251,97,unseen_in_train_hold_until_lv3_mapping
lv_1474e8a39c,age_ge365d|liq_low|vol_low|fund_low|basis_high|cov_high|nonmajor,147847,188,unseen_in_train_hold_until_lv3_mapping
lv_e626529216,age_ge365d|liq_low|vol_mid|fund_low|basis_high|cov_high|nonmajor,89493,169,unseen_in_train_hold_until_lv3_mapping
lv_6c171a5bf2,age_ge365d|liq_low|vol_low|fund_mid|basis_high|cov_high|nonmajor,83564,156,unseen_in_train_hold_until_lv3_mapping
lv_2df49f29f6,age_ge365d|liq_low|vol_mid|fund_high|basis_high|cov_high|nonmajor,57798,141,unseen_in_train_hold_until_lv3_mapping
lv_9827e98ba5,age_ge365d|liq_low|vol_high|fund_high|basis_high|cov_high|nonmajor,52986,140,unseen_in_train_hold_until_lv3_mapping
lv_eed9b79ad5,age_ge365d|liq_low|vol_low|fund_high|basis_high|cov_high|nonmajor,44798,119,unseen_in_train_hold_until_lv3_mapping
lv_52bd5de3ca,age_ge365d|liq_low|vol_high|fund_mid|basis_high|cov_high|nonmajor,29652,145,unseen_in_train_hold_until_lv3_mapping
lv_73f68f0987,age_ge365d|liq_low|vol_high|fund_low|basis_high|cov_high|nonmajor,24479,139,unseen_in_train_hold_until_lv3_mapping
lv_e601a2dd0f,age_ge365d|liq_low|vol_high|fund_low|basis_mid|cov_high|nonmajor,20922,109,unseen_in_train_hold_until_lv3_mapping
lv_d4683283bd,age_ge365d|liq_mid|vol_mid|funding_abs_state_missing|basis_high|cov_high|nonmajor,18110,69,unseen_in_train_hold_until_lv3_mapping
lv_f4eec9cde6,age_ge365d|liq_high|vol_mid|funding_abs_state_missing|basis_mid|cov_high|nonmajor,17597,42,unseen_in_train_hold_until_lv3_mapping
lv_0034089dc5,age_ge365d|liq_mid|vol_mid|fund_low|basis_mid|cov_high|nonmajor,17212,58,unseen_in_train_hold_until_lv3_mapping
lv_d695393ec8,age_ge365d|liq_mid|vol_high|fund_low|basis_low|cov_high|nonmajor,17079,60,unseen_in_train_hold_until_lv3_mapping
lv_971bea937b,age_ge365d|liq_high|vol_low|funding_abs_state_missing|basis_mid|cov_high|nonmajor,16980,25,unseen_in_train_hold_until_lv3_mapping
lv_c6a5c2a9b9,age_ge365d|liq_low|vol_low|fund_mid|basis_mid|cov_high|nonmajor,16502,82,unseen_in_train_hold_until_lv3_mapping
