candidate_id,family,field_families,fields,operators,windows,skeleton_key,production_key,a7al2g_policy,direct_rank_allowed,policy_reason,required_controls,one_bar_lag_required,matched_control_dominance_required,pass_rule,repaired_selector_status,repaired_selector_reason,rank_execution_allowed,requires_matched_control_bundle
crypto_fg2_3cbd1218eef4d5c7,oi_price_interaction,open_interest|price,open_interest_value_mean|trade_close,Add|ZScore|Delta|ZScore|Delta,8|72,skeleton-2e3fa7ca15d43f41,crypto_formula_gen_v2_adapter::oi_price_interaction::open_interest|price::8|72,regime_state_or_neutralizer_only,False,OI level is stale-control sensitive; no direct alpha rank,one_bar_lag_stress|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,candidate robust score must exceed max matched wrong-lag/stale/shuffle controls; one-bar-lag must not collapse,selected_for_control_gated_pre_replay,regime_state_or_neutralizer_only,False,True
crypto_fg2_ab5daaf2d4bb1b38,oi_price_interaction,open_interest|price,index_close|open_interest_value_last,Sub|Rank|Delta|Rank|Delta,48|168,skeleton-8ad46b9059e6381f,crypto_formula_gen_v2_adapter::oi_price_interaction::open_interest|price::48|168,regime_state_or_neutralizer_only,False,OI level is stale-control sensitive; no direct alpha rank,one_bar_lag_stress|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,candidate robust score must exceed max matched wrong-lag/stale/shuffle controls; one-bar-lag must not collapse,selected_for_control_gated_pre_replay,regime_state_or_neutralizer_only,False,True
crypto_fg2_115383654a40dc95,liquidity_volatility_guarded,liquidity|volatility,mark_low|trade_volume,Mul|Rank|Mean|ZScore|Delta,24|336,skeleton-ded8d0d5aade90e2,crypto_formula_gen_v2_adapter::liquidity_volatility_guarded::liquidity|volatility::24|336,mutation_source_only_control_required,False,liquidity/volatility structure needs future and stale wrong-lag dominance,one_bar_lag_stress|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,candidate robust score must exceed max matched wrong-lag/stale/shuffle controls; one-bar-lag must not collapse,selected_for_control_gated_pre_replay,mutation_source_only_control_required,False,True
crypto_fg2_2b9c738ec11bacea,oi_price_interaction,open_interest|price,mark_close|open_interest_value_last,Mul|ZScore|Delta|ZScore|Delta,8|48,skeleton-c14ad246aa64fd6e,crypto_formula_gen_v2_adapter::oi_price_interaction::open_interest|price::8|48,regime_state_or_neutralizer_only,False,OI level is stale-control sensitive; no direct alpha rank,one_bar_lag_stress|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,candidate robust score must exceed max matched wrong-lag/stale/shuffle controls; one-bar-lag must not collapse,selected_for_control_gated_pre_replay,regime_state_or_neutralizer_only,False,True
crypto_fg2_18f056370a194b1f,price_volatility_structure,price|volatility,index_close|mark_low,Mul|Rank|Mean|Sign|Delta,4|168,skeleton-4c1e1eff7eb11f45,crypto_formula_gen_v2_adapter::price_volatility_structure::price|volatility::4|168,mutation_source_only_control_required,False,price/volatility structure needs future and stale wrong-lag dominance,one_bar_lag_stress|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,candidate robust score must exceed max matched wrong-lag/stale/shuffle controls; one-bar-lag must not collapse,selected_for_control_gated_pre_replay,mutation_source_only_control_required,False,True
crypto_fg2_19a3f95b8076131b,oi_price_interaction,open_interest|price,open_interest_value_mean|trade_close,Mul|Sign|Delta|Rank|Mean,4|168,skeleton-7470f7edcb033b50,crypto_formula_gen_v2_adapter::oi_price_interaction::open_interest|price::4|168,regime_state_or_neutralizer_only,False,OI level is stale-control sensitive; no direct alpha rank,one_bar_lag_stress|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,candidate robust score must exceed max matched wrong-lag/stale/shuffle controls; one-bar-lag must not collapse,selected_for_control_gated_pre_replay,regime_state_or_neutralizer_only,False,True
crypto_fg2_949d47bb2314fba0,price_volatility_structure,price|volatility,index_close|trade_low,Mul|Sign|Delta|Abs|ZScore|Mean,72|336,skeleton-118c1f2487c7c606,crypto_formula_gen_v2_adapter::price_volatility_structure::price|volatility::72|336,mutation_source_only_control_required,False,price/volatility structure needs future and stale wrong-lag dominance,one_bar_lag_stress|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,candidate robust score must exceed max matched wrong-lag/stale/shuffle controls; one-bar-lag must not collapse,selected_for_control_gated_pre_replay,mutation_source_only_control_required,False,True
crypto_fg2_f3ffa3b8cccb6ae4,price_volatility_structure,price|volatility,index_close|mark_high,Sub|Abs|ZScore|Delta|Rank|Mean,48|720,skeleton-131162e8b64c3fa4,crypto_formula_gen_v2_adapter::price_volatility_structure::price|volatility::48|720,mutation_source_only_control_required,False,price/volatility structure needs future and stale wrong-lag dominance,one_bar_lag_stress|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,candidate robust score must exceed max matched wrong-lag/stale/shuffle controls; one-bar-lag must not collapse,selected_for_control_gated_pre_replay,mutation_source_only_control_required,False,True
crypto_fg2_63b89c2c6cfee9d5,price_volatility_structure,price|volatility,index_close|mark_low,Add|Rank|Delta|Neg|Rank|Delta,8|96,skeleton-946bd1f4dcc39091,crypto_formula_gen_v2_adapter::price_volatility_structure::price|volatility::8|96,mutation_source_only_control_required,False,price/volatility structure needs future and stale wrong-lag dominance,one_bar_lag_stress|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,candidate robust score must exceed max matched wrong-lag/stale/shuffle controls; one-bar-lag must not collapse,selected_for_control_gated_pre_replay,mutation_source_only_control_required,False,True
crypto_fg2_80f9ad40dcfdd668,price_volatility_structure,price|volatility,mark_close|trade_high,Sub|ZScore|Delta|ZScore|Delta,12|24,skeleton-7bb80280bed53044,crypto_formula_gen_v2_adapter::price_volatility_structure::price|volatility::12|24,mutation_source_only_control_required,False,price/volatility structure needs future and stale wrong-lag dominance,one_bar_lag_stress|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,candidate robust score must exceed max matched wrong-lag/stale/shuffle controls; one-bar-lag must not collapse,selected_for_control_gated_pre_replay,mutation_source_only_control_required,False,True
crypto_fg2_b4ade21adee157d4,price_volatility_structure,price|volatility,index_close|mark_low,Mul|ZScore|Delta|ZScore|Mean,48|336,skeleton-1f835c24e049b69a,crypto_formula_gen_v2_adapter::price_volatility_structure::price|volatility::48|336,mutation_source_only_control_required,False,price/volatility structure needs future and stale wrong-lag dominance,one_bar_lag_stress|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,candidate robust score must exceed max matched wrong-lag/stale/shuffle controls; one-bar-lag must not collapse,selected_for_control_gated_pre_replay,mutation_source_only_control_required,False,True
