candidate_id,cell,family,field_families,feature_role,expression,expression_key,skeleton_key,production_key,field_count,operator_count,operator_depth,window_count,window_min,window_max,window_mean,has_rank,has_zscore,has_delta,has_mean,has_mul,has_abs_or_sign,is_cross_source_interaction,formula_turnover_proxy,formula_smoothing_score,original_validation_spread,original_test_spread,original_recent_spread,one_bar_lag_recent_spread,one_bar_lag_survival_recent,control_ratio_premay_max_by_split,control_margin_min,control_hard_hold_split_count,latent_positive_premay_splits,latent_min_premay_spread,latent_gate,matched_control_gate,uses_may_in_selector,lineage_fields_resolved,lineage_fields_total,lineage_resolved_share,lineage_allowed_search_count,lineage_uses_future_count,lineage_uses_label_count,lineage_max_lookback_hours,lineage_feature_classes,lineage_source_families,lineage_derived_field_count,lineage_raw_source_count,selector_feature_score_no_may,selector_decision
a7al2k_0cf817ef95787b3d,J4_upper_regime_interaction,derived_upper_regime_proxy,basis|liquidity,upper_regime_proxy,"Mul(Abs(ZScore(Mean(premium_close_bps,168))),Rank(Mean(trade_volume,504)))",expr-61c1ff5bc6dfa944,skeleton-41504a70257ba373,a7al2k_derived_generator::derived_upper_regime_proxy::basis|liquidity::168|504,2,5,4,2,168,504,336.0,True,True,False,True,True,True,True,0.08032698313962298,0.59268993455314,-0.002081802666004,-0.0044964636417948,-0.0037906611248732,-0.0036729932914598,0.9689584931131674,1.0410827975387633,-0.041082797538763316,1,2,-0.0008625953350487547,HOLD_TIMEVARYING_LATENT_FRAGILE,HOLD_CONTROL_DOMINATED,False,2,2,1.0,2,0,0,1.0,derived_rolling:1|raw_source:1,derived_replay_base:1|trade_ohlcv:1,1,1,0.004323672816237123,HOLD_CONTROL_DOMINATED
a7al2k_134ec76b5d7444f9,J2_liquidity_lifecycle,derived_liquidity_lifecycle,liquidity|price,derived_rolling,"Add(Rank(Mean(trade_volume,168)),Neg(ZScore(Delta(index_close,96))))",expr-89d7ce69c17ce912,skeleton-586a4c1ce516523d,a7al2k_derived_generator::derived_liquidity_lifecycle::liquidity|price::96|168,2,6,4,2,96,168,132.0,True,True,True,True,False,False,True,0.29240343393846,0.5470791131217947,-0.0021405332764039,-0.0041849137191326,-0.0021834175482841,-0.0020995654509362,0.9615959405411039,1.0686937965431353,-0.06869379654313534,1,2,-0.00019252700497659572,HOLD_TIMEVARYING_LATENT_FRAGILE,HOLD_CONTROL_DOMINATED,False,2,2,1.0,2,0,0,0.0,raw_source:2,mark_index_premium:1|trade_ohlcv:1,0,2,0.0036107040255008876,HOLD_CONTROL_DOMINATED
a7al2k_01bdc8d049fffe52,J4_upper_regime_interaction,derived_upper_regime_proxy,liquidity|open_interest,upper_regime_proxy,"Mul(Rank(Mean(trade_volume,48)),Rank(Mean(open_interest_value_last,48)))",expr-1bb4697fed31f734,skeleton-1b2b2bd61c4c2406,a7al2k_derived_generator::derived_upper_regime_proxy::liquidity|open_interest::48,2,3,3,1,48,48,48.0,True,False,False,True,True,False,True,0.12847458559243768,0.4954925124212761,-0.0011203692525959,-0.0022476728573017,-0.0027401014520017,-0.0026634168801677,0.9720139662062585,1.2297659158106584,-0.22976591581065842,1,3,0.0012628385476644213,PASS,HOLD_CONTROL_DOMINATED,False,2,2,1.0,2,0,0,0.0,raw_source:2,metrics_positioning:1|trade_ohlcv:1,0,2,0.002980761388835089,HOLD_CONTROL_DOMINATED
a7al2k_046e806368e99c76,J0_oi_derived_state,derived_oi_price_state,open_interest|price,derived_interaction,"Sub(Abs(ZScore(Mean(open_interest_value_last,48))),Abs(ZScore(Mean(index_close,12))))",expr-d6f7ebc0dbbdda7a,skeleton-746e1c41665c2005,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::12|48,2,4,4,2,12,48,30.0,False,True,False,True,False,True,True,0.0,0.4954925124212761,0.0012886564146032,0.0019117069408947,0.0018654298451999,0.0018383973410211,0.9855086996445566,0.7933497090942663,0.20665029090573372,0,3,0.0008835556345950348,PASS,PASS,False,2,2,1.0,2,0,0,0.0,raw_source:2,mark_index_premium:1|metrics_positioning:1,0,2,0.002808027075311851,A7AL2P1_SELECTOR_DIAGNOSTIC_ELIGIBLE
a7al2k_01759e5da72c472c,J4_upper_regime_interaction,derived_upper_regime_proxy,basis|liquidity,upper_regime_proxy,"Mul(Abs(ZScore(Mean(premium_close,720))),Rank(Mean(trade_count,720)))",expr-50c2306c89c527ee,skeleton-41504a70257ba373,a7al2k_derived_generator::derived_upper_regime_proxy::basis|liquidity::720,2,5,4,1,720,720,720.0,True,True,False,True,True,True,True,0.07598046171033332,0.6075266307202062,-0.0012383812885329,-0.0030394639666952,-0.0019558814382863,-0.0019140511189446,0.9786130598088038,0.9463423387869327,0.053657661213067254,0,1,-0.0006462249015408648,HOLD_TIMEVARYING_LATENT_FRAGILE,PASS,False,2,2,1.0,2,0,0,0.0,raw_source:2,mark_index_premium:1|trade_ohlcv:1,0,2,0.0027310146219679176,HOLD_TIMEVARYING_LATENT_FRAGILE
a7al2k_0a247ec03472983b,J0_oi_derived_state,derived_oi_price_state,open_interest|price,derived_interaction,"Sub(Abs(ZScore(Mean(open_interest_value_last,168))),Abs(ZScore(Mean(index_close,336))))",expr-6671d1fac5e57efe,skeleton-746e1c41665c2005,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::168|336,2,4,4,2,168,336,252.0,False,True,False,True,False,True,True,0.0,0.5758367887646817,0.0012293800054126,0.0015918458677626,0.0018851734349219,0.0018649255827003,0.98925942205289,0.8808498118473702,0.11915018815262979,0,3,0.00013766247660866186,PASS,PASS,False,2,2,1.0,2,0,0,0.0,raw_source:2,mark_index_premium:1|metrics_positioning:1,0,2,0.002658354219629698,A7AL2P1_SELECTOR_DIAGNOSTIC_ELIGIBLE
a7al2k_09e91fd6263c0156,J0_oi_derived_state,derived_oi_price_state,open_interest|price,derived_interaction,"Sub(Abs(ZScore(Mean(open_interest_value_mean,168))),Abs(ZScore(Mean(trade_close,4))))",expr-089890df7d96d9d7,skeleton-746e1c41665c2005,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::4|168,2,4,4,2,4,168,86.0,False,True,False,True,False,True,True,0.0,0.5470791131217947,0.0011396790192559,0.0018017556984027,0.0018354546796888,0.0018228531307023,0.9931343720300211,1.0233743021607955,-0.0233743021607955,1,3,0.00012601661708597908,PASS,HOLD_CONTROL_DOMINATED,False,2,2,1.0,2,0,0,0.0,raw_source:2,metrics_positioning:1|trade_ohlcv:1,0,2,0.002632742334432192,HOLD_CONTROL_DOMINATED
a7al2k_0096829c83c908a8,J4_upper_regime_interaction,derived_upper_regime_proxy,liquidity|open_interest,upper_regime_proxy,"Mul(Rank(Mean(trade_volume,168)),Rank(Mean(open_interest_value_mean,504)))",expr-2e95c848ecce2e50,skeleton-1b2b2bd61c4c2406,a7al2k_derived_generator::derived_upper_regime_proxy::liquidity|open_interest::168|504,2,3,3,2,168,504,336.0,True,False,False,True,True,False,True,0.08032698313962298,0.59268993455314,-0.0005088611261122,-0.0014315039380366,-0.002246844898385,-0.0021981841719038,0.9783426410447037,1.051369703057129,-0.05136970305712896,1,3,0.0008413808001307065,PASS,HOLD_CONTROL_DOMINATED,False,2,2,1.0,2,0,0,0.0,raw_source:2,metrics_positioning:1|trade_ohlcv:1,0,2,0.002411376738845935,HOLD_CONTROL_DOMINATED
a7al2k_16eeb579c992bb45,J3_basis_funding_derived,derived_basis_funding_state,basis|funding,derived_interaction,"Add(Rank(Delta(mark_index_basis_bps,96)),Neg(ZScore(Mean(funding_rate,720))))",expr-76b33d9212ace2e8,skeleton-43cc5eff3aa38e34,a7al2k_derived_generator::derived_basis_funding_state::basis|funding::96|720,2,6,4,2,96,720,408.0,True,True,True,True,False,False,True,0.22794138513099996,0.6075266307202062,-0.0007068217650198,-0.0032599644091057,-0.0015742266667112,-0.0011331411600912,0.7198081344019568,1.1512341815357165,-0.15123418153571655,1,0,-0.0011491575280594812,HOLD_TIMEVARYING_LATENT_FRAGILE,HOLD_CONTROL_DOMINATED,False,2,2,1.0,2,0,0,0.0,raw_source:2,funding:1|mark_index_premium:1,0,2,0.0021538427358521405,HOLD_CONTROL_DOMINATED
a7al2k_01298a6b5902f416,J0_oi_derived_state,derived_oi_price_state,open_interest,derived_interaction,"ZScore(Mean(Delta(open_interest_mean,168),720))",expr-34ac3b6a52edda0b,skeleton-8136d338878cf964,a7al2k_derived_generator::derived_oi_price_state::open_interest::168|720,1,3,3,2,168,720,444.0,False,True,True,True,False,False,False,0.15196092342066664,0.6075266307202062,-0.0008302323846803,-0.0017432163050307,-0.0015932228720284,-0.0015788506685906,0.9909791632482012,0.9323783682029959,0.06762163179700409,0,1,-0.0005851134422826732,HOLD_TIMEVARYING_LATENT_FRAGILE,PASS,False,1,1,1.0,1,0,0,0.0,raw_source:1,metrics_positioning:1,0,1,0.0019379597858452918,HOLD_TIMEVARYING_LATENT_FRAGILE
