symbol,instId,funding_status,funding_rows_manifest,mark_1h_status,mark_1h_rows_manifest,index_1h_status,index_1h_rows_manifest,open_interest_snapshot_status,open_interest_snapshot_rows_manifest,funding_rows_actual,funding_timestamp_min,funding_timestamp_max,mark_1h_rows_actual,mark_1h_timestamp_min,mark_1h_timestamp_max,index_1h_rows_actual,index_1h_timestamp_min,index_1h_timestamp_max
1INCHUSDT,1INCH-USDT-SWAP,ok,90,ok,720,ok,720,ok,1,90,2026-04-26 16:00:00+00:00,2026-05-26 08:00:00+00:00,720,2026-04-26 15:00:00+00:00,2026-05-26 14:00:00+00:00,720,2026-04-26 15:00:00+00:00,2026-05-26 14:00:00+00:00
AAVEUSDT,AAVE-USDT-SWAP,ok,90,ok,720,error,100,ok,1,90,2026-04-26 16:00:00+00:00,2026-05-26 08:00:00+00:00,720,2026-04-26 15:00:00+00:00,2026-05-26 14:00:00+00:00,100,2026-05-22 11:00:00+00:00,2026-05-26 14:00:00+00:00
ADAUSDT,ADA-USDT-SWAP,ok,90,error,700,ok,720,ok,1,90,2026-04-26 16:00:00+00:00,2026-05-26 08:00:00+00:00,700,2026-04-27 11:00:00+00:00,2026-05-26 14:00:00+00:00,720,2026-04-26 15:00:00+00:00,2026-05-26 14:00:00+00:00
ANKRUSDT,ANKR-USDT-SWAP,error,0,ok,0,ok,0,error,0,0,,,0,,,0,,
AVAXUSDT,AVAX-USDT-SWAP,ok,90,error,600,ok,720,ok,1,90,2026-04-26 16:00:00+00:00,2026-05-26 08:00:00+00:00,600,2026-05-01 15:00:00+00:00,2026-05-26 14:00:00+00:00,720,2026-04-26 15:00:00+00:00,2026-05-26 14:00:00+00:00
AXSUSDT,AXS-USDT-SWAP,ok,180,ok,720,error,400,error,0,180,2026-04-26 16:00:00+00:00,2026-05-26 12:00:00+00:00,720,2026-04-26 15:00:00+00:00,2026-05-26 14:00:00+00:00,400,2026-05-09 23:00:00+00:00,2026-05-26 14:00:00+00:00
BANDUSDT,BAND-USDT-SWAP,ok,90,error,200,ok,720,ok,1,90,2026-04-26 16:00:00+00:00,2026-05-26 08:00:00+00:00,200,2026-05-18 07:00:00+00:00,2026-05-26 14:00:00+00:00,720,2026-04-26 15:00:00+00:00,2026-05-26 14:00:00+00:00
BATUSDT,BAT-USDT-SWAP,ok,90,ok,720,error,0,ok,1,90,2026-04-26 16:00:00+00:00,2026-05-26 08:00:00+00:00,720,2026-04-26 15:00:00+00:00,2026-05-26 14:00:00+00:00,0,,
BELUSDT,BEL-USDT-SWAP,ok,0,ok,0,ok,0,ok,0,0,,,0,,,0,,
BTCUSDT,BTC-USDT-SWAP,ok,90,ok,720,ok,720,ok,1,90,2026-04-26 16:00:00+00:00,2026-05-26 08:00:00+00:00,720,2026-04-26 15:00:00+00:00,2026-05-26 14:00:00+00:00,720,2026-04-26 15:00:00+00:00,2026-05-26 14:00:00+00:00
