symbol,rows,contract_unit_multiplier,price_scale_repair_applied,pre_mark_extreme_rows,post_mark_extreme_rows,pre_index_extreme_rows,post_index_extreme_rows,pre_mark_min,pre_mark_max,post_mark_min,post_mark_max,pre_index_min,pre_index_max,post_index_min,post_index_max
1000BONKUSDT,103,1000,True,103,0,103,0,-9990.012704462442,-9989.990248734657,-12.704462442432174,9.751265342765603,-9990.005666154015,-9989.994351025714,-5.666154014637437,5.648974285559216
1000FLOKIUSDT,103,1000,True,103,0,103,0,-9990.012664738106,-9989.99687108886,-12.664738106417106,3.1289111389232183,-9990.008365823243,-9989.996236298975,-8.365823244362858,3.7637010238800173
1000PEPEUSDT,103,1000,True,103,0,103,0,-9990.01553991608,-9989.989881468633,-15.539916079333471,10.118531367446781,-9990.009548940889,-9989.986221450486,-9.548940888975954,13.778549513139282
1000SHIBUSDT,103,1000,True,103,0,103,0,-9990.024422799308,-9989.996647560487,-24.422799307326493,3.3524395129957973,-9990.016055629634,-9989.996897399385,-16.05562963520324,3.102600615745299
0GUSDT,103,1,False,0,0,0,0,-9.692472280534714,57.3012939001849,-9.692472280534714,57.3012939001849,-16.66758461081219,2.539869296720454,-16.66758461081219,2.539869296720454
1INCHUSDT,103,1,False,0,0,0,0,-15.000887720852951,13.436258189296613,-15.000887720852951,13.436258189296613,-6.332417930945411,6.481221973093643,-6.332417930945411,6.481221973093643
2ZUSDT,103,1,False,0,0,0,0,-3.665686481670871,14.108951450317875,-3.665686481670871,14.108951450317875,-6.311681953862225,4.881172849993121,-6.311681953862225,4.881172849993121
AAVEUSDT,103,1,False,0,0,0,0,-6.167139816489753,4.061099588246186,-6.167139816489753,4.061099588246186,-2.7767230554387456,1.6781017893396921,-2.7767230554387456,1.6781017893396921
ACHUSDT,103,1,False,0,0,0,0,-19.267822736031004,15.342592968141666,-19.267822736031004,15.342592968141666,-31.110447476296876,19.16850566195727,-31.110447476296876,19.16850566195727
ACTUSDT,103,1,False,0,0,0,0,-50.32586922231741,21.586628029572896,-50.32586922231741,21.586628029572896,-34.66297963576892,26.867222761692844,-34.66297963576892,26.867222761692844
ACUUSDT,103,1,False,0,0,0,0,-30.517427777702054,42.52670884762999,-30.517427777702054,42.52670884762999,-20.060222476981913,15.26838026722821,-20.060222476981913,15.26838026722821
ADAUSDT,103,1,False,0,0,0,0,-11.723329425558093,4.040404040404066,-11.723329425558093,4.040404040404066,-6.2783106682673395,1.8725954936948952,-6.2783106682673395,1.8725954936948952
AEVOUSDT,103,1,False,0,0,0,0,-21.413276231263545,7.313855977719719,-21.413276231263545,7.313855977719719,-23.214691212884997,16.855247634355308,-23.214691212884997,16.855247634355308
AGLDUSDT,103,1,False,0,0,0,0,-9.87556784515009,11.806375442739991,-9.87556784515009,11.806375442739991,-16.98536982083665,26.844668213723555,-16.98536982083665,26.844668213723555
AIXBTUSDT,101,1,False,0,0,0,0,-24.519496954834572,14.501082286229039,-24.519496954834572,14.501082286229039,-27.096536312767316,18.981585138422297,-27.096536312767316,18.981585138422297
ALGOUSDT,103,1,False,0,0,0,0,-12.378426171529844,15.19911955664588,-12.378426171529844,15.19911955664588,-4.393810610489046,4.848510452912791,-4.393810610489046,4.848510452912791
ANIMEUSDT,103,1,False,0,0,0,0,-8.536064874092864,5.99762229493539,-8.536064874092864,5.99762229493539,-9.18767883911431,12.184478553396438,-9.18767883911431,12.184478553396438
APEUSDT,103,1,False,0,0,0,0,-10.388995440017146,16.54367062046802,-10.388995440017146,16.54367062046802,-14.990256250339007,13.930282026606289,-14.990256250339007,13.930282026606289
API3USDT,103,1,False,0,0,0,0,-0.44320043604995085,97.91614361034374,-0.44320043604995085,97.91614361034374,-17.946341512403706,17.212131722974533,-17.946341512403706,17.212131722974533
APRUSDT,103,1,False,0,0,0,0,-33.3266572442048,3.0312215822969613,-33.3266572442048,3.0312215822969613,-13.132102913938626,31.30927162493302,-13.132102913938626,31.30927162493302
APTUSDT,103,1,False,0,0,0,0,-9.370119729307236,1.4385562847563094,-9.370119729307236,1.4385562847563094,-3.464346313253319,9.617889274049496,-3.464346313253319,9.617889274049496
ARBUSDT,103,1,False,0,0,0,0,-11.520737327189723,9.431715333683144,-11.520737327189723,9.431715333683144,-9.758859533670616,9.292777138654174,-9.758859533670616,9.292777138654174
ARKMUSDT,103,1,False,0,0,0,0,-13.66004429244616,9.048616509372831,-13.66004429244616,9.048616509372831,-16.058639196953052,7.124079902833813,-16.058639196953052,7.124079902833813
ASTERUSDT,103,1,False,0,0,0,0,-9.126863401276442,13.747438207660778,-9.126863401276442,13.747438207660778,-10.517855209488669,5.120303058741005,-10.517855209488669,5.120303058741005
ATHUSDT,103,1,False,0,0,0,0,-11.280614238832198,12.911555842478606,-11.280614238832198,12.911555842478606,-13.315579227696217,5.25151686729064,-13.315579227696217,5.25151686729064
ATOMUSDT,103,1,False,0,0,0,0,-15.212981744421317,3.800382063241514,-15.212981744421317,3.800382063241514,-8.288975662370524,3.6082099970569104,-8.288975662370524,3.6082099970569104
AVAXUSDT,103,1,False,0,0,0,0,-8.677487525581284,2.190100744634549,-8.677487525581284,2.190100744634549,-4.3791651841640356,3.863016017451315,-4.3791651841640356,3.863016017451315
AVNTUSDT,103,1,False,0,0,0,0,-19.432831463758184,22.497187851517886,-19.432831463758184,22.497187851517886,-12.025113570163226,14.986233576135266,-12.025113570163226,14.986233576135266
AXSUSDT,103,1,False,0,0,0,0,-7.64696481924787,13.614703880191481,-7.64696481924787,13.614703880191481,-7.660226402246284,6.666741837337842,-7.660226402246284,6.666741837337842
BABYUSDT,103,1,False,0,0,0,0,-19.379844961240345,13.50801795892087,-19.379844961240345,13.50801795892087,-11.267499039293583,3.29607928999609,-11.267499039293583,3.29607928999609
BANDUSDT,103,1,False,0,0,0,0,-33.9521926526265,15.744008000588838,-33.9521926526265,15.744008000588838,-30.48819956355753,16.09048236160593,-30.48819956355753,16.09048236160593
BARDUSDT,103,1,False,0,0,0,0,-9.826400262038515,17.7935943060481,-9.826400262038515,17.7935943060481,-9.941649955311771,9.658530623775086,-9.941649955311771,9.658530623775086
BATUSDT,103,1,False,0,0,0,0,-12.833168805528317,10.398706781236111,-12.833168805528317,10.398706781236111,-18.626836306998573,8.290488126505569,-18.626836306998573,8.290488126505569
BCHUSDT,103,1,False,0,0,0,0,-7.934848012359774,1.3607293509321217,-7.934848012359774,1.3607293509321217,-5.281141009557677,3.3403638052464935,-5.281141009557677,3.3403638052464935
BEATUSDT,103,1,False,0,0,0,0,-20.355747498315147,5.75815738963481,-20.355747498315147,5.75815738963481,-12.054794245115463,28.423013651415197,-12.054794245115463,28.423013651415197
BICOUSDT,103,1,False,0,0,0,0,-19.14208197376088,18.485745857657054,-19.14208197376088,18.485745857657054,-27.53383301895451,26.5666908053519,-27.53383301895451,26.5666908053519
BIGTIMEUSDT,103,1,False,0,0,0,0,-23.04079402120962,3.729427013279274,-23.04079402120962,3.729427013279274,-19.665860138704527,15.807362140844994,-19.665860138704527,15.807362140844994
BIOUSDT,103,1,False,0,0,0,0,-16.341411321768582,50.15274533187508,-16.341411321768582,50.15274533187508,-16.76352929408931,33.62383155968818,-16.76352929408931,33.62383155968818
BLURUSDT,103,1,False,0,0,0,0,-14.80196379113563,14.959521946678045,-14.80196379113563,14.959521946678045,-15.676759159425346,13.325677152511428,-15.676759159425346,13.325677152511428
BNBUSDT,103,1,False,0,0,0,0,-15.810839859062842,-8.803961326433463,-15.810839859062842,-8.803961326433463,-2.339394197736766,1.7311612821835354,-2.339394197736766,1.7311612821835354
BOMEUSDT,103,1,False,0,0,0,0,-13.798839385290584,10.174532362838828,-13.798839385290584,10.174532362838828,-12.352214575611642,14.190925478465566,-12.352214575611642,14.190925478465566
BRETTUSDT,103,1,False,0,0,0,0,-13.729872606192961,31.295140488409867,-13.729872606192961,31.295140488409867,-18.576193468637925,30.478324852802885,-18.576193468637925,30.478324852802885
BREVUSDT,101,1,False,0,0,0,0,-23.94253790901746,7.5414781297156175,-23.94253790901746,7.5414781297156175,-14.203186562082859,6.696977871405441,-14.203186562082859,6.696977871405441
BTCUSDT,103,1,False,0,0,0,0,-3.365115941550423,1.906866938015117,-3.365115941550423,1.906866938015117,-1.7974564654110736,2.6474105382945368,-1.7974564654110736,2.6474105382945368
CCUSDT,103,1,False,0,0,0,0,-10.22816411832772,11.93475666357191,-10.22816411832772,11.93475666357191,-10.318543421096171,46.72357146394912,-10.318543421096171,46.72357146394912
CFXUSDT,103,1,False,0,0,0,0,-6.40180807459978,8.538251366121408,-6.40180807459978,8.538251366121408,-4.803126307133532,6.799557831924652,-4.803126307133532,6.799557831924652
