candidate_id,signal_vector_cluster_id,max_corr_to_other_signal_vector,expression,field_families,skeleton_key,production_key,q_decision,r_decision,s_a7al2s_tier,is_may_stress_failed,selector_score_no_may,selected_by_a7al2v,uses_may_for_cluster
a7al2q_0133ba7e904144bd,svc_000,0.8772392641957193,"Mul(ZScore(Mean(open_interest_last,4)),ZScore(Delta(mark_close,504)))",open_interest|price,skeleton-34595505730d2c62,a7al2q_local_oi_price::oi_level_x_price_delta::open_interest_last|mark_close::4|504,HOLD_A7AL2Q_CONTROL_DOMINATED,,,False,-0.38866315,False,False
a7al2q_052666e2602c6204,svc_001,0.6201662076447914,"Sub(Abs(ZScore(Delta(open_interest_value_mean,720))),Abs(ZScore(Delta(mark_close,12))))",open_interest|price,skeleton-65ce4cb2af0cf72a,a7al2q_local_oi_price::abs_delta_gap::open_interest_value_mean|mark_close::720|12,HOLD_A7AL2Q_CONTROL_DOMINATED,,,False,-0.71414237,False,False
a7al2q_0531d6565dc36cea,svc_002,0.8244369004845543,"Add(ZScore(Mean(open_interest_last,168)),Neg(ZScore(Delta(index_close,4))))",open_interest|price,skeleton-cdd50cc367bea61c,a7al2q_local_oi_price::oi_level_plus_neg_price_delta::open_interest_last|index_close::168|4,HOLD_A7AL2Q_CONTROL_DOMINATED,,,False,-1.36557326,False,False
a7al2q_070161fc8a8254ad,svc_003,0.5757651179874139,"Mul(Abs(ZScore(Mean(open_interest_last,72))),Abs(ZScore(Delta(mark_close,720))))",open_interest|price,skeleton-5ca10905a35c5fca,a7al2q_local_oi_price::oi_abs_x_price_abs_delta::open_interest_last|mark_close::72|720,HOLD_A7AL2Q_CONTROL_DOMINATED,,,False,-0.08420221,False,False
a7al2q_07a399f87a92a0d2,svc_004,0.7184926512508969,"Mul(ZScore(Delta(open_interest_last,504)),ZScore(Delta(index_close,12)))",open_interest|price,skeleton-c843c26fad347fd9,a7al2q_local_oi_price::oi_delta_x_price_delta::open_interest_last|index_close::504|12,HOLD_A7AL2Q_CONTROL_DOMINATED,,,False,0.28129483,False,False
a7al2q_0a44f7b06019cff8,svc_005,0.6840498561381956,"Mul(Abs(ZScore(Delta(open_interest_value_mean,168))),Abs(ZScore(Mean(trade_close,72))))",open_interest|price,skeleton-bb9ca3f57ba3a72b,a7al2q_local_oi_price::oi_abs_delta_x_price_abs::open_interest_value_mean|trade_close::168|72,HOLD_A7AL2Q_CONTROL_DOMINATED,,,False,-0.58364429,False,False
a7al2q_0b3baa3540853655,svc_006,0.6256508642314483,"Mul(Abs(ZScore(Mean(open_interest_mean,96))),Abs(ZScore(Delta(index_close,24))))",open_interest|price,skeleton-5ca10905a35c5fca,a7al2q_local_oi_price::oi_abs_x_price_abs_delta::open_interest_mean|index_close::96|24,HOLD_A7AL2Q_CONTROL_DOMINATED,,,False,-0.31869885,False,False
a7al2q_0d7351f49adf11c3,svc_007,0.8771092702922838,"Add(ZScore(Delta(open_interest_value_last,168)),Neg(ZScore(Mean(trade_close,720))))",open_interest|price,skeleton-a31a62d6cd42777e,a7al2q_local_oi_price::oi_delta_plus_neg_price_level::open_interest_value_last|trade_close::168|720,HOLD_A7AL2Q_CONTROL_DOMINATED,,,False,-1.3254341,False,False
a7al2q_0de0d41346741bd1,svc_008,0.9637534172188451,"Sub(Abs(ZScore(Mean(open_interest_value_last,24))),Abs(ZScore(Mean(trade_close,24))))",open_interest|price,skeleton-834f1fb23958e23f,a7al2q_local_oi_price::abs_level_gap::open_interest_value_last|trade_close::24|24,A7AL2Q_LOCAL_OI_PRICE_DIAGNOSTIC_CANDIDATE,A7AL2R_LOCAL_FORENSIC_PASS,primary_clean_premay__may_control_dominated,True,3.32987059,True,False
a7al2q_0f14395724f60a61,svc_009,0.8369310415569404,"Mul(ZScore(Delta(open_interest_value_mean,72)),ZScore(Mean(mark_close,504)))",open_interest|price,skeleton-6a73164c2e3655ed,a7al2q_local_oi_price::oi_delta_x_price_level::open_interest_value_mean|mark_close::72|504,HOLD_A7AL2Q_CONTROL_DOMINATED,,,False,-0.14632291,False,False
