path,name,is_dir,size_gb,file_count,suffix_counts_json,sample_digest,sample_files_json,coverage_roots,coverage_hits_json,cleanup_decision,cleanup_reason
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\incoming\a7al1_basepanel_chunks,a7al1_basepanel_chunks,True,4.39,-1,"{"".part00"": 1, "".part01"": 1, "".part02"": 1, "".part03"": 1, "".part04"": 1, "".part05"": 1, "".part06"": 1, "".part07"": 1, "".part08"": 1, "".tar"": 1}",65f38bf16046c25e,"[""basepanel.tar.part00"", ""basepanel.tar.part01"", ""basepanel.tar.part02"", ""basepanel.tar.part03"", ""basepanel.tar.part04"", ""basepanel.tar.part05"", ""basepanel.tar.part06"", ""basepanel.tar.part07"", ""basepanel.tar.part08"", ""binance_universe498_replay_1h_v1_20260525.tar""]",gold|reports,"[{""root"": ""gold"", ""type"": ""semantic_hint"", ""path"": ""D:\\HermesWorker\\GDrive\\AlphaFactory_CryptoData\\gold""}, {""root"": ""reports"", ""type"": ""semantic_hint"", ""path"": ""D:\\HermesWorker\\GDrive\\AlphaFactory_CryptoData\\reports""}]",DELETE_CANDIDATE_AFTER_MANIFEST_CHECK,incoming package appears downstreamed
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\transfer\crypto_universe500_20260525,crypto_universe500_20260525,True,3.66,-1,"{"".tar"": 5}",173b876a088f0ee7,"[""manifests_reports.tar"", ""metadata_universe.tar"", ""raw_metrics_remaining_top500.tar"", ""raw_metrics_top300.tar"", ""raw_monthly_funding_market_top300.tar""]",gold|raw|silver,"[{""root"": ""raw"", ""type"": ""semantic_hint"", ""path"": ""D:\\HermesWorker\\GDrive\\AlphaFactory_CryptoData\\raw""}, {""root"": ""silver"", ""type"": ""semantic_hint"", ""path"": ""D:\\HermesWorker\\GDrive\\AlphaFactory_CryptoData\\silver""}, {""root"": ""gold"", ""type"": ""semantic_hint"", ""path"": ""D:\\HermesWorker\\GDrive\\AlphaFactory_CryptoData\\gold""}]",DELETE_CANDIDATE_AFTER_MANIFEST_CHECK,transfer package has downstream coverage hits
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\codex_sync\sessions_2026_05,sessions_2026_05,True,1.58,-1,{},2f8fb3005909f9fd,"[""01/"", ""02/"", ""03/"", ""04/"", ""05/"", ""06/"", ""07/"", ""08/"", ""09/"", ""10/""]",,[],LIKELY_SAFE_TO_ARCHIVE_OR_DELETE,codex_sync mirror/session artifact; not alpha data source
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\codex_sync\.codex,.codex,True,1.571,-1,"{"".bak"": 1, "".json"": 5, "".jsonl"": 1, "".md"": 1, "".py"": 10, "".sh"": 3, "".sqlite"": 2, "".sqlite-shm"": 2, "".sqlite-wal"": 2, "".toml"": 1, ""<none>"": 4}",80d2bc4e8b138a13,"["".codex/"", "".gitignore"", "".personality_migration"", ""AGENTS.md"", ""agent_workflow/"", ""auth.json"", ""cap_sid"", ""check_hermes_sessions.sh"", ""compare_session_stores.py"", ""config.toml""]",,[],LIKELY_SAFE_TO_ARCHIVE_OR_DELETE,codex_sync mirror/session artifact; not alpha data source
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\transfer\crypto_universe500_complete_silver_20260525,crypto_universe500_complete_silver_20260525,True,1.031,-1,"{"".tar"": 1}",184b7090dbcb8614,"[""crypto_universe500_complete_silver_20260525.tar""]",gold|raw|silver,"[{""root"": ""raw"", ""type"": ""semantic_hint"", ""path"": ""D:\\HermesWorker\\GDrive\\AlphaFactory_CryptoData\\raw""}, {""root"": ""silver"", ""type"": ""semantic_hint"", ""path"": ""D:\\HermesWorker\\GDrive\\AlphaFactory_CryptoData\\silver""}, {""root"": ""gold"", ""type"": ""semantic_hint"", ""path"": ""D:\\HermesWorker\\GDrive\\AlphaFactory_CryptoData\\gold""}]",DELETE_CANDIDATE_AFTER_MANIFEST_CHECK,transfer package has downstream coverage hits
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\transfer\crypto_universe500_silver_20260525,crypto_universe500_silver_20260525,True,0.856,-1,"{"".tar"": 1}",eb1dd6e714295567,"[""crypto_universe500_silver_20260525.tar""]",gold|raw|silver,"[{""root"": ""raw"", ""type"": ""semantic_hint"", ""path"": ""D:\\HermesWorker\\GDrive\\AlphaFactory_CryptoData\\raw""}, {""root"": ""silver"", ""type"": ""semantic_hint"", ""path"": ""D:\\HermesWorker\\GDrive\\AlphaFactory_CryptoData\\silver""}, {""root"": ""gold"", ""type"": ""semantic_hint"", ""path"": ""D:\\HermesWorker\\GDrive\\AlphaFactory_CryptoData\\gold""}]",DELETE_CANDIDATE_AFTER_MANIFEST_CHECK,transfer package has downstream coverage hits
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\codex_sync\tmp,tmp,True,0.451,-1,"{"".ps1"": 1, "".py"": 16, "".sh"": 4, "".sql"": 7}",e0f892a245d42524,"[""analyze_hermes_dumps.py"", ""boss_chat_probe.sh"", ""build_ops_daily_delivery.py"", ""build_ops_daily_dual_profit_reports.cloud.py"", ""build_ops_daily_dual_profit_reports.py"", ""build_ops_live_attribution_html.py"", ""build_ops_profit_dashboard_html.py"", ""caddy/"", ""check_after_recollect.sql"", ""check_fee_change.sql""]",,[],LIKELY_SAFE_TO_ARCHIVE_OR_DELETE,codex_sync mirror/session artifact; not alpha data source
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\codex_sync\.tmp,.tmp,True,0.071,-1,{},15e61f8d09f689d1,"[""bundled-marketplaces/"", ""marketplaces/"", ""plugins/""]",,[],LIKELY_SAFE_TO_ARCHIVE_OR_DELETE,codex_sync mirror/session artifact; not alpha data source
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\tmp\inspect_THETAUSDT_bookTicker_2024-03-19.zip,inspect_THETAUSDT_bookTicker_2024-03-19.zip,False,0.052,1,"{"".zip"": 1}",c633bb15ea92d74a,"[""inspect_THETAUSDT_bookTicker_2024-03-19.zip""]",,[],LIKELY_SAFE_TO_DELETE,tmp directory/file
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\tmp\binance_vision,binance_vision,True,0.022,1,"{"".part"": 1}",927bfad4cc69d9e1,"[""bookticker_stream_top200_202403_1h_rawtemp_v1_20260526/AAVEUSDT/AAVEUSDT-bookTicker-2024-03-18.zip.part""]",,[],LIKELY_SAFE_TO_DELETE,tmp directory/file
