shard,semantic_pair,decision,count
00,basis_premium_like,A7FF10S00_NUMERIC_CLUE,27
00,basis_premium_like,A7FF10S00_RANK_LABEL_DIAGNOSTIC_CLUE,6
00,basis_premium_like,HOLD_A7FF10S00_CONTROL_DOMINATED,101
00,basis_premium_like,HOLD_A7FF10S00_COST2_PROXY_FRAGILE,1
00,basis_premium_like,HOLD_A7FF10S00_ONE_BAR_LAG_FRAGILE,35
00,basis_premium_like,HOLD_A7FF10S00_PRE_MAY_UNSTABLE,130
00,basis_premium_like|positioning_like,A7FF10S00_NUMERIC_CLUE,60
00,basis_premium_like|positioning_like,A7FF10S00_RANK_LABEL_DIAGNOSTIC_CLUE,8
00,basis_premium_like|positioning_like,HOLD_A7FF10S00_CONTROL_DOMINATED,284
00,basis_premium_like|positioning_like,HOLD_A7FF10S00_COST2_PROXY_FRAGILE,2
00,basis_premium_like|positioning_like,HOLD_A7FF10S00_ONE_BAR_LAG_FRAGILE,73
00,basis_premium_like|positioning_like,HOLD_A7FF10S00_PRE_MAY_UNSTABLE,1193
01,basis_premium_like|positioning_like,A7FF10S01_NUMERIC_CLUE,3
01,basis_premium_like|positioning_like,A7FF10S01_RANK_LABEL_DIAGNOSTIC_CLUE,2
01,basis_premium_like|positioning_like,HOLD_A7FF10S01_CONTROL_DOMINATED,77
01,basis_premium_like|positioning_like,HOLD_A7FF10S01_ONE_BAR_LAG_FRAGILE,20
01,basis_premium_like|positioning_like,HOLD_A7FF10S01_PRE_MAY_UNSTABLE,198
01,basis_premium_like|volatility_like,A7FF10S01_NUMERIC_CLUE,109
01,basis_premium_like|volatility_like,A7FF10S01_RANK_LABEL_DIAGNOSTIC_CLUE,21
01,basis_premium_like|volatility_like,HOLD_A7FF10S01_CONTROL_DOMINATED,510
01,basis_premium_like|volatility_like,HOLD_A7FF10S01_COST2_PROXY_FRAGILE,10
01,basis_premium_like|volatility_like,HOLD_A7FF10S01_ONE_BAR_LAG_FRAGILE,86
01,basis_premium_like|volatility_like,HOLD_A7FF10S01_PRE_MAY_UNSTABLE,884
02,basis_premium_like|basis_premium_like,A7FF10S02_NUMERIC_CLUE,18
02,basis_premium_like|basis_premium_like,A7FF10S02_RANK_LABEL_DIAGNOSTIC_CLUE,2
02,basis_premium_like|basis_premium_like,HOLD_A7FF10S02_CONTROL_DOMINATED,189
02,basis_premium_like|basis_premium_like,HOLD_A7FF10S02_NONOVERLAP_WEAK,1
02,basis_premium_like|basis_premium_like,HOLD_A7FF10S02_ONE_BAR_LAG_FRAGILE,27
02,basis_premium_like|basis_premium_like,HOLD_A7FF10S02_PRE_MAY_UNSTABLE,1383
02,basis_premium_like|volatility_like,A7FF10S02_NUMERIC_CLUE,1
02,basis_premium_like|volatility_like,A7FF10S02_RANK_LABEL_DIAGNOSTIC_CLUE,1
02,basis_premium_like|volatility_like,HOLD_A7FF10S02_CONTROL_DOMINATED,37
02,basis_premium_like|volatility_like,HOLD_A7FF10S02_ONE_BAR_LAG_FRAGILE,3
02,basis_premium_like|volatility_like,HOLD_A7FF10S02_PRE_MAY_UNSTABLE,258
03,basis_premium_like|basis_premium_like,A7FF10S03_NUMERIC_CLUE,13
03,basis_premium_like|basis_premium_like,HOLD_A7FF10S03_CONTROL_DOMINATED,60
03,basis_premium_like|basis_premium_like,HOLD_A7FF10S03_ONE_BAR_LAG_FRAGILE,17
03,basis_premium_like|basis_premium_like,HOLD_A7FF10S03_PRE_MAY_UNSTABLE,210
03,basis_premium_like|price_like,A7FF10S03_NUMERIC_CLUE,6
03,basis_premium_like|price_like,A7FF10S03_RANK_LABEL_DIAGNOSTIC_CLUE,26
03,basis_premium_like|price_like,HOLD_A7FF10S03_CONTROL_DOMINATED,436
03,basis_premium_like|price_like,HOLD_A7FF10S03_COST2_PROXY_FRAGILE,3
03,basis_premium_like|price_like,HOLD_A7FF10S03_ONE_BAR_LAG_FRAGILE,15
03,basis_premium_like|price_like,HOLD_A7FF10S03_PRE_MAY_UNSTABLE,1134
