skeleton_key,count,share
skel_136259b72205469f,2,0.05
skel_069f2015163fa7ef,2,0.05
skel_293cae94cfd91548,2,0.05
skel_212ff8a4592ba496,2,0.05
skel_b04640f9c6171dfc,2,0.05
skel_1d39996e97d5ace0,1,0.025
skel_6a3533b4d89c4d45,1,0.025
skel_8ee95cdec48a7c8f,1,0.025
skel_8727d93aac220fc6,1,0.025
skel_f5a350b26e95f33f,1,0.025
skel_897201905b87a210,1,0.025
skel_e47b3d7310e98dd5,1,0.025
skel_0994b3a36a4d53ba,1,0.025
skel_37ba6246678096b3,1,0.025
skel_f8484b844efd270f,1,0.025
skel_7be1b7a1db5c1738,1,0.025
skel_7c564c472f890218,1,0.025
skel_593666ed3f85046b,1,0.025
skel_99250fb0b3bee329,1,0.025
skel_26519c5fcf83ddd8,1,0.025
skel_3363cfb4025bd87d,1,0.025
skel_f4bab95847f60af5,1,0.025
skel_dd660997d608c4f9,1,0.025
skel_ea6cf56ff46594b4,1,0.025
skel_1128a9bc5ebfee1a,1,0.025
skel_6a4becaf6b891485,1,0.025
skel_8a80c8785bbf365b,1,0.025
skel_ec07cc6961c03640,1,0.025
skel_7fd2912a83f38953,1,0.025
skel_5a70d0294f8d4e03,1,0.025
skel_09509dd135416ab3,1,0.025
skel_644ba0ee0d0e38ee,1,0.025
skel_f972d9376d895b33,1,0.025
skel_9505754fb4b5368b,1,0.025
skel_89c9a5648756465b,1,0.025
