decision,label_family,count
A7FF12S04_NUMERIC_CLUE,L0_raw_forward_return,17
A7FF12S04_NUMERIC_CLUE,L1_cross_sectional_relative_return,19
A7FF12S04_NUMERIC_CLUE,L3_liquidity_tier_relative_return,19
A7FF12S04_NUMERIC_CLUE,L5_vol_adjusted_return,23
A7FF12S04_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,24
HOLD_A7FF12S04_CONTROL_DOMINATED,L0_raw_forward_return,98
HOLD_A7FF12S04_CONTROL_DOMINATED,L1_cross_sectional_relative_return,96
HOLD_A7FF12S04_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,79
HOLD_A7FF12S04_CONTROL_DOMINATED,L5_vol_adjusted_return,97
HOLD_A7FF12S04_CONTROL_DOMINATED,L7_ranked_future_return,100
HOLD_A7FF12S04_COST2_PROXY_FRAGILE,L0_raw_forward_return,1
HOLD_A7FF12S04_COST2_PROXY_FRAGILE,L1_cross_sectional_relative_return,1
HOLD_A7FF12S04_COST2_PROXY_FRAGILE,L3_liquidity_tier_relative_return,4
HOLD_A7FF12S04_ONE_BAR_LAG_FRAGILE,L0_raw_forward_return,21
HOLD_A7FF12S04_ONE_BAR_LAG_FRAGILE,L1_cross_sectional_relative_return,21
HOLD_A7FF12S04_ONE_BAR_LAG_FRAGILE,L3_liquidity_tier_relative_return,23
HOLD_A7FF12S04_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,38
HOLD_A7FF12S04_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,63
HOLD_A7FF12S04_PRE_MAY_UNSTABLE,L0_raw_forward_return,223
HOLD_A7FF12S04_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,223
HOLD_A7FF12S04_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,235
HOLD_A7FF12S04_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,202
HOLD_A7FF12S04_PRE_MAY_UNSTABLE,L7_ranked_future_return,173
