blueprint_id,selected_rows,label_families,horizons,best_cost_tier_rank,max_followup_score,expression,semantic_pair,motif,skeleton_key
a7ff7e_b38081e93d4f200f,1,1,1,3,614.8986361795966,"Sub(CSRank(Delta(mark_index_basis_bps,12)),CSRank(mark_trade_basis_bps))",basis_premium_like|basis_premium_like,spread_rank,skel_51c2bb588b20fa9e
a7ff7e_3f3c420268049cb3,1,1,1,3,614.3912863614532,"Sub(CSRank(Delta(mark_index_basis_bps,12)),CSRank(CSRank(mark_trade_basis_bps)))",basis_premium_like|basis_premium_like,spread_rank,skel_9505754fb4b5368b
a7ff7e_77104f0e768df207,1,1,1,3,614.2050989789047,"Sub(CSRank(Delta(mark_index_basis_bps,12)),CSRank(Clip(ZScore(mark_trade_basis_bps),-3,3)))",basis_premium_like|basis_premium_like,spread_rank,skel_00fa107e5b1b71eb
a7ff7e_f93323f3cf580b67,2,2,2,3,533.7434059126706,"Mul(Delta(mark_index_basis_bps,12),taker_buy_sell_volume_ratio_last)",basis_premium_like|positioning_like,mul,skel_0994b3a36a4d53ba
a7ff7e_6318fc22f34b1456,2,1,2,3,335.4746208858794,"Sub(CSRank(Delta(mark_index_basis_bps,12)),CSRank(Delta(premium_close_bps,12)))",basis_premium_like|basis_premium_like,spread_rank,skel_bcb165b7818f5d85
a7ff7e_49154ed0f73733d8,2,2,2,3,294.76609205162856,"Mul(Delta(mark_index_basis_bps,1),realized_vol_24h)",basis_premium_like|volatility_like,mul,skel_0994b3a36a4d53ba
a7ff7e_2959fcddf1a8a931,2,2,1,3,240.64722438770679,"SafeDiv(mark_index_basis_bps,Abs(Abs(ZScore(realized_vol_24h))))",basis_premium_like|volatility_like,safe_div_abs,skel_6a4becaf6b891485
a7ff7e_5201f3314c5dae1a,2,2,1,3,239.75823317147083,"SafeDiv(mark_index_basis_bps,Abs(Clip(ZScore(realized_vol_24h),-3,3)))",basis_premium_like|volatility_like,safe_div_abs,skel_1c4b9d5957f9af9c
a7ff7e_baf8979f98b80ea5,2,2,1,3,216.77994890859398,"SafeDiv(Clip(ZScore(mark_index_basis_bps),-3,3),Abs(CSRank(realized_vol_24h)))",basis_premium_like|volatility_like,safe_div_abs,skel_99250fb0b3bee329
a7ff7e_c0ec1785df986116,2,2,1,3,184.24942347186268,"Mul(Abs(ZScore(mark_index_basis_bps)),Delta(premium_close_bps,12))",basis_premium_like|basis_premium_like,mul,skel_7c564c472f890218
a7ff7e_620758ad5441a864,1,1,1,3,176.85143785645752,"Mul(Clip(ZScore(mark_index_basis_bps),-3,3),CSRank(mark_trade_basis_bps))",basis_premium_like|basis_premium_like,mul,skel_3363cfb4025bd87d
a7ff7e_96c197cefcf7d2f2,1,1,1,3,168.84390777415433,"Mean(Mul(Delta(mark_index_basis_bps,12),realized_vol_24h),4)",basis_premium_like|volatility_like,smooth_interaction,skel_8184698cb7b24c02
a7ff7e_10e4997b8ce12a81,2,2,1,3,161.57407464085506,"Mean(Mul(Delta(mark_index_basis_bps,12),CSRank(mark_trade_basis_bps)),4)",basis_premium_like|basis_premium_like,smooth_interaction,skel_1128a9bc5ebfee1a
a7ff7e_e6421f87ddaf0f10,1,1,1,3,158.56793560883588,"Mean(Mul(Delta(mark_index_basis_bps,12),Abs(ZScore(realized_vol_168h))),4)",basis_premium_like|volatility_like,smooth_interaction,skel_60e4266f7f901971
a7ff7e_6dd372cacc5ae787,1,1,1,3,155.76912558615527,"Sub(CSRank(mark_index_basis_bps),Delta(premium_close_bps,12))",basis_premium_like|basis_premium_like,sub,skel_e47b3d7310e98dd5
