semantic_pair,label_family,label_horizon_h,count
basis_premium_like|positioning_like,L0_raw_forward_return,1,27
basis_premium_like|positioning_like,L1_cross_sectional_relative_return,1,27
basis_premium_like|positioning_like,L3_liquidity_tier_relative_return,1,27
basis_premium_like|basis_premium_like,L5_vol_adjusted_return,1,22
basis_premium_like|volatility_like,L5_vol_adjusted_return,1,22
basis_premium_like|volatility_like,L3_liquidity_tier_relative_return,1,21
basis_premium_like|volatility_like,L1_cross_sectional_relative_return,1,20
basis_premium_like|volatility_like,L0_raw_forward_return,1,20
basis_premium_like|positioning_like,L5_vol_adjusted_return,1,16
basis_premium_like|basis_premium_like,L0_raw_forward_return,1,14
basis_premium_like|basis_premium_like,L3_liquidity_tier_relative_return,1,14
basis_premium_like|basis_premium_like,L1_cross_sectional_relative_return,1,13
basis_premium_like|positioning_like,L5_vol_adjusted_return,4,10
basis_premium_like|volatility_like,L5_vol_adjusted_return,4,9
basis_premium_like|basis_premium_like,L5_vol_adjusted_return,4,9
basis_premium_like|basis_premium_like,L5_vol_adjusted_return,8,9
basis_premium_like|price_like,L5_vol_adjusted_return,1,8
basis_premium_like|basis_premium_like,L0_raw_forward_return,4,7
basis_premium_like|volatility_like,L5_vol_adjusted_return,8,7
basis_premium_like|basis_premium_like,L1_cross_sectional_relative_return,4,7
basis_premium_like|price_like,L1_cross_sectional_relative_return,1,7
basis_premium_like|price_like,L0_raw_forward_return,1,7
basis_premium_like|price_like,L3_liquidity_tier_relative_return,1,7
basis_premium_like|volatility_like,L1_cross_sectional_relative_return,4,7
basis_premium_like|positioning_like,L1_cross_sectional_relative_return,4,6
basis_premium_like|positioning_like,L3_liquidity_tier_relative_return,4,6
basis_premium_like|basis_premium_like,L3_liquidity_tier_relative_return,4,6
basis_premium_like|volatility_like,L3_liquidity_tier_relative_return,4,5
basis_premium_like|price_like,L1_cross_sectional_relative_return,4,5
basis_premium_like|positioning_like,L0_raw_forward_return,4,5
basis_premium_like|price_like,L0_raw_forward_return,4,4
basis_premium_like|price_like,L5_vol_adjusted_return,8,4
basis_premium_like|volatility_like,L0_raw_forward_return,4,4
basis_premium_like|price_like,L3_liquidity_tier_relative_return,4,3
basis_premium_like|price_like,L5_vol_adjusted_return,4,3
basis_premium_like|positioning_like,L5_vol_adjusted_return,8,3
basis_premium_like|volatility_like,L1_cross_sectional_relative_return,8,2
basis_premium_like|volatility_like,L0_raw_forward_return,8,2
basis_premium_like|positioning_like,L1_cross_sectional_relative_return,8,2
basis_premium_like|basis_premium_like,L0_raw_forward_return,8,1
basis_premium_like|basis_premium_like,L1_cross_sectional_relative_return,8,1
basis_premium_like|positioning_like,L3_liquidity_tier_relative_return,8,1
basis_premium_like|positioning_like,L0_raw_forward_return,8,1
basis_premium_like|volatility_like,L3_liquidity_tier_relative_return,8,1
