semantic_pair,a7ff23r_pair_route,pair_count,modifier_guard_pairs
basis_premium_like|positioning_like,exploratory_generation_priority,281,281
basis_premium_like|funding_like,exploratory_generation_priority,118,118
basis_premium_like|volatility_like,exploratory_generation_priority,110,110
funding_like|positioning_like,exploratory_generation_priority,90,90
basis_premium_like|price_like,exploratory_generation_priority,54,54
liquidity_like|volatility_like,exploratory_generation_priority,52,52
basis_premium_like|positioning_like,generation_priority,19,19
basis_premium_like|liquidity_like,generation_priority,15,15
liquidity_like|volatility_like,generation_priority,14,14
basis_premium_like|basis_premium_like,generation_priority,14,13
positioning_like|volatility_like,generation_priority,12,12
basis_premium_like|volatility_like,generation_priority,10,6
volatility_like|volatility_like,generation_priority,7,6
price_like|volatility_like,generation_priority,6,4
basis_premium_like|generic_numeric,generation_priority,6,6
basis_premium_like|price_like,generation_priority,6,4
generic_numeric|volatility_like,generation_priority,6,6
basis_premium_like|state_or_taxonomy,generation_priority,6,6
state_or_taxonomy|volatility_like,generation_priority,4,4
basis_premium_like|funding_like,generation_priority,2,2
funding_like|volatility_like,generation_priority,2,2
liquidity_like|price_like,generation_priority,2,2
price_like|price_like,generation_priority,1,1
