level,primary_field,secondary_field,primary_semantic,secondary_semantic,primary_route,secondary_route,primary_transform,secondary_transform,motif,expression,semantic_pair,generation_priority,candidate_role,modifier_guard_required,skeleton_key,production_key,blueprint_id,company_shard
L2_typed_two_field_interaction,mark_index_basis_bps,trade_return_1h,basis_premium_like,price_like,primary_signal_seed,exploratory_signal_seed,level,zmean_12h,safe_div_abs,"SafeDiv(mark_index_basis_bps,Abs(ZScore(Mean(trade_return_1h,12))))",basis_premium_like|price_like,P0,role_mixed_allowed,False,skel_c80f62c274b367a9,prod_c76ceee6ce57c938,a7ff24r_a07deb744fa28704,shard_03
L2_typed_two_field_interaction,premium_close_bps,trade_return_1h,basis_premium_like,price_like,exploratory_signal_seed,exploratory_signal_seed,level,zmean_1h,safe_div_abs,"SafeDiv(premium_close_bps,Abs(ZScore(Mean(trade_return_1h,1))))",basis_premium_like|price_like,P0,role_mixed_allowed,False,skel_c80f62c274b367a9,prod_88fc9726f0951efe,a7ff24r_b0e88e3a213fb869,shard_03
L2_typed_two_field_interaction,premium_close_bps,trade_return_1h,basis_premium_like,price_like,exploratory_signal_seed,exploratory_signal_seed,level,zmean_12h,safe_div_abs,"SafeDiv(premium_close_bps,Abs(ZScore(Mean(trade_return_1h,12))))",basis_premium_like|price_like,P0,role_mixed_allowed,False,skel_c80f62c274b367a9,prod_421a06b03688067d,a7ff24r_b74c05b6f58309a0,shard_03
L2_typed_two_field_interaction,premium_close_bps,trade_return_1h,basis_premium_like,price_like,exploratory_signal_seed,exploratory_signal_seed,level,level,safe_div_abs,"SafeDiv(premium_close_bps,Abs(trade_return_1h))",basis_premium_like|price_like,P0,role_mixed_allowed,False,skel_d9d4f69744bac825,prod_d2587fbb8ac49b28,a7ff24r_89f2b5ee0732b53d,shard_03
L2_typed_two_field_interaction,mark_index_basis_bps,trade_return_1h,basis_premium_like,price_like,primary_signal_seed,exploratory_signal_seed,level,level,safe_div_abs,"SafeDiv(mark_index_basis_bps,Abs(trade_return_1h))",basis_premium_like|price_like,P0,role_mixed_allowed,False,skel_d9d4f69744bac825,prod_d1360a36a8820da3,a7ff24r_d18c3c81776887b8,shard_03
L2_typed_two_field_interaction,mark_index_basis_bps,trade_return_1h,basis_premium_like,price_like,primary_signal_seed,exploratory_signal_seed,zmean_4h,level,smooth_mul,"Mean(Mul(ZScore(Mean(mark_index_basis_bps,4)),trade_return_1h),4)",basis_premium_like|price_like,P0,role_mixed_allowed,False,skel_1717bdff259036b1,prod_c548d95fdec4179d,a7ff24r_09967ea65c580ed1,shard_03
L2_typed_two_field_interaction,premium_close_bps,trade_return_1h,basis_premium_like,price_like,exploratory_signal_seed,exploratory_signal_seed,zmean_8h,level,smooth_mul,"Mean(Mul(ZScore(Mean(premium_close_bps,8)),trade_return_1h),4)",basis_premium_like|price_like,P0,role_mixed_allowed,False,skel_1717bdff259036b1,prod_320548bd6536dc0f,a7ff24r_0b14eb232fcccb8d,shard_03
L2_typed_two_field_interaction,premium_close_bps,trade_return_1h,basis_premium_like,price_like,exploratory_signal_seed,exploratory_signal_seed,zmean_4h,level,smooth_mul,"Mean(Mul(ZScore(Mean(premium_close_bps,4)),trade_return_1h),4)",basis_premium_like|price_like,P0,role_mixed_allowed,False,skel_1717bdff259036b1,prod_062cc676b6d31130,a7ff24r_1444cb5234853e00,shard_03
L2_typed_two_field_interaction,mark_index_basis_bps,trade_return_1h,basis_premium_like,price_like,primary_signal_seed,exploratory_signal_seed,zmean_12h,level,smooth_mul,"Mean(Mul(ZScore(Mean(mark_index_basis_bps,12)),trade_return_1h),4)",basis_premium_like|price_like,P0,role_mixed_allowed,False,skel_1717bdff259036b1,prod_d55fa525af091faf,a7ff24r_7af302a1af301a90,shard_03
L2_typed_two_field_interaction,premium_close_bps,trade_return_1h,basis_premium_like,price_like,exploratory_signal_seed,exploratory_signal_seed,zmean_2h,level,smooth_mul,"Mean(Mul(ZScore(Mean(premium_close_bps,2)),trade_return_1h),4)",basis_premium_like|price_like,P0,role_mixed_allowed,False,skel_1717bdff259036b1,prod_5f48c017b9e38347,a7ff24r_7f3f1916242fb354,shard_03
L2_typed_two_field_interaction,mark_index_basis_bps,trade_return_1h,basis_premium_like,price_like,primary_signal_seed,exploratory_signal_seed,zmean_1h,level,smooth_mul,"Mean(Mul(ZScore(Mean(mark_index_basis_bps,1)),trade_return_1h),4)",basis_premium_like|price_like,P0,role_mixed_allowed,False,skel_1717bdff259036b1,prod_383220d0a911ab90,a7ff24r_a2b446013e6ca33d,shard_03
L2_typed_two_field_interaction,premium_close_bps,trade_return_1h,basis_premium_like,price_like,exploratory_signal_seed,exploratory_signal_seed,zmean_1h,level,smooth_mul,"Mean(Mul(ZScore(Mean(premium_close_bps,1)),trade_return_1h),4)",basis_premium_like|price_like,P0,role_mixed_allowed,False,skel_1717bdff259036b1,prod_a680643ce73856da,a7ff24r_a526b01772cd8d91,shard_03
