base_field,semantic_type,seed_route,formula_count,materialization_count,company_wave_count,skeleton_count,production_key_count,formula_share,materialization_share,company_wave_share,materialization_rate_from_formula,company_rate_from_formula
mark_index_basis_bps,basis_premium_like,primary_signal_seed,2350,928,928,48,2350,0.057318471182223954,0.1589857803666267,0.20012939400474444,0.3948936170212766,0.3948936170212766
premium_close_bps,basis_premium_like,exploratory_signal_seed,1540,829,829,42,1540,0.0375618917534574,0.1420250128490663,0.17877938322191073,0.5383116883116883,0.5383116883116883
funding_rate,funding_like,modifier_only_seed,12000,1413,813,51,12000,0.29269006561135635,0.24207640911427103,0.17532887642872547,0.11775,0.06775
trade_return_1h,price_like,exploratory_signal_seed,1041,633,633,29,1041,0.025390863191785164,0.10844611958197704,0.1365106750053914,0.6080691642651297,0.6080691642651297
index_close,basis_premium_like,modifier_only_seed,2601,585,477,48,2601,0.0634405717212615,0.10022271714922049,0.10286823377183524,0.22491349480968859,0.18339100346020762
mark_close,basis_premium_like,modifier_only_seed,1949,415,323,47,1949,0.047537744823044466,0.07109816686654104,0.06965710588742721,0.2129297075423294,0.16572601334017445
realized_vol_168h,volatility_like,exploratory_signal_seed,1102,322,322,30,1102,0.026878704358642893,0.05516532465307521,0.06944144921285314,0.29219600725952816,0.29219600725952816
realized_vol_24h,volatility_like,exploratory_signal_seed,1057,299,299,30,1057,0.025781116612600307,0.051224944320712694,0.06448134569764934,0.282876064333018,0.282876064333018
global_long_short_account_ratio_last,positioning_like,modifier_only_seed,4897,246,9,51,4897,0.11944193760823435,0.042144937467877334,0.0019409100711667026,0.050234837655707576,0.001837859914233204
global_long_short_account_ratio_mean,positioning_like,modifier_only_seed,3301,167,4,51,3301,0.08051415888192395,0.028610587630632175,0.0008626266982963123,0.0505907300817934,0.0012117540139351712
mark_high,basis_premium_like,modifier_only_seed,1212,0,0,37,1212,0.029561696626746993,0.0,0.0,0.0,0.0
mark_low,basis_premium_like,modifier_only_seed,807,0,0,31,807,0.019683406912363716,0.0,0.0,0.0,0.0
mark_trade_basis_bps,basis_premium_like,modifier_only_seed,737,0,0,31,737,0.01797604819629747,0.0,0.0,0.0,0.0
premium_close,basis_premium_like,modifier_only_seed,475,0,0,24,475,0.011585648430449524,0.0,0.0,0.0,0.0
index_count,basis_premium_like,modifier_only_seed,454,0,0,24,454,0.01107344081562965,0.0,0.0,0.0,0.0
open_interest_last,positioning_like,modifier_only_seed,442,0,0,27,442,0.010780750750018293,0.0,0.0,0.0,0.0
open_interest_mean,positioning_like,modifier_only_seed,442,0,0,27,442,0.010780750750018293,0.0,0.0,0.0,0.0
open_interest_value_last,positioning_like,modifier_only_seed,442,0,0,27,442,0.010780750750018293,0.0,0.0,0.0,0.0
index_high,basis_premium_like,modifier_only_seed,395,0,0,24,395,0.009634381326373814,0.0,0.0,0.0,0.0
open_interest_value_mean,positioning_like,modifier_only_seed,338,0,0,27,338,0.008244103514719872,0.0,0.0,0.0,0.0
index_low,basis_premium_like,modifier_only_seed,232,0,0,18,232,0.005658674601819557,0.0,0.0,0.0,0.0
taker_buy_sell_volume_ratio_last,positioning_like,modifier_only_seed,218,0,0,24,218,0.005317202858606308,0.0,0.0,0.0,0.0
index_open,basis_premium_like,modifier_only_seed,210,0,0,18,210,0.005122076148198737,0.0,0.0,0.0,0.0
mark_count,basis_premium_like,modifier_only_seed,210,0,0,18,210,0.005122076148198737,0.0,0.0,0.0,0.0
mark_open,basis_premium_like,modifier_only_seed,190,0,0,18,190,0.0046342593721798095,0.0,0.0,0.0,0.0
premium_abs_168h,basis_premium_like,modifier_only_seed,164,0,0,16,164,0.004000097563355204,0.0,0.0,0.0,0.0
premium_count,basis_premium_like,modifier_only_seed,144,0,0,16,144,0.0035122807873362765,0.0,0.0,0.0,0.0
premium_high,basis_premium_like,modifier_only_seed,140,0,0,14,140,0.003414717432132491,0.0,0.0,0.0,0.0
premium_low,basis_premium_like,modifier_only_seed,140,0,0,14,140,0.003414717432132491,0.0,0.0,0.0,0.0
premium_open,basis_premium_like,modifier_only_seed,140,0,0,14,140,0.003414717432132491,0.0,0.0,0.0,0.0
age_x_volatility,volatility_like,modifier_only_seed,124,0,0,4,124,0.003024464011317349,0.0,0.0,0.0,0.0
trade_high,volatility_like,modifier_only_seed,124,0,0,11,124,0.003024464011317349,0.0,0.0,0.0,0.0
trade_low,volatility_like,modifier_only_seed,114,0,0,9,114,0.0027805556233078854,0.0,0.0,0.0,0.0
