semantic_pair,motif,selected_count
basis_premium_like|price_like,spread_rank,7
basis_premium_like|basis_premium_like,spread_rank,6
price_like|volatility_like,smooth_mul,6
basis_premium_like|volatility_like,spread_rank,5
basis_premium_like|price_like,smooth_mul,5
basis_premium_like|price_like,safe_div_abs,5
basis_premium_like|volatility_like,smooth_mul,4
price_like,single,4
basis_premium_like|basis_premium_like,sub,3
basis_premium_like|basis_premium_like,smooth_mul,3
price_like|volatility_like,gated_sign,2
volatility_like|volatility_like,smooth_mul,2
basis_premium_like|volatility_like,safe_div_abs,2
basis_premium_like|price_like,mul,2
basis_premium_like|basis_premium_like,safe_div_abs,2
basis_premium_like|basis_premium_like,mul,2
basis_premium_like|volatility_like,gated_sign,2
basis_premium_like,single,1
basis_premium_like|price_like,gated_sign,1
basis_premium_like|basis_premium_like,gated_sign,1
basis_premium_like|volatility_like,mul,1
basis_premium_like|price_like,sub,1
price_like|volatility_like,mul,1
volatility_like,single,1
volatility_like|volatility_like,gated_sign,1
volatility_like|volatility_like,mul,1
