decision,label_family,count
A7FF25R3S04_NUMERIC_CLUE,L0_raw_forward_return,24
A7FF25R3S04_NUMERIC_CLUE,L1_cross_sectional_relative_return,23
A7FF25R3S04_NUMERIC_CLUE,L3_liquidity_tier_relative_return,26
A7FF25R3S04_NUMERIC_CLUE,L5_vol_adjusted_return,25
A7FF25R3S04_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,112
HOLD_A7FF25R3S04_CONTROL_DOMINATED,L0_raw_forward_return,200
HOLD_A7FF25R3S04_CONTROL_DOMINATED,L1_cross_sectional_relative_return,201
HOLD_A7FF25R3S04_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,183
HOLD_A7FF25R3S04_CONTROL_DOMINATED,L5_vol_adjusted_return,171
HOLD_A7FF25R3S04_CONTROL_DOMINATED,L7_ranked_future_return,322
HOLD_A7FF25R3S04_COST2_PROXY_FRAGILE,L3_liquidity_tier_relative_return,4
HOLD_A7FF25R3S04_ONE_BAR_LAG_FRAGILE,L0_raw_forward_return,16
HOLD_A7FF25R3S04_ONE_BAR_LAG_FRAGILE,L1_cross_sectional_relative_return,16
HOLD_A7FF25R3S04_ONE_BAR_LAG_FRAGILE,L3_liquidity_tier_relative_return,19
HOLD_A7FF25R3S04_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,36
HOLD_A7FF25R3S04_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,61
HOLD_A7FF25R3S04_PRE_MAY_UNSTABLE,L0_raw_forward_return,424
HOLD_A7FF25R3S04_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,424
HOLD_A7FF25R3S04_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,432
HOLD_A7FF25R3S04_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,432
HOLD_A7FF25R3S04_PRE_MAY_UNSTABLE,L7_ranked_future_return,169
