shard,manifest_exists,exit_code,decision,normalized_decision,input_blueprint_count,materialized_activity_ok_count,label_response_rows,non_l7_numeric_clue_rows,rank_label_diagnostic_clue_rows,portfolio_queue_count,selected_portfolio_queue_count,uses_may,is_no_activity_tail
0,True,0,PASS_A7FF25R3S00_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,PASS_A7FF25R3_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,200,157,3140,77,56,46,8,False,False
1,True,0,PASS_A7FF25R3S01_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,PASS_A7FF25R3_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,200,149,2980,31,60,45,9,False,False
2,True,0,PASS_A7FF25R3S02_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,PASS_A7FF25R3_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,200,167,3340,89,158,91,7,False,False
3,True,0,PASS_A7FF25R3S03_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,PASS_A7FF25R3_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,200,156,3120,8,94,48,9,False,False
4,True,0,PASS_A7FF25R3S04_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,PASS_A7FF25R3_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,200,166,3320,98,112,71,8,False,False
5,True,0,PASS_A7FF25R3S05_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,PASS_A7FF25R3_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,200,169,3380,49,31,43,7,False,False
6,True,0,PASS_A7FF25R3S06_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,PASS_A7FF25R3_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,200,165,3300,10,155,67,13,False,False
7,True,0,PASS_A7FF25R3S07_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,PASS_A7FF25R3_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,200,170,3400,25,104,54,10,False,False
8,True,0,HOLD_A7FF25R3S08_NO_ACTIVITY_OK_BLUEPRINTS,HOLD_A7FF25R3_NO_ACTIVITY_OK_BLUEPRINTS,200,0,0,0,0,0,0,False,True
9,True,0,HOLD_A7FF25R3S09_NO_ACTIVITY_OK_BLUEPRINTS,HOLD_A7FF25R3_NO_ACTIVITY_OK_BLUEPRINTS,200,0,0,0,0,0,0,False,True
10,True,0,HOLD_A7FF25R3S10_NO_ACTIVITY_OK_BLUEPRINTS,HOLD_A7FF25R3_NO_ACTIVITY_OK_BLUEPRINTS,200,0,0,0,0,0,0,False,True
11,True,0,HOLD_A7FF25R3S11_NO_ACTIVITY_OK_BLUEPRINTS,HOLD_A7FF25R3_NO_ACTIVITY_OK_BLUEPRINTS,200,0,0,0,0,0,0,False,True
