semantic_pair,decision,count
basis_premium_like|basis_premium_like,A7FF35_NUMERIC_CLUE,4
basis_premium_like|basis_premium_like,A7FF35_RANK_LABEL_DIAGNOSTIC_CLUE,2
basis_premium_like|basis_premium_like,HOLD_A7FF35_CONTROL_DOMINATED,76
basis_premium_like|basis_premium_like,HOLD_A7FF35_ONE_BAR_LAG_FRAGILE,8
basis_premium_like|basis_premium_like,HOLD_A7FF35_PRE_MAY_UNSTABLE,230
funding_like|basis_premium_like,A7FF35_NUMERIC_CLUE,21
funding_like|basis_premium_like,A7FF35_RANK_LABEL_DIAGNOSTIC_CLUE,9
funding_like|basis_premium_like,HOLD_A7FF35_CONTROL_DOMINATED,105
funding_like|basis_premium_like,HOLD_A7FF35_ONE_BAR_LAG_FRAGILE,21
funding_like|basis_premium_like,HOLD_A7FF35_PRE_MAY_UNSTABLE,244
liquidity_like|volatility_like,A7FF35_RANK_LABEL_DIAGNOSTIC_CLUE,1
liquidity_like|volatility_like,HOLD_A7FF35_CONTROL_DOMINATED,59
liquidity_like|volatility_like,HOLD_A7FF35_PRE_MAY_UNSTABLE,340
open_interest_like|positioning_like,A7FF35_RANK_LABEL_DIAGNOSTIC_CLUE,2
open_interest_like|positioning_like,HOLD_A7FF35_CONTROL_DOMINATED,162
open_interest_like|positioning_like,HOLD_A7FF35_COST2_PROXY_FRAGILE,1
open_interest_like|positioning_like,HOLD_A7FF35_PRE_MAY_UNSTABLE,235
regime_state|price_return_like,A7FF35_NUMERIC_CLUE,15
regime_state|price_return_like,A7FF35_RANK_LABEL_DIAGNOSTIC_CLUE,25
regime_state|price_return_like,HOLD_A7FF35_CONTROL_DOMINATED,122
regime_state|price_return_like,HOLD_A7FF35_ONE_BAR_LAG_FRAGILE,7
regime_state|price_return_like,HOLD_A7FF35_PRE_MAY_UNSTABLE,111
taker_flow_like|open_interest_like,HOLD_A7FF35_CONTROL_DOMINATED,137
taker_flow_like|open_interest_like,HOLD_A7FF35_PRE_MAY_UNSTABLE,263
