semantic_pair,decision,count
basis_premium_like|basis_premium_like,A7FF43_NUMERIC_CLUE,33
basis_premium_like|basis_premium_like,A7FF43_RANK_LABEL_DIAGNOSTIC_CLUE,1
basis_premium_like|basis_premium_like,HOLD_A7FF43_CONTROL_DOMINATED,15
basis_premium_like|basis_premium_like,HOLD_A7FF43_ONE_BAR_LAG_FRAGILE,16
basis_premium_like|basis_premium_like,HOLD_A7FF43_PRE_MAY_UNSTABLE,55
funding_like|basis_premium_like,A7FF43_NUMERIC_CLUE,23
funding_like|basis_premium_like,A7FF43_RANK_LABEL_DIAGNOSTIC_CLUE,6
funding_like|basis_premium_like,HOLD_A7FF43_CONTROL_DOMINATED,14
funding_like|basis_premium_like,HOLD_A7FF43_ONE_BAR_LAG_FRAGILE,6
funding_like|basis_premium_like,HOLD_A7FF43_PRE_MAY_UNSTABLE,51
regime_state|price_return_like,A7FF43_NUMERIC_CLUE,4
regime_state|price_return_like,A7FF43_RANK_LABEL_DIAGNOSTIC_CLUE,3
regime_state|price_return_like,HOLD_A7FF43_CONTROL_DOMINATED,12
regime_state|price_return_like,HOLD_A7FF43_ONE_BAR_LAG_FRAGILE,1
