blueprint_id,layer,primary_field,secondary_field,primary_transform,secondary_transform,motif,expression,semantic_pair,pair_policy,candidate_role,requires_controls,numeric_probe_priority,pair_policy_reason,skeleton_key,production_key,selected_for_a7ff8_numeric_probe
a7ff7e_15ba28d7f1306b75,F1_single_field_expanded,mark_index_basis_bps,,level,,single,mark_index_basis_bps,basis_premium_like,single_signal_seed,ordinary_alpha_valid,True,P0,,skel_ca36cd3eaf5a3a94,prod_9565c946a2809299,True
a7ff7e_2352f4afc86f9d62,F1_single_field_expanded,mark_index_basis_bps,,zscore,,single,ZScore(mark_index_basis_bps),basis_premium_like,single_signal_seed,ordinary_alpha_valid,True,P0,,skel_f6a3f0b03e9258f2,prod_e69ede376f0ba2d7,True
a7ff7e_39970113ca76e295,F1_single_field_expanded,mark_index_basis_bps,,delta_48h,,single,"Delta(mark_index_basis_bps,48)",basis_premium_like,single_signal_seed,ordinary_alpha_valid,True,P0,,skel_1d39996e97d5ace0,prod_5f5e93d7c35fd792,True
a7ff7e_3ea8e79c7504f184,F1_single_field_expanded,mark_index_basis_bps,,delta_4h,,single,"Delta(mark_index_basis_bps,4)",basis_premium_like,single_signal_seed,ordinary_alpha_valid,True,P0,,skel_1d39996e97d5ace0,prod_2e65a589d9d12580,True
a7ff7e_436b541b33d083e6,F1_single_field_expanded,mark_index_basis_bps,,csrank,,single,CSRank(mark_index_basis_bps),basis_premium_like,single_signal_seed,ordinary_alpha_valid,True,P0,,skel_f6a3f0b03e9258f2,prod_f6ed29746399e818,True
a7ff7e_454b18e00e63d958,F1_single_field_expanded,mark_index_basis_bps,,delta_12h,,single,"Delta(mark_index_basis_bps,12)",basis_premium_like,single_signal_seed,ordinary_alpha_valid,True,P0,,skel_1d39996e97d5ace0,prod_b35e184f3abd0abb,True
a7ff7e_5aa0e7a95e8f0f7f,F1_single_field_expanded,mark_index_basis_bps,,abs_zscore,,single,Abs(ZScore(mark_index_basis_bps)),basis_premium_like,single_signal_seed,ordinary_alpha_valid,True,P0,,skel_8fddb793850a1493,prod_1f474ceba4cb92c7,True
a7ff7e_5aac42554cb19c48,F1_single_field_expanded,mark_index_basis_bps,,delta_1h,,single,"Delta(mark_index_basis_bps,1)",basis_premium_like,single_signal_seed,ordinary_alpha_valid,True,P0,,skel_1d39996e97d5ace0,prod_e48a6a3c8b617f48,True
a7ff7e_7e69ae852cf37229,F1_single_field_expanded,mark_index_basis_bps,,winsor_zscore,,single,"Clip(ZScore(mark_index_basis_bps),-3,3)",basis_premium_like,single_signal_seed,ordinary_alpha_valid,True,P0,,skel_8a3e91f81074ce44,prod_b423e3b29c8cd291,True
a7ff7e_81f0e048570af6db,F1_single_field_expanded,mark_index_basis_bps,,decay_24h,,single,"Decay(mark_index_basis_bps,24)",basis_premium_like,single_signal_seed,ordinary_alpha_valid,True,P0,,skel_1d39996e97d5ace0,prod_91f2d0a1e37a54e8,True
a7ff7e_9c045a6f4fea31f7,F1_single_field_expanded,mark_index_basis_bps,,decay_8h,,single,"Decay(mark_index_basis_bps,8)",basis_premium_like,single_signal_seed,ordinary_alpha_valid,True,P0,,skel_1d39996e97d5ace0,prod_3ac3049ba5f25313,True
a7ff7e_b43e221a6757fcbf,F1_single_field_expanded,mark_index_basis_bps,,delta_24h,,single,"Delta(mark_index_basis_bps,24)",basis_premium_like,single_signal_seed,ordinary_alpha_valid,True,P0,,skel_1d39996e97d5ace0,prod_6b5cfa223e66ae24,True
a7ff7e_cdcf38bf2a58150c,F1_single_field_expanded,mark_index_basis_bps,,mean_4h,,single,"Mean(mark_index_basis_bps,4)",basis_premium_like,single_signal_seed,ordinary_alpha_valid,True,P0,,skel_1d39996e97d5ace0,prod_bf17218cf6a6b69f,True
a7ff7e_e069ae2e1b7a109e,F1_single_field_expanded,mark_index_basis_bps,,mean_24h,,single,"Mean(mark_index_basis_bps,24)",basis_premium_like,single_signal_seed,ordinary_alpha_valid,True,P0,,skel_1d39996e97d5ace0,prod_57ea525df6de513b,True
a7ff7e_ea609aca7c31bd4e,F1_single_field_expanded,mark_index_basis_bps,,tsrank_24h,,single,"TSRank(mark_index_basis_bps,24)",basis_premium_like,single_signal_seed,ordinary_alpha_valid,True,P0,,skel_1d39996e97d5ace0,prod_1954fc787be3535d,True
