base_field,semantic_type,seed_route,transform_name,formula_count,materialization_count,company_wave_count,levels,motifs,semantic_pairs,side
funding_rate,funding_like,modifier_only_seed,level,2000,106,38,L3_state_conditioned_feature;L4_factor_candidate_probe,gated_sign;mean_reversion_gate;mul;relative_shock;safe_div_abs;signed_spread;smooth_mul;spread_rank;sub,basis_premium_like|funding_like;funding_like|positioning_like,primary
global_long_short_account_ratio_last,positioning_like,modifier_only_seed,level,1220,0,0,L4_factor_candidate_probe,gated_sign;mean_reversion_gate;mul;safe_div_abs;signed_spread;smooth_mul;spread_rank;sub,basis_premium_like|positioning_like,primary
funding_rate,funding_like,modifier_only_seed,zmean_1h,869,134,89,L3_state_conditioned_feature;L4_factor_candidate_probe,gated_sign;mean_reversion_gate;mul;relative_shock;safe_div_abs;signed_spread;smooth_mul;spread_rank;sub,basis_premium_like|funding_like;funding_like|positioning_like,primary
funding_rate,funding_like,modifier_only_seed,zmean_2h,815,144,97,L3_state_conditioned_feature;L4_factor_candidate_probe,gated_sign;mean_reversion_gate;mul;relative_shock;safe_div_abs;signed_spread;smooth_mul;spread_rank;sub,basis_premium_like|funding_like;funding_like|positioning_like,primary
funding_rate,funding_like,modifier_only_seed,zmean_4h,813,135,88,L3_state_conditioned_feature;L4_factor_candidate_probe,gated_sign;mean_reversion_gate;mul;relative_shock;safe_div_abs;signed_spread;smooth_mul;spread_rank;sub,basis_premium_like|funding_like;funding_like|positioning_like,primary
funding_rate,funding_like,modifier_only_seed,zmean_8h,768,130,92,L3_state_conditioned_feature;L4_factor_candidate_probe,gated_sign;mean_reversion_gate;mul;relative_shock;safe_div_abs;signed_spread;smooth_mul;spread_rank;sub,basis_premium_like|funding_like;funding_like|positioning_like,primary
funding_rate,funding_like,modifier_only_seed,zmean_12h,723,79,46,L3_state_conditioned_feature;L4_factor_candidate_probe,gated_sign;mean_reversion_gate;mul;relative_shock;safe_div_abs;signed_spread;smooth_mul;spread_rank;sub,basis_premium_like|funding_like;funding_like|positioning_like,primary
mark_index_basis_bps,basis_premium_like,primary_signal_seed,level,625,290,290,L1_single_field_transform;L2_typed_two_field_interaction;L4_factor_candidate_probe,gated_sign;mul;safe_div_abs;signed_spread;single;smooth_mul;spread_rank;sub,basis_premium_like;basis_premium_like|basis_premium_like;basis_premium_like|generic_numeric;basis_premium_like|liquidity_like;basis_premium_like|positioning_like;basis_premium_like|price_like;basis_premium_like|state_or_taxonomy;basis_premium_like|volatility_like,primary
global_long_short_account_ratio_mean,positioning_like,modifier_only_seed,level,608,0,0,L4_factor_candidate_probe,gated_sign;mean_reversion_gate;mul;safe_div_abs;signed_spread;smooth_mul;spread_rank;sub,basis_premium_like|positioning_like,primary
funding_rate,funding_like,modifier_only_seed,delta_1h,556,75,38,L3_state_conditioned_feature;L4_factor_candidate_probe,gated_sign;mean_reversion_gate;mul;relative_shock;safe_div_abs;signed_spread;smooth_mul;spread_rank;sub,basis_premium_like|funding_like;funding_like|positioning_like,primary
funding_rate,funding_like,modifier_only_seed,mean_1h,552,80,42,L3_state_conditioned_feature;L4_factor_candidate_probe,gated_sign;mean_reversion_gate;mul;relative_shock;safe_div_abs;signed_spread;smooth_mul;spread_rank;sub,basis_premium_like|funding_like;funding_like|positioning_like,primary
funding_rate,funding_like,modifier_only_seed,zmean_24h,538,0,0,L4_factor_candidate_probe,gated_sign;mean_reversion_gate;mul;relative_shock;safe_div_abs;signed_spread;smooth_mul;spread_rank;sub,basis_premium_like|funding_like;funding_like|positioning_like,primary
funding_rate,funding_like,modifier_only_seed,delta_2h,535,81,43,L3_state_conditioned_feature;L4_factor_candidate_probe,gated_sign;mean_reversion_gate;mul;relative_shock;safe_div_abs;signed_spread;smooth_mul;spread_rank;sub,basis_premium_like|funding_like;funding_like|positioning_like,primary
funding_rate,funding_like,modifier_only_seed,mean_2h,504,80,45,L3_state_conditioned_feature;L4_factor_candidate_probe,gated_sign;mean_reversion_gate;mul;relative_shock;safe_div_abs;signed_spread;smooth_mul;spread_rank;sub,basis_premium_like|funding_like;funding_like|positioning_like,primary
funding_rate,funding_like,modifier_only_seed,mean_4h,502,73,41,L3_state_conditioned_feature;L4_factor_candidate_probe,gated_sign;mean_reversion_gate;mul;relative_shock;safe_div_abs;signed_spread;smooth_mul;spread_rank;sub,basis_premium_like|funding_like;funding_like|positioning_like,primary
funding_rate,funding_like,modifier_only_seed,delta_4h,499,65,41,L3_state_conditioned_feature;L4_factor_candidate_probe,gated_sign;mean_reversion_gate;mul;relative_shock;safe_div_abs;signed_spread;smooth_mul;spread_rank;sub,basis_premium_like|funding_like;funding_like|positioning_like,primary
funding_rate,funding_like,modifier_only_seed,delta_8h,488,70,39,L3_state_conditioned_feature;L4_factor_candidate_probe,gated_sign;mean_reversion_gate;mul;relative_shock;safe_div_abs;signed_spread;smooth_mul;spread_rank;sub,basis_premium_like|funding_like;funding_like|positioning_like,primary
funding_rate,funding_like,modifier_only_seed,mean_8h,478,63,29,L3_state_conditioned_feature;L4_factor_candidate_probe,gated_sign;mean_reversion_gate;mul;relative_shock;safe_div_abs;signed_spread;smooth_mul;spread_rank;sub,basis_premium_like|funding_like;funding_like|positioning_like,primary
