field_name,field_family,source_family,feature_class,transform,label_family,label_horizon_h,orientation_from_train,premay_positive_split_count,premay_all_positive,control_ratio_premay_max,one_bar_lag_recent_oriented,lag_ok,atlas_candidate,decision,train_2024_n,train_2024_mean_spread,train_2024_tstat,train_2024_nonoverlap_median_tstat,train_2024_nonoverlap_min_tstat,train_2024_positive_rate,validation_2025H1_n,validation_2025H1_mean_spread,validation_2025H1_tstat,validation_2025H1_nonoverlap_median_tstat,validation_2025H1_nonoverlap_min_tstat,validation_2025H1_positive_rate,test_2025H2_n,test_2025H2_mean_spread,test_2025H2_tstat,test_2025H2_nonoverlap_median_tstat,test_2025H2_nonoverlap_min_tstat,test_2025H2_positive_rate,recent_oos_2026JanApr_n,recent_oos_2026JanApr_mean_spread,recent_oos_2026JanApr_tstat,recent_oos_2026JanApr_nonoverlap_median_tstat,recent_oos_2026JanApr_nonoverlap_min_tstat,recent_oos_2026JanApr_positive_rate,avg_n_obs_recent,error
trade_return_1h,price_return,derived_replay_base,derived_rolling,level,L0_raw_forward_return,1,-1.0,3,True,1.3414301496264804,0.0008342330340096803,True,False,HOLD_A7FFCORE16E_CONTROL_LIKE,719,-0.0010457143100433381,-3.7687502779261246,-3.7687502779261246,-3.7687502779261246,0.41307371349095967,719,-0.00021927797767041783,-1.2404979935905247,-1.2404979935905247,-1.2404979935905247,0.43532684283727396,719,-0.0006485066100570735,-3.2456523365081433,-3.2456523365081433,-3.2456523365081433,0.3810848400556328,719,-0.0008754738809387903,-2.35321879779842,-2.35321879779842,-2.35321879779842,0.3852573018080668,95.86666666666666,
trade_return_1h,price_return,derived_replay_base,derived_rolling,level,L1_cross_sectional_relative_return,1,-1.0,3,True,1.3414301496264804,0.0008342330340096805,True,False,HOLD_A7FFCORE16E_CONTROL_LIKE,719,-0.0010457143100433381,-3.768750277926125,-3.768750277926125,-3.768750277926125,0.41307371349095967,719,-0.00021927797767041783,-1.2404979935905247,-1.2404979935905247,-1.2404979935905247,0.43532684283727396,719,-0.0006485066100570735,-3.2456523365081433,-3.2456523365081433,-3.2456523365081433,0.3810848400556328,719,-0.0008754738809387902,-2.35321879779842,-2.35321879779842,-2.35321879779842,0.3852573018080668,95.86666666666666,
trade_return_1h,price_return,derived_replay_base,derived_rolling,level,L3_liquidity_tier_relative_return,1,-1.0,3,True,1.149176774911525,0.0007515701558717011,True,False,A7FFCORE16E_NEAR_MISS_CONTROL_MARGIN,719,-0.001069258090543403,-4.335313757939852,-4.335313757939852,-4.335313757939852,0.3963838664812239,719,-0.00023173256850945523,-1.382364826443538,-1.382364826443538,-1.382364826443538,0.4228094575799722,719,-0.0006878150341487586,-3.727980546514898,-3.727980546514898,-3.727980546514898,0.3894297635605007,719,-0.00082649761935532,-2.324133341030744,-2.324133341030744,-2.324133341030744,0.3894297635605007,95.86666666666666,
trade_return_1h,price_return,derived_replay_base,derived_rolling,level,L5_vol_adjusted_return,1,-1.0,3,True,1.2751802826882066,0.038023687866370524,True,False,HOLD_A7FFCORE16E_CONTROL_LIKE,719,-0.06737618942333458,-4.173927651560201,-4.173927651560201,-4.173927651560201,0.4047287899860918,719,-0.028394173554046432,-1.7961587702019564,-1.7961587702019564,-1.7961587702019564,0.4339360222531293,719,-0.06454036295148768,-3.610907788359411,-3.610907788359411,-3.610907788359411,0.3991655076495132,719,-0.08327485171295439,-3.1731230680348674,-3.1731230680348674,-3.1731230680348674,0.3866481223922114,95.86666666666666,
trade_return_1h,price_return,derived_replay_base,derived_rolling,level,L0_raw_forward_return,4,-1.0,3,True,0.533585494700558,0.00018127355005887158,False,True,A7FFCORE16E_ATLAS_CANDIDATE_LAG_FRAGILE,716,-0.0019572482194887032,-4.023343256537129,-1.8183974304530155,-3.6195294862104217,0.4106145251396648,716,-0.0007897954303678021,-2.534563769978183,-1.2417442572320285,-1.846775676227019,0.43854748603351956,716,-0.0013636789372808936,-3.8522535299758425,-2.080918068542174,-2.5185636901609376,0.4036312849162011,716,-0.0009483870120120138,-1.4020516877216755,-0.7152602765399185,-2.0044262577692207,0.43575418994413406,95.46666666666667,
trade_return_1h,price_return,derived_replay_base,derived_rolling,level,L1_cross_sectional_relative_return,4,-1.0,3,True,0.5335854947005579,0.0001812735500588715,False,True,A7FFCORE16E_ATLAS_CANDIDATE_LAG_FRAGILE,716,-0.0019572482194887032,-4.023343256537129,-1.8183974304530155,-3.6195294862104217,0.4106145251396648,716,-0.0007897954303678023,-2.5345637699781833,-1.2417442572320287,-1.846775676227019,0.43854748603351956,716,-0.0013636789372808939,-3.8522535299758434,-2.080918068542175,-2.5185636901609385,0.4036312849162011,716,-0.0009483870120120141,-1.4020516877216762,-0.7152602765399185,-2.004426257769221,0.43575418994413406,95.46666666666667,
trade_return_1h,price_return,derived_replay_base,derived_rolling,level,L3_liquidity_tier_relative_return,4,-1.0,3,True,0.645321148463181,0.00015176785656167646,False,True,A7FFCORE16E_ATLAS_CANDIDATE_LAG_FRAGILE,716,-0.001779816554653321,-4.032500447171958,-2.1069126771047118,-3.3977770013110975,0.4064245810055866,716,-0.0007409159798416277,-2.5192683106954306,-1.266049961519466,-1.670167837243495,0.4273743016759777,716,-0.0013575217452272792,-4.082719001163579,-2.2206648864408622,-2.724192262930924,0.4092178770949721,716,-0.0009091674340916346,-1.3980347512291136,-0.7468808965535246,-2.0645339671457306,0.4245810055865922,95.46666666666667,
trade_return_1h,price_return,derived_replay_base,derived_rolling,level,L5_vol_adjusted_return,4,-1.0,3,True,1.098961618244265,-0.016722179525922053,False,False,A7FFCORE16E_NEAR_MISS_CONTROL_MARGIN,716,-0.10483994164010509,-3.6591188515848607,-2.0985290985519773,-2.8027472285059556,0.4273743016759777,716,-0.07386217643535159,-2.6480287392161723,-1.3527521522995634,-1.7252829325581331,0.43435754189944137,716,-0.1245172904642332,-3.88435756058097,-2.0782028116707725,-2.446157117289302,0.41899441340782123,716,-0.06248495374494825,-1.256810591466749,-0.7076338542317446,-1.7453031576306124,0.4371508379888268,95.46666666666667,
trade_return_1h,price_return,derived_replay_base,derived_rolling,level,L0_raw_forward_return,8,-1.0,3,True,12.810715667224015,-0.0008771850634309628,False,False,HOLD_A7FFCORE16E_CONTROL_LIKE,712,-0.002636659424815125,-4.148127490770005,-1.2947872782786196,-3.88041286939598,0.425561797752809,712,-0.0010818885522220056,-2.5054511525221708,-0.7482310682080209,-2.911362965898276,0.4438202247191011,712,-0.0014135521653518045,-2.958202302135578,-0.8361616224065826,-2.6733033567777436,0.44803370786516855,712,-0.00021309051659018923,-0.2277635242510602,0.18675545311672886,-1.62064392286336,0.4648876404494382,94.93333333333334,
trade_return_1h,price_return,derived_replay_base,derived_rolling,level,L1_cross_sectional_relative_return,8,-1.0,3,True,12.810715667224015,-0.0008771850634309628,False,False,HOLD_A7FFCORE16E_CONTROL_LIKE,712,-0.0026366594248151253,-4.148127490770006,-1.2947872782786198,-3.88041286939598,0.425561797752809,712,-0.0010818885522220056,-2.5054511525221708,-0.7482310682080209,-2.911362965898276,0.4438202247191011,712,-0.0014135521653518045,-2.958202302135578,-0.8361616224065826,-2.6733033567777427,0.44803370786516855,712,-0.00021309051659018923,-0.2277635242510602,0.18675545311672898,-1.6206439228633598,0.4648876404494382,94.93333333333334,
trade_return_1h,price_return,derived_replay_base,derived_rolling,level,L3_liquidity_tier_relative_return,8,-1.0,3,True,11.553242387725453,-0.0008948459533038375,False,False,HOLD_A7FFCORE16E_CONTROL_LIKE,712,-0.002464381311843804,-4.2937048864930585,-1.5176214072542797,-3.511911768053486,0.41713483146067415,712,-0.0009720166645053576,-2.3821457599656295,-0.7617144340728103,-2.8783788209038947,0.44241573033707865,712,-0.0014832522458568054,-3.336046692508476,-1.009442923242638,-2.645292303067335,0.4353932584269663,712,-0.00020996309547359818,-0.23371231160273834,0.20067204177411166,-1.66895545893777,0.47331460674157305,94.93333333333334,
trade_return_1h,price_return,derived_replay_base,derived_rolling,level,L5_vol_adjusted_return,8,-1.0,3,True,22.899327173433313,-0.06925914193497926,False,False,HOLD_A7FFCORE16E_CONTROL_LIKE,712,-0.14442641841481743,-3.876989811486008,-1.6183201926984911,-3.761012866644867,0.42696629213483145,712,-0.11938725783798984,-3.1914679324052426,-0.9029970328762491,-2.9179427095080124,0.42696629213483145,712,-0.12391366246203975,-2.803158785353263,-1.1068588794071514,-2.437748693896112,0.4396067415730337,712,-0.013666288653613783,-0.18836201367514857,0.27206020824925226,-2.6410760018140547,0.4410112359550562,94.93333333333334,
trade_return_1h,price_return,derived_replay_base,derived_rolling,level,L0_raw_forward_return,24,-1.0,2,False,1949.1535411650948,-0.0013597629037026022,False,False,HOLD_A7FFCORE16E_PREMAY_UNSTABLE,696,-0.0024515270137686123,-2.285509739557527,-0.42805343273740715,-2.8548260332551196,0.46551724137931033,696,-0.00112197242143222,-1.729354622524153,-0.5327535936452601,-2.164385720263113,0.4827586206896552,696,-0.002323911467584399,-3.032306237574496,-0.6738485426700398,-2.2536168963415744,0.4396551724137931,696,1.0058223811411503e-05,0.0075214123506723235,-0.0905350642816361,-1.9860852917966407,0.48563218390804597,92.8,
trade_return_1h,price_return,derived_replay_base,derived_rolling,level,L1_cross_sectional_relative_return,24,-1.0,2,False,1949.1535411650948,-0.0013597629037026015,False,False,HOLD_A7FFCORE16E_PREMAY_UNSTABLE,696,-0.002451527013768613,-2.285509739557528,-0.42805343273740737,-2.8548260332551196,0.46551724137931033,696,-0.00112197242143222,-1.729354622524153,-0.5327535936452599,-2.1643857202631125,0.4827586206896552,696,-0.0023239114675843993,-3.0323062375744962,-0.6738485426700402,-2.2536168963415744,0.4396551724137931,696,1.0058223811411503e-05,0.007521412350672325,-0.0905350642816362,-1.9860852917966407,0.48563218390804597,92.8,
trade_return_1h,price_return,derived_replay_base,derived_rolling,level,L3_liquidity_tier_relative_return,24,-1.0,3,True,6457.43591003833,-0.001309459573915677,False,False,HOLD_A7FFCORE16E_CONTROL_LIKE,696,-0.0025900546709711316,-2.7485305431309044,-0.5980444276211292,-3.14609585784584,0.4583333333333333,696,-0.0009974799987979527,-1.6238363619366736,-0.44484593530418803,-2.329430051056424,0.47701149425287354,696,-0.0023919838371704075,-3.310222601749004,-0.6823822576141896,-2.3348592314065777,0.4454022988505747,696,-2.889994728581047e-06,-0.002330024329332372,-0.10478092646864343,-2.184600366921054,0.48419540229885055,92.8,
trade_return_1h,price_return,derived_replay_base,derived_rolling,level,L5_vol_adjusted_return,24,-1.0,2,False,250.8115457664577,-0.10057632735620615,False,False,HOLD_A7FFCORE16E_PREMAY_UNSTABLE,696,-0.16687165278330052,-2.6574969107598037,-0.6529695463135976,-2.403376026745187,0.4425287356321839,696,-0.16706547540499722,-2.8799398081083165,-0.3405014128870181,-2.38860334636486,0.4454022988505747,696,-0.24415923378079954,-3.3531726242330815,-0.7618110238820617,-3.2374936266214687,0.43103448275862066,696,0.007283250294302186,0.06424273685217645,0.011367951094235725,-1.7147830957480463,0.46264367816091956,92.8,
trade_return_1h,price_return,derived_replay_base,derived_rolling,delta_1h,L0_raw_forward_return,1,-1.0,2,False,4.250110568252872,0.000927420500749787,True,False,HOLD_A7FFCORE16E_PREMAY_UNSTABLE,718,-0.0005945946194466695,-2.3298635361766116,-2.3298635361766116,-2.3298635361766116,0.4387186629526462,719,1.8090423609164756e-05,0.1048783691849912,0.1048783691849912,0.1048783691849912,0.47009735744089015,719,-0.0002906170964351445,-1.492076555713526,-1.492076555713526,-1.492076555713526,0.4381084840055633,719,-0.0002867015111845992,-0.8097649008418062,-0.8097649008418062,-0.8097649008418062,0.43949930458970793,95.86666666666666,
