interaction_family,left_field,left_family,right_field,right_family,transform,operator,blueprint_id,label_family,label_horizon_h,orientation_from_train,premay_positive_split_count,premay_all_positive,control_ratio_premay_max,one_bar_lag_recent_oriented,lag_ok,probe_candidate,near_miss,decision,train_2024_n,train_2024_mean_spread,train_2024_tstat,train_2024_nonoverlap_median_tstat,train_2024_nonoverlap_min_tstat,train_2024_positive_rate,validation_2025H1_n,validation_2025H1_mean_spread,validation_2025H1_tstat,validation_2025H1_nonoverlap_median_tstat,validation_2025H1_nonoverlap_min_tstat,validation_2025H1_positive_rate,test_2025H2_n,test_2025H2_mean_spread,test_2025H2_tstat,test_2025H2_nonoverlap_median_tstat,test_2025H2_nonoverlap_min_tstat,test_2025H2_positive_rate,recent_oos_2026JanApr_n,recent_oos_2026JanApr_mean_spread,recent_oos_2026JanApr_tstat,recent_oos_2026JanApr_nonoverlap_median_tstat,recent_oos_2026JanApr_nonoverlap_min_tstat,recent_oos_2026JanApr_positive_rate,avg_n_obs_recent,error
I1_OI_delta_x_funding_abs,open_interest_last,open_interest,funding_rate,funding,delta_4h,Mul,core16ge_I1_OI_delta_x_funding_abs_open_interest_last_Mul_funding_rate_delta_4h,L0_raw_forward_return,1,1.0,0,False,0.6559300767218277,0.001001103635095386,True,False,False,HOLD_A7FFCORE16GE_PREMAY_UNSTABLE,0,,,,,,0,,,,,,0,,,,,,160,-0.0016219937264263667,-1.4096084286504973,-1.4096084286504973,-1.4096084286504973,0.4625,8.031944444444445,
I1_OI_delta_x_funding_abs,open_interest_last,open_interest,funding_rate,funding,delta_4h,Mul,core16ge_I1_OI_delta_x_funding_abs_open_interest_last_Mul_funding_rate_delta_4h,L1_cross_sectional_relative_return,1,1.0,0,False,0.6559300767218279,0.0010011036350953857,True,False,False,HOLD_A7FFCORE16GE_PREMAY_UNSTABLE,0,,,,,,0,,,,,,0,,,,,,160,-0.0016219937264263667,-1.4096084286504975,-1.4096084286504975,-1.4096084286504975,0.4625,8.031944444444445,
I1_OI_delta_x_funding_abs,open_interest_last,open_interest,funding_rate,funding,delta_4h,Mul,core16ge_I1_OI_delta_x_funding_abs_open_interest_last_Mul_funding_rate_delta_4h,L3_liquidity_tier_relative_return,1,1.0,0,False,0.6259318116279181,0.0010153491122622494,True,False,False,HOLD_A7FFCORE16GE_PREMAY_UNSTABLE,0,,,,,,0,,,,,,0,,,,,,160,-0.0016899499710146307,-1.5249204282609254,-1.5249204282609254,-1.5249204282609254,0.4625,8.031944444444445,
I1_OI_delta_x_funding_abs,open_interest_last,open_interest,funding_rate,funding,delta_4h,Mul,core16ge_I1_OI_delta_x_funding_abs_open_interest_last_Mul_funding_rate_delta_4h,L5_vol_adjusted_return,1,1.0,0,False,0.2066562033008111,0.026348268074627257,False,False,False,HOLD_A7FFCORE16GE_PREMAY_UNSTABLE,0,,,,,,0,,,,,,0,,,,,,160,-0.13698233739717763,-1.8106160638192688,-1.8106160638192688,-1.8106160638192688,0.44375,8.031944444444445,
I1_OI_delta_x_funding_abs,open_interest_last,open_interest,funding_rate,funding,delta_4h,Mul,core16ge_I1_OI_delta_x_funding_abs_open_interest_last_Mul_funding_rate_delta_4h,L0_raw_forward_return,4,1.0,0,False,0.7145354956582982,-0.0005001587430658288,False,False,False,HOLD_A7FFCORE16GE_PREMAY_UNSTABLE,0,,,,,,0,,,,,,0,,,,,,159,-0.0024362565173927054,-1.3436290909954245,-1.3436290909954245,-1.3436290909954245,0.49056603773584906,7.988888888888889,
I1_OI_delta_x_funding_abs,open_interest_last,open_interest,funding_rate,funding,delta_4h,Mul,core16ge_I1_OI_delta_x_funding_abs_open_interest_last_Mul_funding_rate_delta_4h,L1_cross_sectional_relative_return,4,1.0,0,False,0.7145354956582982,-0.0005001587430658283,False,False,False,HOLD_A7FFCORE16GE_PREMAY_UNSTABLE,0,,,,,,0,,,,,,0,,,,,,159,-0.0024362565173927054,-1.343629090995425,-1.343629090995425,-1.343629090995425,0.49056603773584906,7.988888888888889,
I1_OI_delta_x_funding_abs,open_interest_last,open_interest,funding_rate,funding,delta_4h,Mul,core16ge_I1_OI_delta_x_funding_abs_open_interest_last_Mul_funding_rate_delta_4h,L3_liquidity_tier_relative_return,4,1.0,0,False,0.5862173319726695,-0.0006700406093092578,False,False,False,HOLD_A7FFCORE16GE_PREMAY_UNSTABLE,0,,,,,,0,,,,,,0,,,,,,159,-0.0025617214793708263,-1.4620261668590278,-1.4620261668590278,-1.4620261668590278,0.48427672955974843,7.988888888888889,
I1_OI_delta_x_funding_abs,open_interest_last,open_interest,funding_rate,funding,delta_4h,Mul,core16ge_I1_OI_delta_x_funding_abs_open_interest_last_Mul_funding_rate_delta_4h,L5_vol_adjusted_return,4,1.0,0,False,0.6822273177762229,-0.10762903785346913,False,False,False,HOLD_A7FFCORE16GE_PREMAY_UNSTABLE,0,,,,,,0,,,,,,0,,,,,,159,-0.24123031567086137,-1.7483491557975404,-1.7483491557975404,-1.7483491557975404,0.48427672955974843,7.988888888888889,
I1_OI_delta_x_funding_abs,open_interest_last,open_interest,funding_rate,funding,delta_4h,Mul,core16ge_I1_OI_delta_x_funding_abs_open_interest_last_Mul_funding_rate_delta_4h,L0_raw_forward_return,8,1.0,1,False,3.230540380856326,0.0024275335508747433,True,False,False,HOLD_A7FFCORE16GE_PREMAY_UNSTABLE,0,,,,,,0,,,,,,0,,,,,,158,0.0008518821219505455,0.32066946964900034,0.21316066307740275,0.10655717396792524,0.5316455696202531,7.945833333333334,
I1_OI_delta_x_funding_abs,open_interest_last,open_interest,funding_rate,funding,delta_4h,Mul,core16ge_I1_OI_delta_x_funding_abs_open_interest_last_Mul_funding_rate_delta_4h,L1_cross_sectional_relative_return,8,1.0,1,False,3.230540380856324,0.0024275335508747425,True,False,False,HOLD_A7FFCORE16GE_PREMAY_UNSTABLE,0,,,,,,0,,,,,,0,,,,,,158,0.000851882121950546,0.32066946964900056,0.2131606630774029,0.10655717396792536,0.5316455696202531,7.945833333333334,
