interaction_family,left_field,left_family,right_field,right_family,transform,operator,blueprint_id,label_family,label_horizon_h,orientation_from_train,premay_positive_split_count,premay_all_positive,control_ratio_premay_max,one_bar_lag_recent_oriented,lag_ok,probe_candidate,near_miss,decision,train_2024_n,train_2024_mean_spread,train_2024_tstat,train_2024_nonoverlap_median_tstat,train_2024_nonoverlap_min_tstat,train_2024_positive_rate,validation_2025H1_n,validation_2025H1_mean_spread,validation_2025H1_tstat,validation_2025H1_nonoverlap_median_tstat,validation_2025H1_nonoverlap_min_tstat,validation_2025H1_positive_rate,test_2025H2_n,test_2025H2_mean_spread,test_2025H2_tstat,test_2025H2_nonoverlap_median_tstat,test_2025H2_nonoverlap_min_tstat,test_2025H2_positive_rate,recent_oos_2026JanApr_n,recent_oos_2026JanApr_mean_spread,recent_oos_2026JanApr_tstat,recent_oos_2026JanApr_nonoverlap_median_tstat,recent_oos_2026JanApr_nonoverlap_min_tstat,recent_oos_2026JanApr_positive_rate,avg_n_obs_recent,error
I3_positioning_divergence_x_price_or_basis,global_long_short_account_ratio_last,positioning,trade_return_1h,price_return,spread_short_long,Mul,core16ge_I3_positioning_divergence_x_price_or_basis_global_long_short_account_ratio_last_Mul_trade_return_1h_spread_short_long,L0_raw_forward_return,1,-1.0,1,False,30.193869200395614,-0.0005831067010974944,False,False,False,HOLD_A7FFCORE16GE_PREMAY_UNSTABLE,695,-4.115901367232202e-06,-0.021657297959013815,-0.021657297959013815,-0.021657297959013815,0.516546762589928,719,2.7930604137831645e-05,0.211373861080128,0.211373861080128,0.211373861080128,0.5104311543810849,719,-5.790498588321822e-05,-0.3359311699536725,-0.3359311699536725,-0.3359311699536725,0.48817802503477054,719,0.0004097292742235454,1.2737410087991823,1.2737410087991823,1.2737410087991823,0.5368567454798331,95.86666666666666,
I3_positioning_divergence_x_price_or_basis,global_long_short_account_ratio_last,positioning,trade_return_1h,price_return,spread_short_long,Mul,core16ge_I3_positioning_divergence_x_price_or_basis_global_long_short_account_ratio_last_Mul_trade_return_1h_spread_short_long,L1_cross_sectional_relative_return,1,-1.0,1,False,30.193869200395593,-0.0005831067010974945,False,False,False,HOLD_A7FFCORE16GE_PREMAY_UNSTABLE,695,-4.115901367232171e-06,-0.021657297959013656,-0.021657297959013656,-0.021657297959013656,0.516546762589928,719,2.7930604137831665e-05,0.2113738610801282,0.2113738610801282,0.2113738610801282,0.5104311543810849,719,-5.79049858832182e-05,-0.3359311699536724,-0.3359311699536724,-0.3359311699536724,0.48817802503477054,719,0.0004097292742235453,1.273741008799182,1.273741008799182,1.273741008799182,0.5368567454798331,95.86666666666666,
I3_positioning_divergence_x_price_or_basis,global_long_short_account_ratio_last,positioning,trade_return_1h,price_return,spread_short_long,Mul,core16ge_I3_positioning_divergence_x_price_or_basis_global_long_short_account_ratio_last_Mul_trade_return_1h_spread_short_long,L3_liquidity_tier_relative_return,1,-1.0,1,False,13.649134126268782,-0.0005147616994018287,False,False,False,HOLD_A7FFCORE16GE_PREMAY_UNSTABLE,695,-1.048257149671294e-05,-0.05976502145063976,-0.05976502145063976,-0.05976502145063976,0.497841726618705,719,6.12087722459853e-05,0.49497411902117183,0.49497411902117183,0.49497411902117183,0.5201668984700973,719,-0.00010256030423186078,-0.6305654125880877,-0.6305654125880877,-0.6305654125880877,0.47844228094575797,719,0.0003628183714514837,1.149884483863604,1.149884483863604,1.149884483863604,0.5299026425591099,95.86666666666666,
I3_positioning_divergence_x_price_or_basis,global_long_short_account_ratio_last,positioning,trade_return_1h,price_return,spread_short_long,Mul,core16ge_I3_positioning_divergence_x_price_or_basis_global_long_short_account_ratio_last_Mul_trade_return_1h_spread_short_long,L5_vol_adjusted_return,1,-1.0,2,False,66.77423342638758,-0.040963350791095955,False,False,False,HOLD_A7FFCORE16GE_PREMAY_UNSTABLE,695,-0.0028430208173142032,-0.24746000332647042,-0.24746000332647042,-0.24746000332647042,0.5007194244604316,719,-0.001043751485396429,-0.08836633826730797,-0.08836633826730797,-0.08836633826730797,0.5062586926286509,719,-0.004491091361367802,-0.31494742498374406,-0.31494742498374406,-0.31494742498374406,0.48817802503477054,719,0.031720505937598016,1.438890378001162,1.438890378001162,1.438890378001162,0.5340751043115438,95.86666666666666,
I3_positioning_divergence_x_price_or_basis,global_long_short_account_ratio_last,positioning,trade_return_1h,price_return,spread_short_long,Mul,core16ge_I3_positioning_divergence_x_price_or_basis_global_long_short_account_ratio_last_Mul_trade_return_1h_spread_short_long,L0_raw_forward_return,4,-1.0,1,False,8.857353199194872,-0.002047426506787492,False,False,False,HOLD_A7FFCORE16GE_PREMAY_UNSTABLE,692,-0.00027947204004170493,-0.7431712196665792,-0.4892275996880731,-0.6458820392379797,0.5086705202312138,716,0.00040412292258678966,1.6375632905025408,0.789385377150438,0.19091356013519434,0.553072625698324,716,-0.000206199667764351,-0.6620628684081871,-0.3431960976875824,-0.7858156441822131,0.4888268156424581,716,0.0019217176880744118,3.4380869116690227,1.685671140903011,1.3373157955551793,0.5516759776536313,95.46666666666667,
I3_positioning_divergence_x_price_or_basis,global_long_short_account_ratio_last,positioning,trade_return_1h,price_return,spread_short_long,Mul,core16ge_I3_positioning_divergence_x_price_or_basis_global_long_short_account_ratio_last_Mul_trade_return_1h_spread_short_long,L1_cross_sectional_relative_return,4,-1.0,1,False,8.857353199194865,-0.002047426506787492,False,False,False,HOLD_A7FFCORE16GE_PREMAY_UNSTABLE,692,-0.00027947204004170493,-0.7431712196665792,-0.4892275996880736,-0.6458820392379797,0.5086705202312138,716,0.0004041229225867897,1.6375632905025408,0.789385377150438,0.19091356013519364,0.553072625698324,716,-0.00020619966776435117,-0.6620628684081876,-0.34319609768758247,-0.7858156441822131,0.4888268156424581,716,0.0019217176880744118,3.4380869116690227,1.685671140903011,1.337315795555179,0.5516759776536313,95.46666666666667,
I3_positioning_divergence_x_price_or_basis,global_long_short_account_ratio_last,positioning,trade_return_1h,price_return,spread_short_long,Mul,core16ge_I3_positioning_divergence_x_price_or_basis_global_long_short_account_ratio_last_Mul_trade_return_1h_spread_short_long,L3_liquidity_tier_relative_return,4,-1.0,1,False,6.225758756284717,-0.0018172402320173829,False,False,False,HOLD_A7FFCORE16GE_PREMAY_UNSTABLE,692,-0.0004236387322009469,-1.2270485517023466,-0.6334843600830102,-1.1531456967673495,0.49277456647398843,716,0.0005489734413490008,2.336841573495543,1.1187553665982646,0.6789400072006715,0.5754189944134078,716,-0.0003317692595801104,-1.1419883074964479,-0.6224341456440732,-1.066574910068995,0.48044692737430167,716,0.0017102081803669756,3.1132728126564,1.567837838819885,1.0579885330319043,0.5432960893854749,95.46666666666667,
I3_positioning_divergence_x_price_or_basis,global_long_short_account_ratio_last,positioning,trade_return_1h,price_return,spread_short_long,Mul,core16ge_I3_positioning_divergence_x_price_or_basis_global_long_short_account_ratio_last_Mul_trade_return_1h_spread_short_long,L5_vol_adjusted_return,4,-1.0,1,False,11.38165592497928,-0.15114563283848184,False,False,False,HOLD_A7FFCORE16GE_PREMAY_UNSTABLE,692,-0.02162948940675328,-0.9681922307836819,-0.6373251314026989,-0.7370274007579211,0.476878612716763,716,0.03172357546509869,1.4164772203069684,0.7042582586766117,0.07952077091849938,0.5405027932960894,716,-0.010257271700811182,-0.3901137439197369,-0.22600561604338082,-0.5850568717769643,0.49441340782122906,716,0.15059009380301971,3.4372624088289636,1.707337743637117,1.559633292519867,0.5516759776536313,95.46666666666667,
I3_positioning_divergence_x_price_or_basis,global_long_short_account_ratio_last,positioning,trade_return_1h,price_return,spread_short_long,Mul,core16ge_I3_positioning_divergence_x_price_or_basis_global_long_short_account_ratio_last_Mul_trade_return_1h_spread_short_long,L0_raw_forward_return,8,-1.0,1,False,9.128928682181652,-0.004455324553740499,False,False,False,HOLD_A7FFCORE16GE_PREMAY_UNSTABLE,688,-0.00020571512905657137,-0.4192162425005538,-0.2152920511199144,-0.7080128968773431,0.5406976744186046,712,0.0009557516310492823,2.9716798421634385,0.8455952988612371,0.34133063048791257,0.5547752808988764,712,-0.00039314684547287816,-0.8780777867616177,-0.47310382657416616,-0.9878199187909529,0.4887640449438202,712,0.004251197917921133,5.337013562982013,1.8102622959642005,1.4880533455465585,0.574438202247191,94.93333333333334,
I3_positioning_divergence_x_price_or_basis,global_long_short_account_ratio_last,positioning,trade_return_1h,price_return,spread_short_long,Mul,core16ge_I3_positioning_divergence_x_price_or_basis_global_long_short_account_ratio_last_Mul_trade_return_1h_spread_short_long,L1_cross_sectional_relative_return,8,-1.0,1,False,9.128928682181648,-0.004455324553740499,False,False,False,HOLD_A7FFCORE16GE_PREMAY_UNSTABLE,688,-0.00020571512905657142,-0.41921624250055384,-0.21529205111991423,-0.7080128968773433,0.5406976744186046,712,0.0009557516310492824,2.9716798421634385,0.845595298861237,0.3413306304879123,0.5547752808988764,712,-0.0003931468454728782,-0.878077786761618,-0.4731038265741667,-0.9878199187909527,0.4887640449438202,712,0.004251197917921133,5.337013562982013,1.8102622959642005,1.488053345546558,0.574438202247191,94.93333333333334,
