interaction_family,left_field,left_family,right_field,right_family,transform,operator,blueprint_id
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,premium_close_bps,basis_premium,zscore_72h,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_Mul_premium_close_bps_zscore_72h
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,premium_close_bps,basis_premium,zscore_72h,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_SafeDiv_premium_close_bps_zscore_72h
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,premium_close_bps,basis_premium,zscore_168h,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_Mul_premium_close_bps_zscore_168h
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,premium_close_bps,basis_premium,zscore_168h,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_SafeDiv_premium_close_bps_zscore_168h
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,premium_close_bps,basis_premium,spread_short_long,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_Mul_premium_close_bps_spread_short_long
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,premium_close_bps,basis_premium,spread_short_long,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_SafeDiv_premium_close_bps_spread_short_long
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,mark_index_basis_bps,basis_premium,zscore_72h,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_Mul_mark_index_basis_bps_zscore_72h
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,mark_index_basis_bps,basis_premium,zscore_72h,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_SafeDiv_mark_index_basis_bps_zscore_72h
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,mark_index_basis_bps,basis_premium,zscore_168h,Mul,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_Mul_mark_index_basis_bps_zscore_168h
I6_volatility_state_x_basis_or_OI,realized_vol_24h,volatility,mark_index_basis_bps,basis_premium,zscore_168h,SafeDiv,core16ge_I6_volatility_state_x_basis_or_OI_realized_vol_24h_SafeDiv_mark_index_basis_bps_zscore_168h
