blueprint_count,decision,full_timestamps_before_subset,generated_at,missing_fields_excluded,near_miss_count,response_rows,second_pass_candidate_count,second_pass_family,stage,symbols_loaded,timestamps,chunk_count,chunk_index
378,PASS_A7FFCORE16HE_FAMILY_SHARD_COMPLETE,21025,2026-06-01T10:35:59Z,[],106,6048,128,H0_I3_deconcentration,A7FF-CORE16HE-FAMILY,96,3481,,
144,PASS_A7FFCORE16HE_FAMILY_SHARD_COMPLETE,21025,2026-06-01T10:53:41Z,[],33,2304,53,H1_I5_deconcentration,A7FF-CORE16HE-FAMILY,96,3481,6.0,0.0
144,PASS_A7FFCORE16HE_FAMILY_SHARD_COMPLETE,21025,2026-06-01T10:53:44Z,[],0,2304,1,H1_I5_deconcentration,A7FF-CORE16HE-FAMILY,96,3481,6.0,1.0
144,PASS_A7FFCORE16HE_FAMILY_SHARD_COMPLETE,21025,2026-06-01T10:53:38Z,[],83,2304,42,H1_I5_deconcentration,A7FF-CORE16HE-FAMILY,96,3481,6.0,2.0
144,PASS_A7FFCORE16HE_FAMILY_SHARD_COMPLETE,21025,2026-06-01T11:08:22Z,[],63,2304,32,H1_I5_deconcentration,A7FF-CORE16HE-FAMILY,96,3481,6.0,3.0
144,PASS_A7FFCORE16HE_FAMILY_SHARD_COMPLETE,21025,2026-06-01T11:08:07Z,[],0,2304,0,H1_I5_deconcentration,A7FF-CORE16HE-FAMILY,96,3481,6.0,4.0
144,PASS_A7FFCORE16HE_FAMILY_SHARD_COMPLETE,21025,2026-06-01T11:08:09Z,[],58,2304,72,H1_I5_deconcentration,A7FF-CORE16HE-FAMILY,96,3481,6.0,5.0
94,PASS_A7FFCORE16HE_FAMILY_SHARD_COMPLETE,21025,2026-06-01T11:16:46Z,[],9,1504,3,H2_I4_near_miss_repair,A7FF-CORE16HE-FAMILY,96,3481,6.0,0.0
94,PASS_A7FFCORE16HE_FAMILY_SHARD_COMPLETE,21025,2026-06-01T11:17:04Z,[],5,1504,1,H2_I4_near_miss_repair,A7FF-CORE16HE-FAMILY,96,3481,6.0,1.0
93,PASS_A7FFCORE16HE_FAMILY_SHARD_COMPLETE,21025,2026-06-01T11:16:48Z,[],6,1488,1,H2_I4_near_miss_repair,A7FF-CORE16HE-FAMILY,96,3481,6.0,2.0
93,PASS_A7FFCORE16HE_FAMILY_SHARD_COMPLETE,21025,2026-06-01T11:26:44Z,[],6,1488,1,H2_I4_near_miss_repair,A7FF-CORE16HE-FAMILY,96,3481,6.0,3.0
93,PASS_A7FFCORE16HE_FAMILY_SHARD_COMPLETE,21025,2026-06-01T11:26:23Z,[],7,1488,3,H2_I4_near_miss_repair,A7FF-CORE16HE-FAMILY,96,3481,6.0,4.0
93,PASS_A7FFCORE16HE_FAMILY_SHARD_COMPLETE,21025,2026-06-01T11:27:04Z,[],8,1488,0,H2_I4_near_miss_repair,A7FF-CORE16HE-FAMILY,96,3481,6.0,5.0
60,PASS_A7FFCORE16HE_FAMILY_SHARD_COMPLETE,21025,2026-06-01T11:49:07Z,[],1,960,0,H3_cross_family_bridge,A7FF-CORE16HE-FAMILY,96,3481,12.0,0.0
60,PASS_A7FFCORE16HE_FAMILY_SHARD_COMPLETE,21025,2026-06-01T11:49:14Z,[],1,960,0,H3_cross_family_bridge,A7FF-CORE16HE-FAMILY,96,3481,12.0,1.0
60,PASS_A7FFCORE16HE_FAMILY_SHARD_COMPLETE,21025,2026-06-01T12:38:10Z,[],0,960,5,H3_cross_family_bridge,A7FF-CORE16HE-FAMILY,96,3481,12.0,10.0
60,PASS_A7FFCORE16HE_FAMILY_SHARD_COMPLETE,21025,2026-06-01T12:38:32Z,[],11,960,0,H3_cross_family_bridge,A7FF-CORE16HE-FAMILY,96,3481,12.0,11.0
60,PASS_A7FFCORE16HE_FAMILY_SHARD_COMPLETE,21025,2026-06-01T11:49:09Z,[],15,960,10,H3_cross_family_bridge,A7FF-CORE16HE-FAMILY,96,3481,12.0,2.0
60,PASS_A7FFCORE16HE_FAMILY_SHARD_COMPLETE,21025,2026-06-01T11:55:53Z,[],0,960,0,H3_cross_family_bridge,A7FF-CORE16HE-FAMILY,96,3481,12.0,3.0
60,PASS_A7FFCORE16HE_FAMILY_SHARD_COMPLETE,21025,2026-06-01T11:55:51Z,[],7,960,0,H3_cross_family_bridge,A7FF-CORE16HE-FAMILY,96,3481,12.0,4.0
60,PASS_A7FFCORE16HE_FAMILY_SHARD_COMPLETE,21025,2026-06-01T11:56:03Z,[],1,960,0,H3_cross_family_bridge,A7FF-CORE16HE-FAMILY,96,3481,12.0,5.0
60,PASS_A7FFCORE16HE_FAMILY_SHARD_COMPLETE,21025,2026-06-01T12:19:44Z,[],2,960,2,H3_cross_family_bridge,A7FF-CORE16HE-FAMILY,96,3481,12.0,6.0
60,PASS_A7FFCORE16HE_FAMILY_SHARD_COMPLETE,21025,2026-06-01T12:19:34Z,[],10,960,3,H3_cross_family_bridge,A7FF-CORE16HE-FAMILY,96,3481,12.0,7.0
60,PASS_A7FFCORE16HE_FAMILY_SHARD_COMPLETE,21025,2026-06-01T12:28:14Z,[],2,960,0,H3_cross_family_bridge,A7FF-CORE16HE-FAMILY,96,3481,12.0,8.0
60,PASS_A7FFCORE16HE_FAMILY_SHARD_COMPLETE,21025,2026-06-01T12:28:39Z,[],0,960,0,H3_cross_family_bridge,A7FF-CORE16HE-FAMILY,96,3481,12.0,9.0
