second_pass_family,left_field,left_family,right_field,right_family,left_transform,right_transform,operator,blueprint_id,label_family,label_horizon_h,orientation_from_train,premay_positive_split_count,premay_all_positive,control_ratio_premay_max,one_bar_lag_recent_oriented,lag_ok,second_pass_candidate,near_miss,decision,train_2024_n,train_2024_mean_spread,train_2024_tstat,train_2024_nonoverlap_median_tstat,train_2024_nonoverlap_min_tstat,train_2024_positive_rate,validation_2025H1_n,validation_2025H1_mean_spread,validation_2025H1_tstat,validation_2025H1_nonoverlap_median_tstat,validation_2025H1_nonoverlap_min_tstat,validation_2025H1_positive_rate,test_2025H2_n,test_2025H2_mean_spread,test_2025H2_tstat,test_2025H2_nonoverlap_median_tstat,test_2025H2_nonoverlap_min_tstat,test_2025H2_positive_rate,recent_oos_2026JanApr_n,recent_oos_2026JanApr_mean_spread,recent_oos_2026JanApr_tstat,recent_oos_2026JanApr_nonoverlap_median_tstat,recent_oos_2026JanApr_nonoverlap_min_tstat,recent_oos_2026JanApr_positive_rate,avg_n_obs_recent,error
H3_cross_family_bridge,trade_quote_volume,liquidity,trade_return_24h,price_return,zscore_168h,zscore_168h,SafeDiv,core16he_H3_cross_family_bridge_trade_quote_volume_zscore_168h_SafeDiv_trade_return_24h_zscore_168h,L0_raw_forward_return,1,-1.0,2,False,15.785837678314623,-8.915745413678197e-05,False,False,False,HOLD_A7FFCORE16HE_PREMAY_UNSTABLE,696,-0.00027623476690267465,-1.3298929725791413,-1.3298929725791413,-1.3298929725791413,0.4540229885057471,719,-0.00014017231257010604,-1.2208013387680152,-1.2208013387680152,-1.2208013387680152,0.48678720445062584,719,-0.00028080326209102617,-1.7950746480692334,-1.7950746480692334,-1.7950746480692334,0.46453407510431155,719,4.908836693750823e-05,0.1981483550222018,0.1981483550222018,0.1981483550222018,0.48817802503477054,95.86666666666666,
H3_cross_family_bridge,trade_quote_volume,liquidity,trade_return_24h,price_return,zscore_168h,zscore_168h,SafeDiv,core16he_H3_cross_family_bridge_trade_quote_volume_zscore_168h_SafeDiv_trade_return_24h_zscore_168h,L1_cross_sectional_relative_return,1,-1.0,2,False,15.785837678314646,-8.915745413678188e-05,False,False,False,HOLD_A7FFCORE16HE_PREMAY_UNSTABLE,696,-0.00027623476690267465,-1.329892972579141,-1.329892972579141,-1.329892972579141,0.4540229885057471,719,-0.00014017231257010604,-1.2208013387680152,-1.2208013387680152,-1.2208013387680152,0.48678720445062584,719,-0.00028080326209102617,-1.7950746480692334,-1.7950746480692334,-1.7950746480692334,0.46453407510431155,719,4.908836693750816e-05,0.1981483550222015,0.1981483550222015,0.1981483550222015,0.48817802503477054,95.86666666666666,
H3_cross_family_bridge,trade_quote_volume,liquidity,trade_return_24h,price_return,zscore_168h,zscore_168h,SafeDiv,core16he_H3_cross_family_bridge_trade_quote_volume_zscore_168h_SafeDiv_trade_return_24h_zscore_168h,L3_liquidity_tier_relative_return,1,-1.0,2,False,100.8556888566948,-3.2399535992632886e-05,False,False,False,HOLD_A7FFCORE16HE_PREMAY_UNSTABLE,696,-0.000268312758439314,-1.408153461354772,-1.408153461354772,-1.408153461354772,0.4698275862068966,719,-0.0001131546257504035,-1.029706648992411,-1.029706648992411,-1.029706648992411,0.48817802503477054,719,-0.0002710865768687609,-1.8739980495439652,-1.8739980495439652,-1.8739980495439652,0.4534075104311544,719,6.5294378303135546e-06,0.02860974218421371,0.02860974218421371,0.02860974218421371,0.47983310152990266,95.86666666666666,
H3_cross_family_bridge,trade_quote_volume,liquidity,trade_return_24h,price_return,zscore_168h,zscore_168h,SafeDiv,core16he_H3_cross_family_bridge_trade_quote_volume_zscore_168h_SafeDiv_trade_return_24h_zscore_168h,L5_vol_adjusted_return,1,-1.0,2,False,5.288600391969092,-0.023909810434108072,False,False,False,HOLD_A7FFCORE16HE_PREMAY_UNSTABLE,696,-0.010072362691443692,-0.7951961033754852,-0.7951961033754852,-0.7951961033754852,0.47126436781609193,719,-0.010394118635001075,-0.9013382802214708,-0.9013382802214708,-0.9013382802214708,0.48956884561891517,719,-0.026471401268362792,-1.6079062769442518,-1.6079062769442518,-1.6079062769442518,0.45479833101529904,719,0.014130255775159545,0.6434061082867183,0.6434061082867183,0.6434061082867183,0.4756606397774687,95.86666666666666,
H3_cross_family_bridge,trade_quote_volume,liquidity,trade_return_24h,price_return,zscore_168h,zscore_168h,SafeDiv,core16he_H3_cross_family_bridge_trade_quote_volume_zscore_168h_SafeDiv_trade_return_24h_zscore_168h,L0_raw_forward_return,4,-1.0,2,False,5.685459347697516,-0.0006073430394862461,False,False,False,HOLD_A7FFCORE16HE_PREMAY_UNSTABLE,693,-0.0006429846904807149,-1.7957417954599273,-0.5803404719872135,-2.047879003716972,0.45454545454545453,716,-0.00030653172389895583,-1.3743842404167421,-0.7486464708930972,-1.0653270237830423,0.4762569832402235,716,-0.001235636485731781,-4.384065997375131,-2.207760018662577,-2.41322709781453,0.4134078212290503,716,0.0006118612050706054,1.2343384446061432,0.523808284845532,0.15445462184927725,0.4860335195530726,95.46666666666667,
H3_cross_family_bridge,trade_quote_volume,liquidity,trade_return_24h,price_return,zscore_168h,zscore_168h,SafeDiv,core16he_H3_cross_family_bridge_trade_quote_volume_zscore_168h_SafeDiv_trade_return_24h_zscore_168h,L1_cross_sectional_relative_return,4,-1.0,2,False,5.685459347697517,-0.0006073430394862462,False,False,False,HOLD_A7FFCORE16HE_PREMAY_UNSTABLE,693,-0.000642984690480715,-1.7957417954599277,-0.5803404719872134,-2.047879003716972,0.45454545454545453,716,-0.00030653172389895583,-1.3743842404167421,-0.7486464708930971,-1.0653270237830421,0.4762569832402235,716,-0.001235636485731781,-4.384065997375131,-2.2077600186625777,-2.41322709781453,0.4134078212290503,716,0.0006118612050706052,1.234338444606143,0.523808284845532,0.15445462184927738,0.4860335195530726,95.46666666666667,
H3_cross_family_bridge,trade_quote_volume,liquidity,trade_return_24h,price_return,zscore_168h,zscore_168h,SafeDiv,core16he_H3_cross_family_bridge_trade_quote_volume_zscore_168h_SafeDiv_trade_return_24h_zscore_168h,L3_liquidity_tier_relative_return,4,-1.0,2,False,7.6434734044379455,-0.00046751140878552674,False,False,False,HOLD_A7FFCORE16HE_PREMAY_UNSTABLE,693,-0.000667072212316736,-1.9701710668576815,-0.7956485164397146,-1.932243539978136,0.46320346320346323,716,-0.0002733964660093708,-1.2675372132402176,-0.743714935880707,-0.9348434290761773,0.4762569832402235,716,-0.0010205541329524122,-3.9322818395504555,-2.078498847757892,-2.1746481933207837,0.42877094972067037,716,0.00041743361596100484,0.9159241099406503,0.2594258780213783,-0.19057918990366365,0.48324022346368717,95.46666666666667,
H3_cross_family_bridge,trade_quote_volume,liquidity,trade_return_24h,price_return,zscore_168h,zscore_168h,SafeDiv,core16he_H3_cross_family_bridge_trade_quote_volume_zscore_168h_SafeDiv_trade_return_24h_zscore_168h,L5_vol_adjusted_return,4,-1.0,2,False,3.460588511302348,-0.10927799217386691,False,False,False,HOLD_A7FFCORE16HE_PREMAY_UNSTABLE,693,-0.03191576328727524,-1.4486794050854088,-0.4492707715935894,-1.6940928810784568,0.4603174603174603,716,-0.039602320408371486,-1.7542481720129373,-0.90460250158102,-1.1657762072711324,0.4692737430167598,716,-0.12777786989171236,-4.301703157927596,-2.19178830476942,-2.6892185081042554,0.41899441340782123,716,0.10796545235524352,2.3053463532878777,1.2362993670489602,0.7992229319773623,0.49441340782122906,95.46666666666667,
H3_cross_family_bridge,trade_quote_volume,liquidity,trade_return_24h,price_return,zscore_168h,zscore_168h,SafeDiv,core16he_H3_cross_family_bridge_trade_quote_volume_zscore_168h_SafeDiv_trade_return_24h_zscore_168h,L0_raw_forward_return,8,-1.0,2,False,9.773159071518096,-0.0007117311089911608,False,False,False,HOLD_A7FFCORE16HE_PREMAY_UNSTABLE,689,-0.00022851709848482215,-0.45427585744193816,0.022752413432292798,-0.868506651995438,0.49201741654571846,712,-0.00042101497449565755,-1.428264125156711,-0.5731221067858043,-0.8746801918583775,0.4789325842696629,712,-0.0019509634081794,-4.672340226942255,-1.685428000325242,-2.0568972429798342,0.37640449438202245,712,0.0007083315953823952,0.9664883600279779,0.3069256292289539,-0.001682661783328242,0.4648876404494382,94.93333333333334,
H3_cross_family_bridge,trade_quote_volume,liquidity,trade_return_24h,price_return,zscore_168h,zscore_168h,SafeDiv,core16he_H3_cross_family_bridge_trade_quote_volume_zscore_168h_SafeDiv_trade_return_24h_zscore_168h,L1_cross_sectional_relative_return,8,-1.0,2,False,9.773159071518096,-0.0007117311089911606,False,False,False,HOLD_A7FFCORE16HE_PREMAY_UNSTABLE,689,-0.00022851709848482234,-0.45427585744193866,0.022752413432292496,-0.8685066519954381,0.49201741654571846,712,-0.0004210149744956576,-1.4282641251567112,-0.5731221067858041,-0.8746801918583775,0.4789325842696629,712,-0.0019509634081794,-4.672340226942255,-1.6854280003252415,-2.0568972429798342,0.37640449438202245,712,0.0007083315953823952,0.9664883600279777,0.30692562922895394,-0.0016826617833282371,0.4648876404494382,94.93333333333334,
