second_pass_family,left_field,left_family,right_field,right_family,left_transform,right_transform,operator,blueprint_id,label_family,label_horizon_h,orientation_from_train,premay_positive_split_count,premay_all_positive,control_ratio_premay_max,one_bar_lag_recent_oriented,lag_ok,second_pass_candidate,near_miss,decision,train_2024_n,train_2024_mean_spread,train_2024_tstat,train_2024_nonoverlap_median_tstat,train_2024_nonoverlap_min_tstat,train_2024_positive_rate,validation_2025H1_n,validation_2025H1_mean_spread,validation_2025H1_tstat,validation_2025H1_nonoverlap_median_tstat,validation_2025H1_nonoverlap_min_tstat,validation_2025H1_positive_rate,test_2025H2_n,test_2025H2_mean_spread,test_2025H2_tstat,test_2025H2_nonoverlap_median_tstat,test_2025H2_nonoverlap_min_tstat,test_2025H2_positive_rate,recent_oos_2026JanApr_n,recent_oos_2026JanApr_mean_spread,recent_oos_2026JanApr_tstat,recent_oos_2026JanApr_nonoverlap_median_tstat,recent_oos_2026JanApr_nonoverlap_min_tstat,recent_oos_2026JanApr_positive_rate,avg_n_obs_recent,error
H3_cross_family_bridge,liquidity_rank_active_universe,liquidity,basis_abs_168h,basis_premium,spread_short_long,zscore_168h,Mul,core16he_H3_cross_family_bridge_liquidity_rank_active_universe_spread_short_long_Mul_basis_abs_168h_zscore_168h,L0_raw_forward_return,1,1.0,3,True,0.9650525138376399,0.00033746104385349375,True,True,False,A7FFCORE16HE_SECOND_PASS_CANDIDATE_LAG_OK,695,7.84747754689162e-05,0.44104855802406195,0.44104855802406195,0.44104855802406195,0.479136690647482,719,8.083680026305179e-05,0.7253442540171157,0.7253442540171157,0.7253442540171157,0.5243393602225312,719,0.00021193848106787784,1.4318002026274355,1.4318002026274355,1.4318002026274355,0.5285118219749653,719,0.00037661266628120216,1.4837036150719913,1.4837036150719913,1.4837036150719913,0.5146036161335188,95.86666666666666,
H3_cross_family_bridge,liquidity_rank_active_universe,liquidity,basis_abs_168h,basis_premium,spread_short_long,zscore_168h,Mul,core16he_H3_cross_family_bridge_liquidity_rank_active_universe_spread_short_long_Mul_basis_abs_168h_zscore_168h,L1_cross_sectional_relative_return,1,1.0,3,True,0.9650525138376392,0.00033746104385349375,True,True,False,A7FFCORE16HE_SECOND_PASS_CANDIDATE_LAG_OK,695,7.847477546891621e-05,0.44104855802406207,0.44104855802406207,0.44104855802406207,0.479136690647482,719,8.083680026305181e-05,0.725344254017116,0.725344254017116,0.725344254017116,0.5243393602225312,719,0.0002119384810678778,1.4318002026274355,1.4318002026274355,1.4318002026274355,0.5285118219749653,719,0.0003766126662812022,1.4837036150719916,1.4837036150719916,1.4837036150719916,0.5146036161335188,95.86666666666666,
H3_cross_family_bridge,liquidity_rank_active_universe,liquidity,basis_abs_168h,basis_premium,spread_short_long,zscore_168h,Mul,core16he_H3_cross_family_bridge_liquidity_rank_active_universe_spread_short_long_Mul_basis_abs_168h_zscore_168h,L0_raw_forward_return,4,1.0,3,True,0.8964218718927963,0.00139340235152131,True,True,False,A7FFCORE16HE_SECOND_PASS_CANDIDATE_LAG_OK,692,0.0003654941275237637,1.054937749740819,0.3987149943098924,0.1994048657481496,0.5130057803468208,716,0.00029910652817597273,1.3751540077515139,0.6572429873241984,0.4133917696220742,0.5139664804469274,716,0.0007644386464816839,2.5603183619533283,1.2660983561354584,1.0036059632658794,0.5363128491620112,716,0.0014615354346623713,2.9446450690518753,1.4466173068354025,0.8956994308469889,0.5097765363128491,95.46666666666667,
H3_cross_family_bridge,liquidity_rank_active_universe,liquidity,basis_abs_168h,basis_premium,spread_short_long,zscore_168h,Mul,core16he_H3_cross_family_bridge_liquidity_rank_active_universe_spread_short_long_Mul_basis_abs_168h_zscore_168h,L1_cross_sectional_relative_return,4,1.0,3,True,0.8964218718927964,0.00139340235152131,True,True,False,A7FFCORE16HE_SECOND_PASS_CANDIDATE_LAG_OK,692,0.0003654941275237638,1.0549377497408194,0.3987149943098924,0.1994048657481498,0.5130057803468208,716,0.0002991065281759726,1.3751540077515132,0.6572429873241984,0.413391769622074,0.5139664804469274,716,0.0007644386464816836,2.560318361953327,1.2660983561354584,1.0036059632658791,0.5363128491620112,716,0.0014615354346623713,2.9446450690518757,1.4466173068354025,0.8956994308469891,0.5097765363128491,95.46666666666667,
H3_cross_family_bridge,liquidity_rank_active_universe,liquidity,basis_abs_168h,basis_premium,spread_short_long,zscore_168h,Mul,core16he_H3_cross_family_bridge_liquidity_rank_active_universe_spread_short_long_Mul_basis_abs_168h_zscore_168h,L3_liquidity_tier_relative_return,4,1.0,3,True,0.9951652672222921,0.0014077910113028198,True,True,False,A7FFCORE16HE_SECOND_PASS_CANDIDATE_LAG_OK,692,0.0002668470089990128,0.8048639985820936,0.25444738830140146,0.06517261204331548,0.5,716,0.00027308215453933013,1.2721071355457003,0.607374597520414,0.37430701692287605,0.4930167597765363,716,0.0006740624910886018,2.416898334602242,1.2439068816113499,0.8991379661803534,0.5349162011173184,716,0.0014664530740080008,3.179170832346782,1.5935207462228917,0.9493219150747536,0.5251396648044693,95.46666666666667,
H3_cross_family_bridge,liquidity_rank_active_universe,liquidity,basis_abs_168h,basis_premium,spread_short_long,zscore_168h,Mul,core16he_H3_cross_family_bridge_liquidity_rank_active_universe_spread_short_long_Mul_basis_abs_168h_zscore_168h,L0_raw_forward_return,8,1.0,3,True,0.8065148925193107,0.002825088748716896,True,True,False,A7FFCORE16HE_SECOND_PASS_CANDIDATE_LAG_OK,688,0.0010421141113044802,2.174325830789301,0.6789548406564463,-0.08751760910051322,0.5159883720930233,712,0.00038841555482518924,1.2644165882001697,0.48336007637163947,0.009819917253078155,0.5210674157303371,712,0.0014839827369843898,3.780998600285714,1.2366585675191404,0.803894300228436,0.5617977528089888,712,0.002872822690909784,4.062804511043434,1.4675271758896333,1.032090652492654,0.49859550561797755,94.93333333333334,
H3_cross_family_bridge,liquidity_rank_active_universe,liquidity,basis_abs_168h,basis_premium,spread_short_long,zscore_168h,Mul,core16he_H3_cross_family_bridge_liquidity_rank_active_universe_spread_short_long_Mul_basis_abs_168h_zscore_168h,L1_cross_sectional_relative_return,8,1.0,3,True,0.8065148925193107,0.002825088748716896,True,True,False,A7FFCORE16HE_SECOND_PASS_CANDIDATE_LAG_OK,688,0.0010421141113044806,2.174325830789302,0.6789548406564465,-0.08751760910051264,0.5159883720930233,712,0.0003884155548251895,1.2644165882001706,0.4833600763716398,0.009819917253077867,0.5210674157303371,712,0.0014839827369843898,3.780998600285714,1.2366585675191404,0.8038943002284364,0.5617977528089888,712,0.0028728226909097835,4.062804511043433,1.4675271758896333,1.0320906524926539,0.49859550561797755,94.93333333333334,
H3_cross_family_bridge,liquidity_rank_active_universe,liquidity,basis_abs_168h,basis_premium,spread_short_long,zscore_168h,Mul,core16he_H3_cross_family_bridge_liquidity_rank_active_universe_spread_short_long_Mul_basis_abs_168h_zscore_168h,L3_liquidity_tier_relative_return,8,1.0,3,True,0.7724834718015949,0.0028895243828515552,True,True,False,A7FFCORE16HE_SECOND_PASS_CANDIDATE_LAG_OK,688,0.0009006267202499975,1.9520068214226127,0.618628915494909,-0.1473207152732586,0.5174418604651163,712,0.00032366048579400976,1.075523978757492,0.40215477418515044,-0.04720099517683693,0.5168539325842697,712,0.001299164505989569,3.5337097729825278,1.1003431642316244,0.6682674710961677,0.5449438202247191,712,0.002918624971175693,4.516601790837409,1.6265959318587844,1.1516940465873928,0.5182584269662921,94.93333333333334,
H3_cross_family_bridge,median_quote_volume_168h,liquidity,mark_trade_basis_bps,basis_premium,zscore_168h,zscore_168h,Mul,core16he_H3_cross_family_bridge_median_quote_volume_168h_zscore_168h_Mul_mark_trade_basis_bps_zscore_168h,L5_vol_adjusted_return,1,-1.0,3,True,0.908359673552983,-0.022714640410508413,False,True,False,A7FFCORE16HE_SECOND_PASS_CANDIDATE_LAG_FRAGILE,696,-0.02648631118206643,-2.3569980472616394,-2.3569980472616394,-2.3569980472616394,0.44971264367816094,719,-0.03644630201191908,-3.659913965057736,-3.659913965057736,-3.659913965057736,0.43671766342141866,719,-0.10815042292981601,-7.71605967535427,-7.71605967535427,-7.71605967535427,0.36995827538247567,719,-0.02695029140344319,-1.4904512660686373,-1.4904512660686373,-1.4904512660686373,0.47983310152990266,95.86666666666666,
H3_cross_family_bridge,median_quote_volume_168h,liquidity,mark_trade_basis_bps,basis_premium,zscore_168h,zscore_168h,Mul,core16he_H3_cross_family_bridge_median_quote_volume_168h_zscore_168h_Mul_mark_trade_basis_bps_zscore_168h,L5_vol_adjusted_return,4,-1.0,3,True,0.47324728387706283,0.007943526072114704,False,True,False,A7FFCORE16HE_SECOND_PASS_CANDIDATE_LAG_FRAGILE,693,-0.034025180316234,-1.6331246763607086,-1.0834154758284538,-1.8579770064164043,0.48484848484848486,716,-0.0354108074711703,-1.8333096165452023,-1.1042819097354004,-1.9615568338498839,0.45391061452513964,716,-0.12062868258316421,-4.606743753562313,-2.2573642905108535,-3.034721290571321,0.43575418994413406,716,-0.04453978089551474,-1.246468488453879,-0.11262750461060876,-2.5980905605289437,0.505586592178771,95.46666666666667,
