semantic_pair,motif,rows,parse_ok,roundtrip_ok,median_nodes,max_depth,field_count
open_interest_like|price_like,smooth_mul,450,450,450,9.0,5,2.0
open_interest_like|price_like,mean_reversion_gate,450,450,450,10.0,6,2.0
open_interest_like|price_like,delta_x_divergence,450,450,450,15.0,6,2.0
taker_flow_like|basis_premium_like,safe_div_abs,450,450,450,8.0,5,2.0
taker_flow_like|basis_premium_like,smooth_mul,450,450,450,9.0,5,2.0
taker_flow_like|basis_premium_like,gated_sign,450,450,450,8.0,5,2.0
taker_flow_like|basis_premium_like,relative_shock,450,450,450,10.0,5,2.0
open_interest_like|price_like,spread_rank,450,450,450,9.0,5,2.0
liquidity_like|volatility_like,liquidity_shock,360,360,360,11.0,6,2.0
liquidity_like|volatility_like,mean_reversion_gate,360,360,360,10.0,6,2.0
liquidity_like|volatility_like,safe_div_abs,360,360,360,8.0,5,2.0
taker_flow_like|open_interest_like,relative_shock,360,360,360,10.0,5,2.0
open_interest_like|positioning_like,spread_rank,360,360,360,9.0,5,2.0
open_interest_like|positioning_like,safe_div_abs,360,360,360,8.0,5,2.0
open_interest_like|positioning_like,smooth_mul,360,360,360,9.0,5,2.0
open_interest_like|positioning_like,delta_x_divergence,360,360,360,15.0,6,2.0
liquidity_like|volatility_like,spread_rank,360,360,360,9.0,5,2.0
liquidity_like|volatility_like,smooth_mul,360,360,360,9.0,5,2.0
open_interest_like|positioning_like,signed_spread,360,360,360,14.0,6,2.0
taker_flow_like|open_interest_like,smooth_mul,360,360,360,9.0,5,2.0
taker_flow_like|open_interest_like,safe_div_abs,360,360,360,8.0,5,2.0
taker_flow_like|open_interest_like,flow_x_leverage,360,360,360,10.0,5,2.0
taker_flow_like|open_interest_like,gated_sign,360,360,360,8.0,5,2.0
liquidity_like,single,108,108,108,3.0,3,1.0
open_interest_like,single,60,60,60,3.0,3,1.0
taker_flow_like,single,48,48,48,3.0,3,1.0
volatility_like,single,24,24,24,3.0,3,1.0
