candidate_id,blueprint_id,seed_lane,second_pass_family,left_field,left_transform,operator,right_field,right_transform,label_family,label_horizon_h,ok_splits,min_test_spread,mean_test_spread,control_ratio,packet_role
core16he_H1_I5_deconcentration_median_quote_volume_168h_shock_24h_Mul_mark_trade_basis_bps_zscore_168h|L0_raw_forward_return|4,core16he_H1_I5_deconcentration_median_quote_volume_168h_shock_24h_Mul_mark_trade_basis_bps_zscore_168h,S1_liquidity_basis_positioning,H1_I5_deconcentration,median_quote_volume_168h,shock_24h,Mul,mark_trade_basis_bps,zscore_168h,L0_raw_forward_return,4,0,-0.00042546837549820547,-0.0003212712879064725,0.8800417170696034,same_bar_repair_seed
core16he_H1_I5_deconcentration_median_quote_volume_168h_shock_24h_Mul_mark_trade_basis_bps_zscore_168h|L1_cross_sectional_relative_return|4,core16he_H1_I5_deconcentration_median_quote_volume_168h_shock_24h_Mul_mark_trade_basis_bps_zscore_168h,S1_liquidity_basis_positioning,H1_I5_deconcentration,median_quote_volume_168h,shock_24h,Mul,mark_trade_basis_bps,zscore_168h,L1_cross_sectional_relative_return,4,0,-0.0004254683754982055,-0.0003212712879064725,0.6899996082566379,same_bar_repair_seed
core16he_H2_I4_near_miss_repair_taker_buy_sell_volume_ratio_last_shock_24h_SafeDiv_open_interest_last_zscore_168h|L5_vol_adjusted_return|24,core16he_H2_I4_near_miss_repair_taker_buy_sell_volume_ratio_last_shock_24h_SafeDiv_open_interest_last_zscore_168h,S2_taker_flow_liquidity_oi,H2_I4_near_miss_repair,taker_buy_sell_volume_ratio_last,shock_24h,SafeDiv,open_interest_last,zscore_168h,L5_vol_adjusted_return,24,3,0.0711114904956706,0.12430608537584979,0.947619754963101,executable_clean
core16he_H3_cross_family_bridge_liquidity_rank_active_universe_spread_short_long_Mul_basis_abs_168h_zscore_168h|L0_raw_forward_return|4,core16he_H3_cross_family_bridge_liquidity_rank_active_universe_spread_short_long_Mul_basis_abs_168h_zscore_168h,S3_cross_family_bridge,H3_cross_family_bridge,liquidity_rank_active_universe,spread_short_long,Mul,basis_abs_168h,zscore_168h,L0_raw_forward_return,4,2,-0.00010174774603150004,0.00042168826877670004,0.8964218718927963,one_bar_near_miss_seed
core16he_H3_cross_family_bridge_liquidity_rank_active_universe_spread_short_long_Mul_basis_abs_168h_zscore_168h|L0_raw_forward_return|8,core16he_H3_cross_family_bridge_liquidity_rank_active_universe_spread_short_long_Mul_basis_abs_168h_zscore_168h,S3_cross_family_bridge,H3_cross_family_bridge,liquidity_rank_active_universe,spread_short_long,Mul,basis_abs_168h,zscore_168h,L0_raw_forward_return,8,2,-1.4979826427899997e-05,0.0011838067517106331,0.8065148925193107,one_bar_near_miss_seed
core16he_H3_cross_family_bridge_liquidity_rank_active_universe_spread_short_long_Mul_basis_abs_168h_zscore_168h|L1_cross_sectional_relative_return|4,core16he_H3_cross_family_bridge_liquidity_rank_active_universe_spread_short_long_Mul_basis_abs_168h_zscore_168h,S3_cross_family_bridge,H3_cross_family_bridge,liquidity_rank_active_universe,spread_short_long,Mul,basis_abs_168h,zscore_168h,L1_cross_sectional_relative_return,4,2,-0.00010174774603150004,0.00042168826877670004,0.8964218718927964,one_bar_near_miss_seed
core16he_H3_cross_family_bridge_liquidity_rank_active_universe_spread_short_long_Mul_basis_abs_168h_zscore_168h|L1_cross_sectional_relative_return|8,core16he_H3_cross_family_bridge_liquidity_rank_active_universe_spread_short_long_Mul_basis_abs_168h_zscore_168h,S3_cross_family_bridge,H3_cross_family_bridge,liquidity_rank_active_universe,spread_short_long,Mul,basis_abs_168h,zscore_168h,L1_cross_sectional_relative_return,8,2,-1.4979826427899997e-05,0.0011838067517106331,0.8065148925193107,one_bar_near_miss_seed
core16he_H3_cross_family_bridge_liquidity_rank_active_universe_spread_short_long_Mul_basis_abs_168h_zscore_168h|L3_liquidity_tier_relative_return|8,core16he_H3_cross_family_bridge_liquidity_rank_active_universe_spread_short_long_Mul_basis_abs_168h_zscore_168h,S3_cross_family_bridge,H3_cross_family_bridge,liquidity_rank_active_universe,spread_short_long,Mul,basis_abs_168h,zscore_168h,L3_liquidity_tier_relative_return,8,2,-7.311039392470003e-05,0.0011210749251902,0.7724834718015949,one_bar_near_miss_seed
core16he_H3_cross_family_bridge_median_quote_volume_168h_zscore_168h_Mul_mark_trade_basis_bps_zscore_168h|L5_vol_adjusted_return|4,core16he_H3_cross_family_bridge_median_quote_volume_168h_zscore_168h_Mul_mark_trade_basis_bps_zscore_168h,S3_cross_family_bridge,H3_cross_family_bridge,median_quote_volume_168h,zscore_168h,Mul,mark_trade_basis_bps,zscore_168h,L5_vol_adjusted_return,4,2,-0.0223705321552493,0.004522417225412031,0.3799514246241128,same_bar_repair_seed
core16he_H3_cross_family_bridge_top_long_short_position_ratio_last_spread_short_long_SafeDiv_open_interest_value_last_zscore_168h|L0_raw_forward_return|24,core16he_H3_cross_family_bridge_top_long_short_position_ratio_last_spread_short_long_SafeDiv_open_interest_value_last_zscore_168h,S3_cross_family_bridge,H3_cross_family_bridge,top_long_short_position_ratio_last,spread_short_long,SafeDiv,open_interest_value_last,zscore_168h,L0_raw_forward_return,24,3,0.0006232873258267,0.0017482686460676665,0.6974625475030997,executable_clean
