blueprint_id,seed_lane,left_field,left_transform,operator,right_field,right_transform,label_family,label_horizon_h,expression,candidate_role,source_stage
core25e_S0_positioning_price_basis_4e626d3d1ac8e1,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,delta_4h,L0_raw_forward_return,4,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(mark_index_basis_bps,4))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_b61dbb8af264cb,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,delta_4h,L1_cross_sectional_relative_return,4,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(mark_index_basis_bps,4))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_b583b822437611,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,delta_4h,L3_liquidity_tier_relative_return,4,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(mark_index_basis_bps,4))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_67a3d1787921cb,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,delta_4h,L0_raw_forward_return,8,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(mark_index_basis_bps,4))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_2dcd4dfb3875d5,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,delta_4h,L1_cross_sectional_relative_return,8,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(mark_index_basis_bps,4))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_47774cac4d3f5c,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,delta_4h,L3_liquidity_tier_relative_return,8,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(mark_index_basis_bps,4))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_4ea22c1a6d5383,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,delta_4h,L0_raw_forward_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(mark_index_basis_bps,4))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_d56224d20d535f,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,delta_4h,L1_cross_sectional_relative_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(mark_index_basis_bps,4))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_d7b4c0292e7adc,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,delta_4h,L3_liquidity_tier_relative_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(mark_index_basis_bps,4))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_cbea419a3cf5e9,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,delta_24h,L0_raw_forward_return,4,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(mark_index_basis_bps,24))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_32e05a31ebc128,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,delta_24h,L1_cross_sectional_relative_return,4,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(mark_index_basis_bps,24))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_9ee3816edbffe4,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,delta_24h,L3_liquidity_tier_relative_return,4,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(mark_index_basis_bps,24))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_a2e608b4b20dc6,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,delta_24h,L0_raw_forward_return,8,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(mark_index_basis_bps,24))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_467c4d22546fb4,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,delta_24h,L1_cross_sectional_relative_return,8,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(mark_index_basis_bps,24))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_de421a1502ceb3,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,delta_24h,L3_liquidity_tier_relative_return,8,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(mark_index_basis_bps,24))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
core25e_S0_positioning_price_basis_0d648d12b4fb87,S0_positioning_price_basis,top_long_short_position_ratio_last,delta_4h,Sub,mark_index_basis_bps,delta_24h,L0_raw_forward_return,24,"Sub(Delta(top_long_short_position_ratio_last,4),Delta(mark_index_basis_bps,24))",targeted_lane_horizon_repair_blueprint,A7FF-CORE25E
