cluster_key,family_id,motif,operator,primary_field,partner_field,clue_count,best_quality_score,best_ic,median_control_ratio,best_clean_label_count
F1a_aggtrades_flow_microstructure|flow_x_dislocation|TSRank|agg_large_notional_ratio_100k_plus|premium_index_bps,F1a_aggtrades_flow_microstructure,flow_x_dislocation,TSRank,agg_large_notional_ratio_100k_plus,premium_index_bps,1,97.3944109236436,0.0330340587256734,0.1817989897847456,9
F1a_aggtrades_flow_microstructure|flow_x_dislocation|TSRank|agg_large_notional_ratio_100k_plus|agg_price_range_bps,F1a_aggtrades_flow_microstructure,flow_x_dislocation,TSRank,agg_large_notional_ratio_100k_plus,agg_price_range_bps,1,97.05796767714213,0.0320522815529403,0.2294520956303805,9
F1a_aggtrades_flow_microstructure|flow_reversal|WinsorZ|agg_signed_aggressor_notional|mark_index_basis_bps,F1a_aggtrades_flow_microstructure,flow_reversal,WinsorZ,agg_signed_aggressor_notional,mark_index_basis_bps,1,96.9855279982777,0.0217792734289363,0.038479868923185,9
F1a_aggtrades_flow_microstructure|flow_reversal|TSRank|agg_max_trade_notional|mark_index_basis_bps,F1a_aggtrades_flow_microstructure,flow_reversal,TSRank,agg_max_trade_notional,mark_index_basis_bps,1,96.97428184759713,0.0224851944211825,0.0548475189042261,9
F1a_aggtrades_flow_microstructure|flow_reversal|TSRank|agg_signed_aggressor_notional|mark_index_basis_bps,F1a_aggtrades_flow_microstructure,flow_reversal,TSRank,agg_signed_aggressor_notional,mark_index_basis_bps,1,96.9035615551644,0.022062135563196,0.0605304002310376,9
F1a_aggtrades_flow_microstructure|flow_x_low_turnover|Delta|agg_large_notional_ratio_100k_plus|premium_index_bps,F1a_aggtrades_flow_microstructure,flow_x_low_turnover,Delta,agg_large_notional_ratio_100k_plus,premium_index_bps,1,96.47888916662272,0.0172382524956857,0.048987216589168,9
F1a_aggtrades_flow_microstructure|flow_reversal|ZScore|agg_large_notional_ratio_100k_plus|premium_index_bps,F1a_aggtrades_flow_microstructure,flow_reversal,ZScore,agg_large_notional_ratio_100k_plus,premium_index_bps,1,96.43371123525546,0.0338372476348253,0.390002705645414,9
F1a_aggtrades_flow_microstructure|flow_x_low_turnover|TSRank|agg_signed_aggressor_notional|premium_index_bps,F1a_aggtrades_flow_microstructure,flow_x_low_turnover,TSRank,agg_signed_aggressor_notional,premium_index_bps,1,96.11996827280934,0.0203866820630545,0.1837399866992194,9
F1b_taker_flow_market_panel|taker_flow_x_liquidity|WinsorZ|trade_volume|trade_quote_volume,F1b_taker_flow_market_panel,taker_flow_x_liquidity,WinsorZ,trade_volume,trade_quote_volume,1,96.11776029511726,0.0398347068334387,0.5731420776453197,9
F1b_taker_flow_market_panel|taker_flow_x_basis|Delta|trade_volume|funding_rate,F1b_taker_flow_market_panel,taker_flow_x_basis,Delta,trade_volume,funding_rate,1,95.79509363673947,0.0188396428632036,0.2177741299161798,9
F2a_basis_funding_independent|basis_delta_x_funding|Delta|mark_index_basis_bps|trade_volume,F2a_basis_funding_independent,basis_delta_x_funding,Delta,mark_index_basis_bps,trade_volume,1,95.35472646834728,0.0051162255990091,0.031379218310726,9
