candidate_id,dataset,family_id,packet_rows,timestamp_count,symbol_count,long_rows,short_rows,mean_abs_weight,max_abs_weight
a7ffcore33_000,top498_replay_v2,F1b_taker_flow_market_panel,3118,48,489,1559,1559,0.023284158,0.025
a7ffcore33_001,top498_replay_v2,F1b_taker_flow_market_panel,18,9,15,9,9,0.025,0.025
a7ffcore33_002,top498_replay_v2,F2a_basis_funding_independent,18,9,17,9,9,0.025,0.025
a7ffcore33_003,top498_replay_v2,F2a_basis_funding_independent,3114,48,467,1557,1557,0.023298012,0.025
a7ffcore33_004,top498_replay_v2,F2a_basis_funding_independent,18,9,18,9,9,0.025,0.025
a7ffcore33_005,top498_replay_v2,F2a_basis_funding_independent,3108,48,482,1554,1554,0.023294726,0.025
a7ffcore33_006,top498_replay_v2,F1b_taker_flow_market_panel,3108,48,399,1554,1554,0.023294726,0.025
a7ffcore33_007,core12_aggtrades_all_features,F1a_aggtrades_flow_microstructure,96,48,5,48,48,0.025000004,0.025
a7ffcore33_008,core12_aggtrades_all_features,F1a_aggtrades_flow_microstructure,96,48,5,48,48,0.025000004,0.025
a7ffcore33_009,top498_replay_v2,F2a_basis_funding_independent,28,14,20,14,14,0.024999997,0.025
a7ffcore33_010,top498_replay_v2,F2a_basis_funding_independent,14,7,14,7,7,0.025000002,0.025
a7ffcore33_011,top498_replay_v2,F2a_basis_funding_independent,3116,48,488,1558,1558,0.023283057,0.025
a7ffcore33_012,top498_replay_v2,F1b_taker_flow_market_panel,3116,48,483,1558,1558,0.023283057,0.025
a7ffcore33_013,top498_replay_v2,F2a_basis_funding_independent,3114,48,466,1557,1557,0.023298012,0.025
a7ffcore33_014,top498_replay_v2,F1b_taker_flow_market_panel,14,7,12,7,7,0.025000002,0.025
a7ffcore33_015,core12_aggtrades_all_features,F1a_aggtrades_flow_microstructure,96,48,5,48,48,0.025000004,0.025
a7ffcore33_016,core12_aggtrades_all_features,F1a_aggtrades_flow_microstructure,96,48,5,48,48,0.025000004,0.025
a7ffcore33_017,core12_aggtrades_all_features,F1a_aggtrades_flow_microstructure,96,48,5,48,48,0.025000004,0.025
a7ffcore33_018,core12_aggtrades_all_features,F1a_aggtrades_flow_microstructure,96,48,5,48,48,0.025000004,0.025
a7ffcore33_019,top498_replay_v2,F1b_taker_flow_market_panel,24,12,19,12,12,0.025,0.025
a7ffcore33_020,core12_aggtrades_all_features,F1a_aggtrades_flow_microstructure,96,48,5,48,48,0.025000004,0.025
