seed_id,lane_id,field_primary,field_partner,semantic_type_primary,semantic_type_partner,semantic_pair,operator,operator_origin,window_h,expression,compiler_role,non_l7_evidence,operator_null_margin,role_gate_status,reject_reason,candidate_status,family_cap_status,motif_cap_status
a7ffcore48se_0000,N3_control_repair_seed,index_close,,basis_premium_like,,basis_premium_like,AbsDelta,repaired_native_proxy,4,"Abs(Delta(index_close,4))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0001,N0_single_field_operator_seed,mark_trade_basis_bps,,basis_premium_like,,basis_premium_like,CSRank,native,4,CSRank(mark_trade_basis_bps),regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0002,N0_single_field_operator_seed,mark_trade_basis_bps,,basis_premium_like,,basis_premium_like,Delta,native,4,"Delta(mark_trade_basis_bps,4)",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0003,N0_single_field_operator_seed,index_close,,basis_premium_like,,basis_premium_like,Identity,native,4,ZScore(index_close),regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0004,N3_control_repair_seed,index_close,,basis_premium_like,,basis_premium_like,SignedRankDelta,repaired_native_proxy,4,"CSRank(Delta(index_close,4))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0005,N3_control_repair_seed,index_close,,basis_premium_like,,basis_premium_like,SpreadShortLong,repaired_native_proxy,4,"Sub(ZScore(Mean(index_close,4)),ZScore(Mean(index_close,16)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0006,N3_control_repair_seed,index_close,,basis_premium_like,,basis_premium_like,WinsorZ,repaired_native_proxy,4,"Clip(ZScore(Delta(index_close,4)),-3,3)",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0007,N1_role_compatible_pair_seed,index_close,mark_index_basis_bps,basis_premium_like,basis_premium_like,basis_premium_like|basis_premium_like,AbsDelta,repaired_native_proxy,4,"Mul(Abs(Delta(index_close,4)),Sign(Delta(mark_index_basis_bps,4)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0008,N1_role_compatible_pair_seed,mark_trade_basis_bps,premium_close_bps,basis_premium_like,basis_premium_like,basis_premium_like|basis_premium_like,CSRank,native,4,"Mul(CSRank(mark_trade_basis_bps),Sign(Delta(premium_close_bps,4)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0009,N1_role_compatible_pair_seed,mark_trade_basis_bps,premium_close_bps,basis_premium_like,basis_premium_like,basis_premium_like|basis_premium_like,Delta,native,4,"Mul(Delta(mark_trade_basis_bps,4),ZScore(Delta(premium_close_bps,4)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
