seed_id,semantic_pair,operator,operator_origin,expression,materialization_status,rows,non_null_rows,finite_rows,nan_rows,inf_rows,active_rows,non_null_ratio,active_ratio,std,stale_signal,sign_flip_signal,time_shuffle_signal,symbol_shuffle_signal,stale_signal_corr,sign_flip_signal_corr,time_shuffle_signal_corr,symbol_shuffle_signal_corr,abs_stale_corr,abs_time_shuffle_corr,abs_symbol_shuffle_corr,active_ratio_num,stale_risk_tier
a7ffcore48se_1411,basis_premium_like|volatility_like,Identity,native,"Mul(ZScore(index_close),Sign(Delta(realized_vol_24h,4)))",pass,6949596,6632714,6632714,316882,0,6628947,0.954403,0.953861,0.9988217308,6632714,6632714,6632714,6612306,0.6281056532144156,-1.0,-0.2491518469670958,-0.001141339370219,0.6281056532144156,0.2491518469670958,0.001141339370219,0.953861,medium
a7ffcore48se_0603,basis_premium_like|volatility_like,SignedRankDelta,repaired_native_proxy,"Mul(CSRank(Delta(index_close,24)),Sign(Delta(realized_vol_168h,24)))",pass,6949596,6605392,6605392,344204,0,6602224,0.950471,0.950016,0.5785984532,6605392,6605392,6605392,6585040,0.8859017561483671,-1.0,0.1754533484850563,0.2403080945090466,0.8859017561483671,0.1754533484850563,0.2403080945090466,0.950016,high
a7ffcore48se_1412,basis_premium_like|volatility_like,SignedRankDelta,repaired_native_proxy,"Mul(CSRank(Delta(index_close,4)),Sign(Delta(realized_vol_24h,4)))",pass,6949596,6632620,6632620,316976,0,6628853,0.954389,0.953847,0.5784477358,6632620,6632620,6632620,6612212,0.5664558576708926,-1.0,-0.2126981283935283,0.2136565683014643,0.5664558576708926,0.2126981283935283,0.2136565683014643,0.953847,medium
a7ffcore48se_1670,basis_premium_like|volatility_like,SpreadShortLong,repaired_native_proxy,"Sub(ZScore(Mean(index_close,8)),ZScore(Mean(realized_vol_24h,32)))",pass,6949596,6627441,6627441,322155,0,6627441,0.953644,0.953644,1.4592853751,6627441,6627441,6627441,6607044,0.9997025908623968,-1.0,0.8995856310439299,0.006856747996757,0.9997025908623968,0.8995856310439299,0.006856747996757,0.953644,high
a7ffcore48se_0605,basis_premium_like|volatility_like,WinsorZ,repaired_native_proxy,"Mul(Clip(ZScore(Delta(index_close,24)),-3,3),Sign(Delta(realized_vol_168h,24)))",pass,6949596,6605392,6605392,344204,0,6602224,0.950471,0.950016,0.2394058671,6605392,6605392,6605392,6585040,0.7663578757738235,-1.0,-0.0179543246221677,0.0082743678753057,0.7663578757738235,0.0179543246221677,0.0082743678753057,0.950016,high
a7ffcore48se_1414,basis_premium_like|volatility_like,WinsorZ,repaired_native_proxy,"Mul(Clip(ZScore(Delta(index_close,4)),-3,3),Sign(Delta(realized_vol_24h,4)))",pass,6949596,6632620,6632620,316976,0,6628853,0.954389,0.953847,0.2421160754,6632620,6632620,6632620,6612212,0.3708248459122377,-1.0,-0.0069534731849354,0.0077794353268165,0.3708248459122377,0.0069534731849354,0.0077794353268165,0.953847,medium
a7ffcore48se_1415,funding_like,AbsDelta,repaired_native_proxy,"Abs(Delta(age_x_funding_abs,4))",pass,6949596,3874619,3874619,3074977,0,3874619,0.557532,0.557532,0.0001119067,3874619,3874619,3874619,3871706,0.9224110433481126,-1.0,0.3063561522217193,0.0139642294138766,0.9224110433481126,0.3063561522217193,0.0139642294138766,0.557532,high
a7ffcore48se_0335,funding_like,AbsDelta,repaired_native_proxy,"Abs(Delta(funding_rate,8))",pass,6949596,1365387,1365387,5584209,0,732962,0.19647,0.105468,0.0006587093,1365387,1365387,1365387,1362345,0.7378316867532818,-1.0,0.2468053912905252,0.0128963423493978,0.7378316867532818,0.2468053912905252,0.0128963423493978,0.105468,medium
a7ffcore48se_0878,funding_like,CSRank,native,CSRank(funding_rate_abs_168h),pass,6949596,3876151,3876151,3073445,0,3876151,0.557752,0.557752,0.2881880993,3876151,3876151,3876151,3873234,0.9982834574765964,-1.0,0.9492406624265814,-0.0009073334629069,0.9982834574765964,0.9492406624265814,0.0009073334629069,0.557752,high
a7ffcore48se_0064,funding_like,CSRank,native,CSRank(funding_rate),pass,6949596,1367167,1367167,5582429,0,1367167,0.196726,0.196726,0.2663132255,1367167,1367167,1367167,1364117,0.4668827524375004,-0.9999999999999998,0.5386340838149806,0.0072955376898518,0.4668827524375004,0.5386340838149806,0.0072955376898518,0.196726,medium
