field_left,field_right,abs_corr,corr,semantic_left,semantic_right
premium_close,premium_close_bps,1.0,1.0,basis_premium_like,basis_premium_like
mark_close,trade_close,0.9999999948632716,0.9999999948632716,price_like,price_like
history_length_hours,listing_age_days,0.9999999804130163,0.9999999804130163,state_or_taxonomy,state_or_taxonomy
index_close,mark_close,0.999999939944648,0.999999939944648,price_like,price_like
index_close,trade_close,0.9999999284408116,0.9999999284408116,price_like,price_like
mark_close,trade_high,0.9999932714519533,0.9999932714519533,price_like,price_like
trade_close,trade_high,0.9999932689853844,0.9999932689853844,price_like,price_like
index_close,trade_high,0.9999931171688111,0.9999931171688111,price_like,price_like
index_close,trade_low,0.9999925685359896,0.9999925685359896,price_like,price_like
mark_close,trade_low,0.9999924707366595,0.9999924707366595,price_like,price_like
trade_close,trade_low,0.9999924696576189,0.9999924696576189,price_like,price_like
trade_high,trade_open,0.9999924644358826,0.9999924644358826,price_like,price_like
trade_low,trade_open,0.999990134516257,0.999990134516257,price_like,price_like
mark_close,trade_open,0.999987850163322,0.999987850163322,price_like,price_like
trade_close,trade_open,0.9999878449910677,0.9999878449910677,price_like,price_like
index_close,trade_open,0.9999877981114865,0.9999877981114865,price_like,price_like
trade_high,trade_low,0.9999848932728463,0.9999848932728463,price_like,price_like
open_interest_last,open_interest_mean,0.9998664573048546,0.9998664573048546,positioning_like,positioning_like
global_long_short_account_ratio_last,global_long_short_account_ratio_mean,0.9991244128819567,0.9991244128819567,positioning_like,positioning_like
taker_buy_quote_volume,trade_quote_volume,0.9966785461969647,0.9966785461969647,liquidity_like,liquidity_like
listing_age_days,sqrt_listing_age_days,0.9766768067041482,0.9766768067041482,state_or_taxonomy,state_or_taxonomy
history_length_hours,sqrt_listing_age_days,0.9766759055180515,0.9766759055180515,state_or_taxonomy,state_or_taxonomy
age_x_funding_abs,funding_rate_abs_168h,0.9502886446417778,0.9502886446417778,funding_like,funding_like
