blueprint_id,expression,a7input_queue,semantic_pair,motif,skeleton_key,production_key,row_count,label_family_count,horizon_count,dominant_decision,dominant_decision_share,median_control_ratio,min_control_ratio,median_positive_split_count,max_positive_split_count,max_recent_spread,max_cost5_recent,best_label_family,best_label_horizon_h,best_decision
a7ff24r_09dc2d7e51641cb0,"Sub(Delta(mark_index_basis_bps,8),premium_close_bps)",ordinary_alpha,basis_premium_like|basis_premium_like,sub,skel_0994b3a36a4d53ba,prod_eecde8a7795a15d3,16,4,4,HOLD_CORE56_CONTROL_DOMINATED,0.6875,1.0,1.0,3.0,3,0.2917690857451862,0.2907690857451862,L5_vol_adjusted,24,HOLD_CORE56_CONTROL_DOMINATED
a7ff24r_2fff7c49f91def0b,"Sub(CSRank(mark_index_basis_bps),CSRank(Delta(premium_close_bps,4)))",ordinary_alpha,basis_premium_like|basis_premium_like,spread_rank,skel_1a1b3fb29dff7328,prod_bfc7360246cdf842,16,4,4,HOLD_CORE56_PREMAY_UNSTABLE,0.8125,2.046748953981047,1.2120952088762114,1.5,3,0.2837573929711332,0.2827573929711332,L5_vol_adjusted,24,HOLD_CORE56_CONTROL_DOMINATED
a7ff24r_038ab74762617034,"Mul(mark_index_basis_bps,premium_close_bps)",ordinary_alpha,basis_premium_like|basis_premium_like,mul,skel_337820bc5afcf6cc,prod_9ccf4d911d864d56,16,4,4,HOLD_CORE56_PREMAY_UNSTABLE,0.6875,2.2048101095458783,1.2050475264921388,2.0,3,0.1940201605225453,0.1930201605225453,L5_vol_adjusted,24,HOLD_CORE56_PREMAY_UNSTABLE
a7ff24r_8d906801b8dec4c0,"Mul(mark_index_basis_bps,Mean(premium_close_bps,2))",interaction_alpha,basis_premium_like|basis_premium_like,mul,skel_f8484b844efd270f,prod_558b2d34c31d89f0,16,4,4,HOLD_CORE56_PREMAY_UNSTABLE,0.8125,3.072867205097332,1.2613757988793486,1.0,3,0.1888735758735223,0.1878735758735223,L5_vol_adjusted,24,HOLD_CORE56_PREMAY_UNSTABLE
a7ff24r_1bf5a62b347b3926,"Sub(CSRank(mark_low),CSRank(trade_close))",ordinary_alpha,basis_premium_like|price_like,spread_rank,skel_293cae94cfd91548,prod_3babad094a56d75e,16,4,4,HOLD_CORE56_CONTROL_DOMINATED,0.625,1.8068418327279547,1.0276543858257323,3.0,3,0.1250696178060069,0.1240696178060069,L5_vol_adjusted,24,HOLD_CORE56_PREMAY_UNSTABLE
a7ff24r_1e19db32c95dfcc4,"Mean(Mul(global_long_short_account_ratio_last,Delta(mark_trade_basis_bps,1)),4)",interaction_alpha,basis_premium_like|positioning_like,smooth_mul,skel_644ba0ee0d0e38ee,prod_964a800b02e24075,16,4,4,HOLD_CORE56_CONTROL_DOMINATED,0.75,1.0,1.0,3.0,3,0.1176433597956052,0.1166433597956052,L5_vol_adjusted,24,HOLD_CORE56_CONTROL_DOMINATED
a7ff24r_2353c3ae1292b858,"Sub(CSRank(mark_index_basis_bps),CSRank(ZScore(Mean(premium_close_bps,4))))",ordinary_alpha,basis_premium_like|basis_premium_like,spread_rank,skel_a923757a8885923c,prod_9e6ce5cac8b1075e,16,4,4,HOLD_CORE56_CONTROL_DOMINATED,0.6875,1.0050351674046496,1.001157492450954,3.0,3,0.0985627398869479,0.0975627398869479,L5_vol_adjusted,8,HOLD_CORE56_CONTROL_DOMINATED
a7ff24r_16601b09f488fcdc,"Sub(CSRank(mark_index_basis_bps),CSRank(Mean(premium_close_bps,4)))",ordinary_alpha,basis_premium_like|basis_premium_like,spread_rank,skel_1a1b3fb29dff7328,prod_d32b5f84c38cca01,16,4,4,HOLD_CORE56_CONTROL_DOMINATED,0.6875,1.0050351674046496,1.001157492450954,3.0,3,0.0985627398869479,0.0975627398869479,L5_vol_adjusted,8,HOLD_CORE56_CONTROL_DOMINATED
a7ff24r_146a079f1808397b,"SafeDiv(mark_trade_basis_bps,Abs(open_interest_last))",ordinary_alpha,basis_premium_like|positioning_like,safe_div_abs,skel_d9d4f69744bac825,prod_058e03a2fb7f25cc,16,4,4,HOLD_CORE56_CONTROL_DOMINATED,0.5625,1.3039080946001844,1.001565478015126,3.0,3,0.0979444642224116,0.0969444642224116,L5_vol_adjusted,1,HOLD_CORE56_CONTROL_DOMINATED
a7ff24r_75f3e9364180854b,"Mul(Mean(realized_vol_168h,4),trade_return_1h)",interaction_alpha,price_like|volatility_like,mul,skel_0994b3a36a4d53ba,prod_a5ccd22966585b9c,16,4,4,HOLD_CORE56_PREMAY_UNSTABLE,0.625,1.285164138118461,1.0017689765943565,2.0,3,0.0919535783158294,0.0909535783158294,L5_vol_adjusted,24,HOLD_CORE56_PREMAY_UNSTABLE
