semantic_pair,decision,row_count,candidate_count,median_control_ratio,median_positive_split_count,max_recent_spread,median_cost5_recent
basis_premium_like|price_like,HOLD_CORE56_PREMAY_UNSTABLE,369,32,1.6390153588357732,1.0,0.1250696178060069,-0.0021383843915059
basis_premium_like|price_like,HOLD_CORE56_CONTROL_DOMINATED,141,29,1.0094058614421282,3.0,0.0862278162492613,-0.0004852617213561
basis_premium_like|volatility_like,HOLD_CORE56_PREMAY_UNSTABLE,291,27,1.6638184301985168,0.0,0.0076118392583402,-0.0022942218625288
basis_premium_like|volatility_like,HOLD_CORE56_CONTROL_DOMINATED,136,27,1.0005092964972206,3.0,0.0791921725049335,-0.00042821817243855
basis_premium_like|basis_premium_like,HOLD_CORE56_PREMAY_UNSTABLE,226,24,1.851015958928404,0.0,0.1940201605225453,-0.0027314966950553
basis_premium_like|basis_premium_like,HOLD_CORE56_CONTROL_DOMINATED,146,24,1.005566012765914,3.0,0.2917690857451862,0.0003256055266463
price_like|volatility_like,HOLD_CORE56_PREMAY_UNSTABLE,95,10,1.5101344267928394,1.0,0.0919535783158294,-0.0002234408777554
price_like|volatility_like,HOLD_CORE56_CONTROL_DOMINATED,62,10,1.2240819956047364,3.0,0.0660758235855176,-0.000601298547375
basis_premium_like,HOLD_CORE56_PREMAY_UNSTABLE,72,8,1.7267959305439402,0.0,0.0503386580454744,-0.00163444290260825
basis_premium_like,HOLD_CORE56_CONTROL_DOMINATED,56,8,1.0,3.0,0.079471758146865,-0.00029934032329535
price_like,HOLD_CORE56_PREMAY_UNSTABLE,61,6,2.760863494033404,0.0,0.0158283230639878,-0.0011197760866452
price_like,HOLD_CORE56_CONTROL_DOMINATED,35,5,1.036179293499206,3.0,0.0493930202692138,-0.0006382689197555
basis_premium_like|positioning_like,HOLD_CORE56_CONTROL_DOMINATED,36,4,1.0037733900767511,3.0,0.1176433597956052,-9.754220971154842e-06
basis_premium_like|positioning_like,HOLD_CORE56_PREMAY_UNSTABLE,27,4,3.813203328446427,0.0,0.0480426129565952,-0.0015547676533425
basis_premium_like|basis_premium_like,HOLD_CORE56_COST5_FRAGILE,12,4,0.9994588144866764,3.0,0.0008767125159472,-0.00025738278989834997
basis_premium_like|volatility_like,HOLD_CORE56_STALE_LAG_FRAGILE,5,3,0.9971883891506153,3.0,0.0193260817434551,0.0109446712667845
liquidity_like|volatility_like,HOLD_CORE56_PREMAY_UNSTABLE,32,2,1.6864929577293797,1.0,0.0398795515975304,-0.0004252745397192
basis_premium_like|price_like,HOLD_CORE56_STALE_LAG_FRAGILE,2,2,0.9896991070567944,3.0,0.022887912837144,0.0194973782308699
volatility_like,HOLD_CORE56_PREMAY_UNSTABLE,16,1,1.4190788875785074,1.0,0.0135552225603145,-0.0012136490254892
price_like|volatility_like,HOLD_CORE56_COST5_FRAGILE,2,1,0.9999358780510665,3.0,0.0004702090097987,-0.0005297909910480501
basis_premium_like|positioning_like,HOLD_CORE56_STALE_LAG_FRAGILE,1,1,0.9995448162663296,3.0,0.0732223550271409,0.0722223550271409
price_like|volatility_like,HOLD_CORE56_STALE_LAG_FRAGILE,1,1,0.9996151970041204,3.0,0.0146652966588531,0.0136652966588531
