label_family,label_horizon_h,row_count,train_2024_obs_median,train_2024_obs_positive_rows,validation_2025H1_obs_median,validation_2025H1_obs_positive_rows,test_2025H2_obs_median,test_2025H2_obs_positive_rows,recent_oos_2026JanApr_obs_median,recent_oos_2026JanApr_obs_positive_rows,premay_label_observation_status
L3_liquidity_relative,1,114,0.0,0,0.0,0,0.0,0,0.0,0,LABEL_OBS_EMPTY
L3_liquidity_relative,4,114,0.0,0,0.0,0,0.0,0,0.0,0,LABEL_OBS_EMPTY
L3_liquidity_relative,8,114,0.0,0,0.0,0,0.0,0,0.0,0,LABEL_OBS_EMPTY
L3_liquidity_relative,24,114,0.0,0,0.0,0,0.0,0,0.0,0,LABEL_OBS_EMPTY
L0_raw,1,114,8773.0,114,4344.0,114,4416.0,114,2880.0,114,LABEL_OBS_OK
L0_raw,4,114,8773.0,114,4344.0,114,4416.0,114,2880.0,114,LABEL_OBS_OK
L0_raw,8,114,8773.0,114,4344.0,114,4416.0,114,2880.0,114,LABEL_OBS_OK
L0_raw,24,114,8773.0,114,4344.0,114,4416.0,114,2880.0,114,LABEL_OBS_OK
L1_xs,1,114,8773.0,114,4344.0,114,4416.0,114,2880.0,114,LABEL_OBS_OK
L1_xs,4,114,8773.0,114,4344.0,114,4416.0,114,2880.0,114,LABEL_OBS_OK
L1_xs,8,114,8773.0,114,4344.0,114,4416.0,114,2880.0,114,LABEL_OBS_OK
L1_xs,24,114,8773.0,114,4344.0,114,4416.0,114,2880.0,114,LABEL_OBS_OK
L5_vol_adjusted,1,114,8736.0,114,4344.0,114,4416.0,114,2880.0,114,LABEL_OBS_OK
L5_vol_adjusted,4,114,8736.0,114,4344.0,114,4416.0,114,2880.0,114,LABEL_OBS_OK
L5_vol_adjusted,8,114,8736.0,114,4344.0,114,4416.0,114,2880.0,114,LABEL_OBS_OK
L5_vol_adjusted,24,114,8736.0,114,4344.0,114,4416.0,114,2880.0,114,LABEL_OBS_OK
