label_family,label_horizon_h,rows,unique_blueprints,premay_unstable_rows,control_dominated_rows,rank_label_rows,non_l7_rows,median_control_ratio,median_cost10,cost10_positive_rate,premay_all_positive_rate,robust_ok_rate,lag_ok_rate,premay_unstable_rate,control_dominated_rate,non_l7_rate
L5_vol_adjusted_return,1,647,647,354,249,0,2,3.29346072794423,0.0136793451421061,0.6089644513137558,0.4528593508500773,0.4528593508500773,0.4327666151468315,0.5471406491499228,0.3848531684698609,0.0030911901081916537
L0_raw_forward_return,4,647,647,513,125,0,1,6.672809632322941,-0.0021246351474224,0.0030911901081916537,0.2071097372488408,0.19783616692426584,0.3616692426584235,0.7928902627511591,0.19319938176197837,0.0015455950540958269
L0_raw_forward_return,24,647,647,503,143,0,1,16.44173421404984,-0.0023159146425649,0.2426584234930448,0.22256568778979907,0.23647604327666152,0.4559505409582689,0.7774343122102009,0.22102009273570325,0.0015455950540958269
L1_cross_sectional_relative_return,1,647,647,392,219,0,1,3.771403096480203,-0.0019037589231997,0.0,0.3941267387944359,0.3941267387944359,0.45440494590417313,0.6058732612055642,0.3384853168469861,0.0015455950540958269
L3_liquidity_tier_relative_return,1,647,647,384,227,0,1,3.5140275989426883,-0.0018864338488592,0.0,0.40649149922720246,0.40649149922720246,0.437403400309119,0.5935085007727975,0.3508500772797527,0.0015455950540958269
L7_ranked_future_return,4,647,647,296,228,110,0,2.218850638766212,0.010967246663563,0.714064914992272,0.5425038639876353,0.5425038639876353,0.7295208655332303,0.4574961360123648,0.35239567233384855,0.0
L7_ranked_future_return,1,647,647,296,174,100,0,1.7914197127654778,0.0077800202931953,0.6939721792890263,0.5425038639876353,0.5425038639876353,0.6321483771251932,0.4574961360123648,0.2689335394126739,0.0
L7_ranked_future_return,8,647,647,255,289,99,0,2.1807103195537443,0.013750331616729,0.7418856259659969,0.6058732612055642,0.6089644513137558,0.7573415765069552,0.3941267387944359,0.446676970633694,0.0
L7_ranked_future_return,24,647,647,239,375,32,0,4.924150569360566,0.015906888569604,0.7094281298299846,0.6306027820710973,0.6058732612055642,0.7094281298299846,0.3693972179289026,0.5795981452859351,0.0
L0_raw_forward_return,1,647,647,392,219,0,0,3.623440519928401,-0.0019037589231997,0.0,0.3941267387944359,0.3941267387944359,0.45440494590417313,0.6058732612055642,0.3384853168469861,0.0
L0_raw_forward_return,8,647,647,528,119,0,0,10.440049109422564,-0.0021744705598676,0.03554868624420402,0.1839258114374034,0.16228748068006182,0.38330757341576505,0.8160741885625966,0.1839258114374034,0.0
L1_cross_sectional_relative_return,4,647,647,513,128,0,0,6.672547832369832,-0.0021246351474224,0.0030911901081916537,0.2071097372488408,0.19783616692426584,0.3616692426584235,0.7928902627511591,0.19783616692426584,0.0
L1_cross_sectional_relative_return,8,647,647,528,119,0,0,10.440049109422564,-0.0021744705598676,0.03554868624420402,0.1839258114374034,0.16228748068006182,0.38330757341576505,0.8160741885625966,0.1839258114374034,0.0
L1_cross_sectional_relative_return,24,647,647,503,144,0,0,16.19243026010066,-0.0023159146425649,0.2426584234930448,0.22256568778979907,0.23647604327666152,0.4559505409582689,0.7774343122102009,0.22256568778979907,0.0
L3_liquidity_tier_relative_return,4,647,647,510,130,0,0,7.524406947607245,-0.0020916597120584,0.0015455950540958269,0.2117465224111283,0.1839258114374034,0.34930448222565685,0.7882534775888718,0.2009273570324575,0.0
L3_liquidity_tier_relative_return,8,647,647,534,112,0,0,11.553242387725453,-0.0022146219373245,0.04482225656877898,0.17465224111282843,0.1437403400309119,0.4126738794435858,0.8253477588871716,0.1731066460587326,0.0
L3_liquidity_tier_relative_return,24,647,647,470,177,0,0,16.024584290334374,-0.0017408515160682,0.26584234930448225,0.2735703245749614,0.250386398763524,0.5394126738794436,0.7264296754250387,0.2735703245749614,0.0
L5_vol_adjusted_return,4,647,647,503,138,0,0,6.164951792841584,-0.0175393256507539,0.4312210200927357,0.22256568778979907,0.21483771251931993,0.31375579598145287,0.7774343122102009,0.2132921174652241,0.0
L5_vol_adjusted_return,8,647,647,526,121,0,0,9.252752837715098,-0.0183974518828176,0.4312210200927357,0.18701700154559506,0.19629057187017002,0.40030911901081917,0.8129829984544049,0.18701700154559506,0.0
L5_vol_adjusted_return,24,647,647,587,60,0,0,16.41761491623014,-0.0626089478076083,0.4095826893353941,0.09273570324574962,0.08964451313755796,0.4312210200927357,0.9072642967542504,0.09273570324574962,0.0
