semantic_pair,queue_rows,activity_ok_rows,inactive_rows,eval_fail_rows,median_finite_share,median_nonzero_share,median_std_value,activity_ok_rate
basis_premium_like|funding_like,360,0,360,0,0.0006703054677774,0.9581056466302368,0.0001454430860253,0.0
funding_like|positioning_like,13,0,13,0,0.0032647467202911,0.9007155635062611,0.0010018093600559499,0.0
basis_premium_like|basis_premium_like,200,132,68,0,0.9962654409652398,0.9441900749701323,16.119892975604888,0.66
basis_premium_like|volatility_like,213,167,46,0,0.8253375466819879,0.9888954060943111,0.4132402800007672,0.784037558685446
basis_premium_like|price_like,282,230,52,0,0.9956908934214306,0.9879385963551817,1.4631116715454797,0.8156028368794326
price_like|volatility_like,51,43,8,0,0.8253375466819879,0.9879481378350156,0.0264014919782457,0.8431372549019608
volatility_like|volatility_like,26,22,4,0,0.8256248204538925,0.9781246369234344,0.028554641862871252,0.8461538461538461
basis_premium_like,38,36,2,0,0.9933927032461936,1.0,0.9947780321927768,0.9473684210526315
volatility_like,14,14,0,0,0.8273484630853203,1.0,0.7749395355402948,1.0
price_like,3,3,0,0,0.9994254524561909,1.0,0.2886297318846671,1.0
