semantic_pair,label_family,motif,rows,unique_blueprints,median_score_no_may,median_control_ratio,median_cost10,non_l7_rows
basis_premium_like|volatility_like,L7_ranked_future_return,spread_rank,6,6,71.51969247618311,0.7955607362444943,0.0653728537470006,0
basis_premium_like|price_like,L7_ranked_future_return,mul,4,4,41.778022253189604,0.5056533652097335,0.0351673366221458,0
basis_premium_like|price_like,L7_ranked_future_return,spread_rank,4,4,40.92010181099327,0.6196953175513796,0.034519184820121895,0
basis_premium_like|price_like,L7_ranked_future_return,smooth_mul,3,3,45.687545480991446,0.5155079938316877,0.0392030534748231,0
basis_premium_like|basis_premium_like,L7_ranked_future_return,smooth_mul,3,3,27.126481677148163,0.7576681193799305,0.020884149796528,0
price_like,L7_ranked_future_return,single,3,3,75.55659464201096,0.2543170677185504,0.0688109117097295,0
basis_premium_like|basis_premium_like,L7_ranked_future_return,mul,2,2,51.16792143837012,0.4571874749673728,0.0446251089133374,0
basis_premium_like|volatility_like,L7_ranked_future_return,smooth_mul,2,2,64.40718159739092,0.9158851264217192,0.05832306672381255,0
volatility_like,L7_ranked_future_return,single,2,2,39.46068226051415,0.9095029890608731,0.033370185249574955,0
basis_premium_like|basis_premium_like,L7_ranked_future_return,spread_rank,2,2,26.492729998640872,0.4940448288942543,0.01998677482753505,0
volatility_like|volatility_like,L7_ranked_future_return,smooth_mul,2,2,71.49811438131303,0.9143621996574076,0.06541247658097041,0
basis_premium_like|price_like,L5_vol_adjusted_return,safe_div_abs,1,1,56.79629364666725,0.8422784193165521,0.0496385720659838,1
basis_premium_like,L7_ranked_future_return,single,1,1,23.626391960831192,0.4349863943498333,0.017061378355181,0
basis_premium_like|basis_premium_like,L7_ranked_future_return,sub,1,1,13.380073302261104,0.8788640077888658,0.0072589373100499,0
basis_premium_like|volatility_like,L7_ranked_future_return,gated_sign,1,1,45.43974796138013,0.8345783917447093,0.0392743263531248,0
basis_premium_like|volatility_like,L7_ranked_future_return,mul,1,1,60.04336418966126,0.8771840760962324,0.0539205482657575,0
basis_premium_like|price_like,L7_ranked_future_return,gated_sign,1,1,38.03806172314058,0.5919002458773621,0.0316299619690179,0
price_like|volatility_like,L7_ranked_future_return,gated_sign,1,1,37.33430340843015,0.4343310118037081,0.0307686344202338,0
price_like|volatility_like,L7_ranked_future_return,smooth_mul,1,1,11.144407050569972,0.8408444561523264,0.0049852515067222,0
price_like|volatility_like,L7_ranked_future_return,mul,1,1,67.13062113261462,0.2501310190867658,0.0603807521517013,0
volatility_like|volatility_like,L7_ranked_future_return,gated_sign,1,1,40.2741908680028,0.8794980260372742,0.03415368889404,0
volatility_like|volatility_like,L7_ranked_future_return,mul,1,1,106.2007073357214,0.8264185689188658,0.1000271259046402,0
