candidate_id,root_subgraph_id,expression,semantic_bucket,motif_bucket,raw_inputs,status,error,missing_field_count,label_or_may_token,rows,non_null_rows,finite_rows,nan_rows,inf_rows,active_rows,non_null_ratio,active_ratio,std
a7ffcore5_92497c8b1c6eb6b973,sg_e492684e9f3a30d4,"Mul(Delta(ZScore(Mean(trade_count,4)),24),Abs(ZScore(Delta(trade_high,24))))",liquidity_like|volatility_like,liquidity_shock,trade_count;trade_high,ok,,0,False,6949596,6935652,6935652,13944,0,6935652,0.997994,0.997994,2.0387789978
a7ffcore5_00dedf8236dba4df4f,sg_f37264c5a329020f,"Mul(Delta(Delta(trade_count,4),24),Abs(ZScore(ZScore(Mean(trade_high,24)))))",liquidity_like|volatility_like,liquidity_shock,trade_count;trade_high,ok,,0,False,6949596,6935154,6935154,14442,0,6929823,0.997922,0.997155,196989.5807254348
a7ffcore5_65bda23d92a164530b,sg_0eb7c61e9fad92db,"Mul(Delta(Delta(trade_count,24),24),Abs(ZScore(ZScore(Mean(trade_high,24)))))",liquidity_like|volatility_like,liquidity_shock,trade_count;trade_high,ok,,0,False,6949596,6925194,6925194,24402,0,6920377,0.996489,0.995796,268209.5204178346
a7ffcore5_c08d7759433f218ba2,sg_f21160a25e22b050,"Mul(Delta(ZScore(Mean(trade_count,24)),24),Abs(ZScore(Delta(trade_high,24))))",liquidity_like|volatility_like,liquidity_shock,trade_count;trade_high,ok,,0,False,6949596,6925692,6925692,23904,0,6925692,0.99656,0.99656,1.498427952
a7ffcore5_9e12017ad91faf330b,sg_7a90f926ec3905c1,"Mul(Delta(Mean(trade_count,4),24),Abs(ZScore(ZScore(Mean(age_x_volatility,8)))))",liquidity_like|volatility_like,liquidity_shock,age_x_volatility;trade_count,ok,,0,False,6949596,6622908,6622908,326688,0,6618584,0.952992,0.95237,120382.4419639666
a7ffcore5_03861e09c5d91a9e20,sg_941dab423d59b2e1,"Mul(Delta(ZScore(Mean(trade_count,8)),24),Abs(ZScore(Mean(age_x_volatility,4))))",liquidity_like|volatility_like,liquidity_shock,age_x_volatility;trade_count,ok,,0,False,6949596,6624900,6624900,324696,0,6624900,0.953278,0.953278,2.3145845012
a7ffcore5_e23f976626fe749cd4,sg_ab0b62a209396e78,"Mul(Delta(ZScore(Mean(trade_count,4)),24),Abs(ZScore(Mean(age_x_volatility,8))))",liquidity_like|volatility_like,liquidity_shock,age_x_volatility;trade_count,ok,,0,False,6949596,6622908,6622908,326688,0,6622908,0.952992,0.952992,2.3498397168
a7ffcore5_58ea869c768e2a1fe1,sg_b357e8b3ec6702d8,"Mul(Delta(Mean(trade_count,8),24),Abs(ZScore(ZScore(Mean(age_x_volatility,8)))))",liquidity_like|volatility_like,liquidity_shock,age_x_volatility;trade_count,ok,,0,False,6949596,6622908,6622908,326688,0,6618901,0.952992,0.952415,110221.0966194505
a7ffcore5_9ca17dcb5d93c417c9,sg_c070caca0b4c0665,"Mul(Delta(Mean(trade_count,8),24),Abs(ZScore(ZScore(Mean(age_x_volatility,4)))))",liquidity_like|volatility_like,liquidity_shock,age_x_volatility;trade_count,ok,,0,False,6949596,6624900,6624900,324696,0,6620857,0.953278,0.952697,112685.1878176874
a7ffcore5_9b65a4b8675e85b59b,sg_d28146b5355558a9,"Mul(Delta(ZScore(Mean(trade_count,4)),24),Abs(ZScore(Mean(age_x_volatility,4))))",liquidity_like|volatility_like,liquidity_shock,age_x_volatility;trade_count,ok,,0,False,6949596,6624900,6624900,324696,0,6624900,0.953278,0.953278,2.4183115383
a7ffcore5_733dfaebe870a12a03,sg_e621ea8c81b19dbb,"Mul(Delta(Mean(trade_count,4),24),Abs(ZScore(ZScore(Mean(age_x_volatility,4)))))",liquidity_like|volatility_like,liquidity_shock,age_x_volatility;trade_count,ok,,0,False,6949596,6624900,6624900,324696,0,6620540,0.953278,0.952651,124518.419801965
a7ffcore5_69d40fde096d80d483,sg_efba68bcaac49b15,"Mul(Delta(ZScore(Mean(trade_count,8)),24),Abs(ZScore(Mean(age_x_volatility,8))))",liquidity_like|volatility_like,liquidity_shock,age_x_volatility;trade_count,ok,,0,False,6949596,6622908,6622908,326688,0,6622908,0.952992,0.952992,2.2669668692
