label_id,horizon,clue_rows,candidate_count,semantic_bucket_count,motif_bucket_count,median_control_ratio,max_best_score
L3_liquidity_tier_relative_return,4,114,114,6,6,0.608333077410012,0.0310373254620103
L1_cross_sectional_relative_return,4,101,101,5,5,0.6181251474319983,0.0309446485713209
L1_cross_sectional_relative_return,24,92,92,8,6,0.6604140740816955,0.0133916720303461
L3_liquidity_tier_relative_return,8,88,88,5,7,0.6353132521250644,0.0125914703521535
L5_vol_adjusted_return,8,88,88,7,6,0.6606862560491586,0.6357931301857476
L1_cross_sectional_relative_return,8,85,85,6,6,0.6072852515176023,0.0164626661797098
L3_liquidity_tier_relative_return,24,74,74,6,6,0.675022809085831,0.0141038521671423
L5_vol_adjusted_return,4,69,69,6,6,0.6508836031289535,0.2831628484856004
L3_liquidity_tier_relative_return,1,67,67,6,6,0.624910681438578,0.011498035377073
L1_cross_sectional_relative_return,1,63,63,5,5,0.6872211581984133,0.011985721311834
L5_vol_adjusted_return,24,59,59,7,6,0.7306320077297234,0.955208390070688
L5_vol_adjusted_return,1,42,42,6,6,0.5844215721506072,0.1604186689084786
