info_cluster_id,field_count,tags,semantic_types,fields
ic_000,6,A7INPUT_APPROVED_REDUNDANT_CAP,price_like,index_close|mark_close|trade_close|trade_high|trade_low|trade_open
ic_001,3,A7INPUT_CONDITION_NEUTRALIZER_ONLY,state_or_taxonomy,history_length_hours|listing_age_days|sqrt_listing_age_days
ic_002,2,A7INPUT_RESCUE_SPARSE_EVENT,funding_like,age_x_funding_abs|funding_rate_abs_168h
ic_003,2,A7INPUT_APPROVED_REDUNDANT_CAP,positioning_like,global_long_short_account_ratio_last|global_long_short_account_ratio_mean
ic_004,2,A7INPUT_APPROVED_REDUNDANT_CAP,positioning_like,open_interest_last|open_interest_mean
ic_005,2,A7INPUT_APPROVED_REDUNDANT_CAP,basis_premium_like,premium_close|premium_close_bps
ic_006,2,A7INPUT_APPROVED_REDUNDANT_CAP,liquidity_like,taker_buy_quote_volume|trade_quote_volume
ic_007,1,A7INPUT_CONDITION_NEUTRALIZER_ONLY,state_or_taxonomy,age_percentile_active_universe
ic_008,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,volatility_like,age_x_volatility
ic_009,1,A7INPUT_RESCUE_SPARSE_EVENT,funding_like,funding_rate
ic_010,1,A7INPUT_RESCUE_SPARSE_EVENT,funding_like,funding_rate_mean_168h
ic_011,1,A7INPUT_RESCUE_TS_STATE,liquidity_like,gap_hours_recent_168h
ic_012,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,liquidity_like,kline_taker_buy_quote_share
ic_013,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,basis_premium_like,mark_index_basis_bps
ic_014,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,basis_premium_like,mark_trade_basis_bps
ic_015,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,volatility_like,realized_vol_168h
ic_016,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,volatility_like,realized_vol_24h
ic_017,1,A7INPUT_RESCUE_TS_STATE,liquidity_like,rolling_coverage_168h
ic_018,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,liquidity_like,taker_buy_sell_volume_ratio_last
ic_019,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,liquidity_like,taker_buy_sell_volume_ratio_mean
ic_020,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,liquidity_like,trade_count
ic_021,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,price_like,trade_return_1h
ic_022,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,price_like,trade_return_24h
ic_023,1,A7INPUT_APPROVED_SIGNAL_PRIMARY,liquidity_like,trade_volume
