semantic_type,input_tag,input_route,field_count
basis_premium_like,A7INPUT_APPROVED_REDUNDANT_CAP,capped_alpha_signal,2
basis_premium_like,A7INPUT_APPROVED_SIGNAL_PRIMARY,ordinary_alpha_signal,2
funding_like,A7INPUT_RESCUE_SPARSE_EVENT,rescue_event_or_sparse_signal,4
liquidity_like,A7INPUT_APPROVED_SIGNAL_PRIMARY,ordinary_alpha_signal,5
liquidity_like,A7INPUT_APPROVED_REDUNDANT_CAP,capped_alpha_signal,2
liquidity_like,A7INPUT_RESCUE_TS_STATE,rescue_timeseries_or_market_state,2
positioning_like,A7INPUT_APPROVED_REDUNDANT_CAP,capped_alpha_signal,4
price_like,A7INPUT_APPROVED_REDUNDANT_CAP,capped_alpha_signal,6
price_like,A7INPUT_APPROVED_SIGNAL_PRIMARY,ordinary_alpha_signal,2
state_or_taxonomy,A7INPUT_CONDITION_NEUTRALIZER_ONLY,condition_neutralizer_only,4
volatility_like,A7INPUT_APPROVED_SIGNAL_PRIMARY,ordinary_alpha_signal,3
