semantic_pair,decision,count
basis_premium_like,A7INPUT3_NUMERIC_CLUE,42
basis_premium_like,A7INPUT3_RANK_LABEL_DIAGNOSTIC_CLUE,7
basis_premium_like,HOLD_A7INPUT3_CONTROL_DOMINATED,144
basis_premium_like,HOLD_A7INPUT3_COST2_PROXY_FRAGILE,1
basis_premium_like,HOLD_A7INPUT3_ONE_BAR_LAG_FRAGILE,36
basis_premium_like,HOLD_A7INPUT3_PRE_MAY_UNSTABLE,510
basis_premium_like|basis_premium_like,A7INPUT3_NUMERIC_CLUE,51
basis_premium_like|basis_premium_like,A7INPUT3_RANK_LABEL_DIAGNOSTIC_CLUE,61
basis_premium_like|basis_premium_like,HOLD_A7INPUT3_CONTROL_DOMINATED,821
basis_premium_like|basis_premium_like,HOLD_A7INPUT3_COST2_PROXY_FRAGILE,6
basis_premium_like|basis_premium_like,HOLD_A7INPUT3_ONE_BAR_LAG_FRAGILE,189
basis_premium_like|basis_premium_like,HOLD_A7INPUT3_PRE_MAY_UNSTABLE,2432
basis_premium_like|price_like,A7INPUT3_NUMERIC_CLUE,93
basis_premium_like|price_like,A7INPUT3_RANK_LABEL_DIAGNOSTIC_CLUE,244
basis_premium_like|price_like,HOLD_A7INPUT3_CONTROL_DOMINATED,1374
basis_premium_like|price_like,HOLD_A7INPUT3_COST2_PROXY_FRAGILE,4
basis_premium_like|price_like,HOLD_A7INPUT3_ONE_BAR_LAG_FRAGILE,126
basis_premium_like|price_like,HOLD_A7INPUT3_PRE_MAY_UNSTABLE,4099
basis_premium_like|volatility_like,A7INPUT3_NUMERIC_CLUE,76
basis_premium_like|volatility_like,A7INPUT3_RANK_LABEL_DIAGNOSTIC_CLUE,88
basis_premium_like|volatility_like,HOLD_A7INPUT3_CONTROL_DOMINATED,1346
basis_premium_like|volatility_like,HOLD_A7INPUT3_COST2_PROXY_FRAGILE,8
basis_premium_like|volatility_like,HOLD_A7INPUT3_ONE_BAR_LAG_FRAGILE,95
basis_premium_like|volatility_like,HOLD_A7INPUT3_PRE_MAY_UNSTABLE,3147
price_like|volatility_like,A7INPUT3_NUMERIC_CLUE,10
price_like|volatility_like,A7INPUT3_RANK_LABEL_DIAGNOSTIC_CLUE,79
price_like|volatility_like,HOLD_A7INPUT3_CONTROL_DOMINATED,502
price_like|volatility_like,HOLD_A7INPUT3_NONOVERLAP_WEAK,2
price_like|volatility_like,HOLD_A7INPUT3_ONE_BAR_LAG_FRAGILE,20
price_like|volatility_like,HOLD_A7INPUT3_PRE_MAY_UNSTABLE,747
volatility_like|volatility_like,A7INPUT3_RANK_LABEL_DIAGNOSTIC_CLUE,10
volatility_like|volatility_like,HOLD_A7INPUT3_CONTROL_DOMINATED,142
volatility_like|volatility_like,HOLD_A7INPUT3_PRE_MAY_UNSTABLE,208
