feature,status,coverage_all,symbol_count_with_95pct,symbol_count_total,core12_coverage_pass,core6_only,required_lane,min_symbol_coverage,median_symbol_coverage
abs_ret_1,available,0.9999520705521472,12,12,True,False,core12,0.9999520705521472,0.9999520705521472
avg_trade_size_quote,available,0.9999520705521472,12,12,True,False,core12,0.9999520705521472,0.9999520705521472
cs_z_mark_index_ratio,available,1.0,12,12,True,False,core12,1.0,1.0
cs_z_premium_index,available,1.0,12,12,True,False,core12,1.0,1.0
hl_range,available,1.0,12,12,True,False,core12,1.0,1.0
mark_index_ratio,available,1.0,12,12,True,False,core12,1.0,1.0
mark_minus_index,available,1.0,12,12,True,False,core12,1.0,1.0
number_of_trades,available,1.0,12,12,True,False,core12,1.0,1.0
premium_index,available,1.0,12,12,True,False,core12,1.0,1.0
quote_asset_volume,available,1.0,12,12,True,False,core12,1.0,1.0
quote_volume_mean_12,available,1.0,12,12,True,False,core12,1.0,1.0
quote_volume_mean_24,available,1.0,12,12,True,False,core12,1.0,1.0
quote_volume_mean_6,available,1.0,12,12,True,False,core12,1.0,1.0
realized_vol_12,available,0.9997124233128835,12,12,True,False,core12,0.9997124233128835,0.9997124233128835
realized_vol_24,available,0.9994248466257669,12,12,True,False,core12,0.9994248466257669,0.9994248466257669
realized_vol_6,available,0.9998562116564417,12,12,True,False,core12,0.9998562116564417,0.9998562116564417
taker_buy_ratio,available,0.9999520705521472,12,12,True,False,core12,0.9999520705521472,0.9999520705521472
taker_imbalance,available,0.9999520705521472,12,12,True,False,core12,0.9999520705521472,0.9999520705521472
