semantic_pair,blocker_family,rows
listing_age_like|regime_state,pre_may_unstable,5776
basis_premium|positioning_flow,pre_may_unstable,3259
listing_lifecycle|basis_premium,pre_may_unstable,2072
listing_age_like,pre_may_unstable,1978
open_interest_like|basis_abs_168h,pre_may_unstable,1764
volatility_like,control_dominated,1704
open_interest_like|positioning_like,pre_may_unstable,1684
listing_age_like|regime_state,control_dominated,1675
open_interest_like|liquidity_rank_active_universe,pre_may_unstable,1659
open_interest_like|age_x_liquidity,pre_may_unstable,1656
volatility_like|liquidity_rank_active_universe,pre_may_unstable,1620
basis_premium|basis_premium,pre_may_unstable,1601
basis_premium_like,pre_may_unstable,1505
basis_premium_like|liquidity_rank_active_universe,pre_may_unstable,1475
basis_premium_like|age_x_liquidity,pre_may_unstable,1464
volatility_like,pre_may_unstable,1357
basis_premium|positioning_flow,control_dominated,1349
volatility_like|trade_volume,pre_may_unstable,1339
basis_premium_like|age_x_volatility,pre_may_unstable,1270
volatility_like|trade_volume,control_dominated,915
basis_premium_like,control_dominated,908
listing_lifecycle|basis_premium,control_dominated,903
open_interest_like|age_x_liquidity,control_dominated,822
open_interest_like|liquidity_rank_active_universe,control_dominated,819
open_interest_like|basis_abs_168h,control_dominated,727
basis_premium|basis_premium,control_dominated,684
basis_premium_like|age_x_volatility,control_dominated,598
volatility_like|liquidity_rank_active_universe,control_dominated,596
open_interest_like|positioning_like,control_dominated,578
basis_premium_like|age_x_liquidity,control_dominated,523
basis_premium_like|liquidity_rank_active_universe,control_dominated,513
listing_age_like,control_dominated,236
basis_premium_like,lag_fragile,215
volatility_like,rank_label_diagnostic_clue,211
volatility_like|volume_volatility_ratio_168h,control_dominated,200
listing_age_like|regime_state,rank_label_diagnostic_clue,179
volatility_like|volume_volatility_ratio_168h,pre_may_unstable,167
volatility_like|trade_volume,rank_label_diagnostic_clue,129
basis_premium|positioning_flow,rank_label_diagnostic_clue,123
basis_premium|basis_premium,rank_label_diagnostic_clue,85
open_interest_like|mark_index_basis_bps,pre_may_unstable,71
basis_premium_like,rank_label_diagnostic_clue,69
volatility_like|volume_volatility_ratio_168h,rank_label_diagnostic_clue,67
basis_premium_like|age_x_volatility,rank_label_diagnostic_clue,60
basis_premium_like|age_x_volatility,numeric_clue,58
listing_age_like,rank_label_diagnostic_clue,45
listing_lifecycle|basis_premium,rank_label_diagnostic_clue,43
basis_premium_like|open_interest_value_last,control_dominated,43
open_interest_like|mark_index_basis_bps,control_dominated,40
listing_age_like|regime_state,numeric_clue,40
basis_premium_like|open_interest_value_last,pre_may_unstable,40
basis_premium|positioning_flow,numeric_clue,38
volatility_like|volume_volatility_ratio_168h,numeric_clue,37
open_interest_like|age_x_liquidity,numeric_clue,31
open_interest_like|liquidity_rank_active_universe,numeric_clue,30
basis_premium|positioning_flow,lag_fragile,29
listing_lifecycle|basis_premium,numeric_clue,21
basis_premium|basis_premium,numeric_clue,21
open_interest_like|basis_abs_168h,rank_label_diagnostic_clue,20
volatility_like,numeric_clue,18
volatility_like|liquidity_rank_active_universe,numeric_clue,17
open_interest_like|positioning_like,rank_label_diagnostic_clue,14
basis_premium_like|age_x_volatility,cost_fragile,13
volatility_like|trade_volume,numeric_clue,12
volatility_like,cost_fragile,10
listing_age_like|regime_state,cost_fragile,10
volatility_like|volume_volatility_ratio_168h,cost_fragile,9
open_interest_like|mark_index_basis_bps,rank_label_diagnostic_clue,9
basis_premium_like|age_x_liquidity,lag_fragile,9
basis_premium|basis_premium,lag_fragile,9
basis_premium_like|open_interest_value_last,rank_label_diagnostic_clue,9
basis_premium_like|open_interest_value_last,numeric_clue,8
open_interest_like|liquidity_rank_active_universe,rank_label_diagnostic_clue,8
open_interest_like|age_x_liquidity,rank_label_diagnostic_clue,7
open_interest_like|basis_abs_168h,cost_fragile,6
basis_premium_like|liquidity_rank_active_universe,lag_fragile,6
volatility_like|liquidity_rank_active_universe,rank_label_diagnostic_clue,5
volatility_like|trade_volume,cost_fragile,5
open_interest_like|liquidity_rank_active_universe,cost_fragile,4
open_interest_like|age_x_liquidity,cost_fragile,4
basis_premium_like|liquidity_rank_active_universe,rank_label_diagnostic_clue,4
open_interest_like|positioning_like,numeric_clue,3
open_interest_like|basis_abs_168h,numeric_clue,3
basis_premium_like|age_x_liquidity,rank_label_diagnostic_clue,3
basis_premium_like,cost_fragile,2
basis_premium_like|liquidity_rank_active_universe,cost_fragile,2
volatility_like|liquidity_rank_active_universe,cost_fragile,2
basis_premium|positioning_flow,cost_fragile,2
basis_premium_like|age_x_volatility,lag_fragile,1
basis_premium_like,numeric_clue,1
basis_premium_like|age_x_liquidity,cost_fragile,1
listing_age_like,numeric_clue,1
listing_lifecycle|basis_premium,cost_fragile,1
open_interest_like|positioning_like,cost_fragile,1
